F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129,F133,F134,F138,F139,F143,F144,F148,F149,F153,F154,F158,F159,F163,F164,F168,F169,F173,F174,F178,F179,F183,F184,F188,F189,F193,F194,F198,F199,F203,F204,F208,F209,F213,F214,F218,F219,F223,F224,F228,F229,F233,F234,F238,F239,F243,F244,F248,F249,F253,F254,F258,F259
Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local
,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV
,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
Description,C1,C2,C6,C7,C11,C12,C16,C17,C21,C22,C26,C27,C31,C32,C36,C37,C41,C42,C46,C47,C51,C52,C56,C57,C61,C62,C66,C67,C71,C72,C76,C77,C81,C82,C86,C87,C91,C92,C96,C97,C101,C102,C106,C107,C111,C112,C116,C117,C121,C122,C126,C127,C131,C132,C136,C137,C141,C142,C146,C147,C151,C152,C156,C157,C161,C162,C166,C167,C171,C172,C176,C177,C181,C182,C186,C187,C191,C192,C196,C197,C201,C202,C206,C207,C211,C212,C216,C217,C221,C222,C226,C227,C231,C232,C236,C237,C241,C242,C246,C247,C251,C252,C256,C257
                    Public utilities,"27,948,021",0.53,"794,148",0.81,"18,088",0.35,"221,704",0.94,"160,525",1.15,"4,191,552",2.63,"135,772",0.73,"273,076",0.00,"56,032",0.48,"187,656",0.00,"3,934,118",1.64,"398,324",2.37,"266,351",0.00,"40,735",2.40,"2,594,325",1.27,"274,955",1.13,"271,760",0.82,"167,378",1.66,"400,206",0.97,"153,606",0.93,"27,773",1.09,"618,706",0.02,0,0.00,"81,157",0.13,"157,208",2.53,"64,607",1.41,"383,234",2.59,"43,018",0.00,"111,773",0.59,"347,475",0.03,"48,231",0.00,"1,039,612",0.50,"91,714",2.15,"1,719,664",0.67,272,0.00,"70,715",2.57,"1,079,067",0.24,"148,468",1.90,"342,279",3.03,"1,271,659",0.00,"103,042",0.00,"103,992",0.30,"39,003",0.04,"109,208",1.78,"2,044,125",1.77,"261,386",1.63,"11,204",2.53,"1,089,465",0.30,"1,455,531",3.58,"154,898",0.21,"360,211",0.00,"29,019",1.41
                    Other selective sales,"100,576,547",0.23,"1,195,753",0.33,"219,145",0.31,"936,595",0.13,"630,703",0.18,"10,976,566",1.95,"2,023,229",0.30,"2,006,246",0.00,"275,241",0.00,"180,024",0.00,"3,535,022",0.31,"1,939,487",0.87,"875,140",0.00,"191,367",0.05,"5,763,777",0.48,"2,536,113",0.10,"570,993",0.48,"497,959",0.01,"1,476,450",0.77,"1,915,629",0.14,"291,548",0.00,"3,850,814",0.03,"1,767,519",0.49,"2,384,576",0.01,"3,396,499",0.01,"920,241",0.04,"1,191,618",0.36,"261,293",0.43,"102,842",2.66,"2,164,967",0.01,"578,331",0.00,"2,835,307",0.18,"493,112",2.41,"9,692,879",0.07,"1,977,659",0.61,"237,786",1.51,"2,845,158",0.14,"454,058",0.36,"1,294,465",0.50,"4,534,582",0.10,"375,911",1.04,"1,130,817",0.90,"230,028",0.09,"1,617,566",0.23,"9,884,841",0.54,"652,196",1.10,"529,690",0.04,"2,880,838",0.29,"2,693,704",0.38,"713,636",0.13,"804,429",1.80,"42,197",0.00
          Individual income,"446,770,072",0.04,"4,335,161",0.09,0,0.00,"5,357,251",0.00,"3,012,491",0.00,"100,079,921",0.00,"8,171,546",0.00,"8,445,783",0.00,"1,741,418",0.00,"2,299,326",0.00,0,0.00,"12,176,943",0.00,"2,568,259",0.00,"1,668,776",0.00,"18,762,174",0.00,"10,152,099",0.27,"4,204,705",0.00,"3,779,463",0.00,"6,201,843",0.17,"3,833,235",0.00,"1,709,069",0.00,"15,916,008",0.05,"17,150,964",0.00,"10,777,373",0.00,"12,400,060",0.00,"1,968,485",0.00,"7,044,712",0.06,"1,412,863",0.00,"2,545,680",0.00,0,0.00,"122,622",0.00,"15,903,287",0.00,"1,590,271",0.00,"62,093,671",0.00,"13,258,890",0.00,"415,274",0.00,"15,048,614",0.75,"3,565,449",0.00,"9,847,141",0.00,"19,258,237",0.73,"1,376,495",0.00,"4,759,113",0.00,0,0.00,"201,900",0.00,0,0.00,"4,978,629",0.00,"860,639",0.00,"14,917,745",0.00,0,0.00,"2,096,807",0.00,"8,759,680",0.00,0,0.00
          Corporate income,"67,841,409",0.03,"684,296",0.00,"332,520",0.00,"521,531",0.00,"533,915",0.00,"13,792,519",0.00,"794,659",0.00,"2,065,833",0.00,"296,721",0.00,"642,656",0.00,"3,114,711",0.00,"1,271,270",0.00,"190,484",0.00,"284,961",0.00,"3,822,382",0.00,"752,352",0.00,"535,594",0.00,"486,421",0.00,"954,322",0.19,"495,388",0.00,"252,867",0.00,"1,301,050",0.00,"2,946,667",0.00,"1,142,671",0.00,"1,711,659",0.00,"494,811",0.00,"452,082",0.00,"185,097",0.00,"423,738",0.00,0,0.00,"831,765",0.00,"3,909,308",0.00,"202,367",0.00,"10,595,119",0.00,"836,415",0.00,"146,523",0.00,"267,765",7.63,"302,878",0.00,"1,008,375",0.00,"3,518,422",0.00,"176,463",0.00,"396,207",0.00,"46,295",0.00,"1,697,469",0.00,0,0.00,"522,382",0.00,"149,832",0.00,"1,247,128",0.00,0,0.00,"198,799",0.00,"1,304,720",0.00,0,0.00
          Motor vehicle license,"30,047,005",0.07,"261,218",0.64,"58,324",0.40,"267,361",0.00,"168,295",0.00,"4,921,855",0.00,"537,247",0.60,"243,358",0.00,"59,061",0.00,"45,973",0.00,"1,474,100",0.00,"387,076",0.00,"439,966",0.00,"214,702",0.12,"1,767,938",0.11,"406,587",0.65,"703,203",0.15,"251,266",0.60,"233,448",0.77,"82,938",0.60,"117,210",0.02,"516,820",0.00,"448,837",0.00,"1,375,049",0.00,"861,447",0.03,"171,469",0.00,"322,709",0.27,"180,802",0.08,"197,039",2.02,"209,621",0.00,"84,485",0.00,"668,735",0.00,"220,305",0.19,"1,582,791",0.64,"1,000,886",0.23,"120,468",0.00,"630,001",0.54,"747,911",0.02,"801,449",0.26,"1,153,788",0.00,"29,901",0.00,"335,538",0.90,"119,435",4.55,"529,089",0.39,"2,543,976",0.53,"234,550",0.00,"69,352",0.01,"620,873",0.45,"967,425",0.14,"5,218",0.00,"531,907",0.17,"124,005",0.50
          Other taxes,"98,339,776",0.22,"1,006,281",0.97,"1,028,518",0.04,"1,098,002",0.32,"417,682",0.09,"14,762,351",1.18,"957,945",0.85,"755,865",0.36,"2,095,263",0.22,"749,671",0.00,"6,517,868",0.90,"1,135,620",0.87,"247,900",0.00,"290,817",1.13,"2,411,058",1.00,"609,439",0.74,"481,930",0.33,"394,275",1.11,"584,282",0.41,"1,058,515",0.26,"257,855",0.42,"2,063,379",0.06,"2,154,081",0.33,"1,455,375",1.10,"1,554,339",0.46,"485,955",0.24,"985,381",2.25,"450,916",0.01,"660,040",2.18,"1,812,153",0.01,"619,466",1.60,"2,530,692",1.22,"1,700,679",0.04,"8,544,617",0.37,"1,973,450",0.35,"2,749,198",0.03,"1,953,343",0.47,"1,677,267",0.14,"1,814,036",1.31,"5,336,134",1.06,"193,402",0.00,"1,247,457",1.39,"233,557",1.18,"2,025,754",0.17,"7,998,984",0.76,"355,274",2.05,"146,288",0.40,"2,334,922",0.41,"3,674,388",0.70,"963,398",0.20,"962,593",0.73,"822,121",0.15
     Charges and miscellaneous general revenue,"838,134,974",0.14,"14,182,858",0.17,"4,460,642",0.17,"11,468,780",0.11,"5,919,831",0.40,"126,128,359",0.62,"16,235,122",0.58,"5,808,170",0.23,"2,897,272",0.48,"1,779,254",0.00,"53,757,034",0.34,"20,838,334",0.45,"4,367,595",0.00,"3,335,382",0.67,"24,918,565",0.64,"16,765,166",0.35,"10,514,837",0.59,"9,222,721",0.24,"8,644,602",0.29,"9,741,556",1.11,"2,313,483",0.86,"12,064,901",0.08,"16,437,135",0.45,"25,965,834",0.89,"14,234,264",0.35,"7,295,660",0.23,"13,380,519",1.29,"1,967,256",0.43,"4,598,060",1.41,"5,586,909",0.19,"2,614,852",1.26,"20,924,229",0.83,"7,145,744",0.17,"56,384,696",0.35,"27,284,896",0.34,"2,700,734",0.78,"29,636,681",0.65,"9,621,246",0.55,"15,289,444",0.38,"29,920,443",1.16,"2,608,172",0.24,"16,333,064",0.35,"1,677,847",0.43,"13,232,697",0.39,"66,393,929",0.39,"10,610,677",0.38,"1,386,084",0.20,"24,702,968",0.15,"24,264,528",2.12,"3,881,070",0.23,"13,575,471",0.62,"3,115,401",0.23
          Current charges,"572,392,626",0.19,"11,498,471",0.19,"1,684,428",0.44,"7,427,013",0.11,"4,208,495",0.47,"93,883,710",0.77,"11,482,022",0.77,"3,668,350",0.33,"1,604,432",0.84,"812,714",0.00,"34,484,191",0.35,"15,459,619",0.55,"2,599,457",0.00,"2,478,561",0.89,"15,390,802",0.93,"12,386,243",0.35,"7,988,030",0.73,"6,860,104",0.22,"6,626,314",0.33,"6,758,675",1.58,"1,612,593",1.16,"7,743,475",0.11,"9,386,828",0.73,"18,805,638",1.20,"9,392,424",0.47,"6,174,322",0.27,"8,898,683",1.79,"1,240,408",0.64,"3,114,593",1.97,"3,712,210",0.27,"1,584,627",2.04,"11,782,881",0.71,"2,941,978",0.40,"34,148,541",0.56,"21,315,763",0.43,"1,282,921",0.82,"18,749,009",0.75,"6,084,844",0.81,"10,357,422",0.50,"21,357,297",1.59,"1,502,502",0.40,"12,700,718",0.42,"942,695",0.73,"8,843,442",0.56,"43,330,994",0.56,"7,867,363",0.38,"898,875",0.23,"17,479,228",0.19,"18,358,926",2.79,"2,580,189",0.32,"8,926,429",0.93,"1,973,176",0.21
               Education,"140,636,744",0.03,"3,218,581",0.00,"213,974",0.00,"3,326,987",0.00,"1,447,226",0.00,"14,654,951",0.01,"3,836,665",0.00,"1,523,622",0.18,"758,342",0.00,"39,134",0.00,"4,764,506",0.00,"3,244,021",0.00,"430,102",0.00,"538,990",0.00,"4,327,691",0.00,"3,947,892",0.00,"2,166,136",0.00,"1,677,611",0.00,"1,734,898",0.00,"1,750,729",0.00,"391,521",0.03,"2,772,313",0.04,"3,181,379",1.39,"6,436,601",0.00,"2,668,176",0.00,"1,410,358",0.00,"2,575,854",0.00,"525,474",0.00,"1,064,765",0.00,"596,886",0.00,"667,368",0.00,"4,058,009",0.03,"664,450",0.00,"4,377,901",0.31,"4,281,766",0.10,"514,499",0.00,"6,326,872",0.00,"2,528,619",0.00,"2,226,219",0.00,"7,048,023",0.00,"510,393",0.00,"2,821,652",0.00,"418,569",0.00,"2,153,868",0.47,"11,224,999",0.00,"2,399,906",0.00,"589,702",0.00,"4,987,222",0.04,"3,725,905",0.00,"916,453",0.00,"2,778,847",0.00,"190,116",0.00
                    Institutions  of higher education,"124,216,846",0.01,"2,839,850",0.00,"184,461",0.00,"3,082,170",0.00,"1,282,275",0.00,"13,472,575",0.00,"3,304,163",0.00,"1,410,162",0.00,"744,014",0.00,"34,330",0.00,"3,517,140",0.00,"2,676,477",0.00,"398,104",0.00,"496,960",0.00,"3,673,627",0.00,"3,621,834",0.00,"1,986,104",0.00,"1,518,419",0.00,"1,638,232",0.00,"1,697,711",0.00,"346,079",0.00,"2,655,043",0.00,"2,713,707",0.00,"5,833,509",0.00,"2,071,393",0.00,"1,247,563",0.00,"2,130,792",0.00,"464,489",0.00,"859,599",0.00,"565,970",0.00,"615,759",0.00,"3,374,191",0.00,"601,548",0.00,"3,873,478",0.34,"4,032,113",0.05,"431,627",0.00,"5,251,807",0.00,"2,201,878",0.00,"2,037,028",0.00,"6,162,042",0.00,"447,264",0.00,"2,537,825",0.00,"350,616",0.00,"1,630,536",0.00,"9,974,120",0.00,"2,197,257",0.00,"565,967",0.00,"4,643,884",0.00,"3,280,074",0.00,"886,113",0.00,"2,484,218",0.00,"170,750",0.00
                    School lunch sales (gross),"5,615,526",0.12,"102,210",0.00,"9,012",0.12,"89,890",0.00,"51,081",0.00,"364,364",0.00,"99,291",0.00,"91,611",2.92,"13,504",0.00,"1,134",0.00,"192,861",0.00,"172,462",0.00,"23,059",0.00,"26,185",0.00,"204,333",0.00,"178,445",0.00,"109,287",0.00,"84,613",0.00,"48,638",0.00,"21,628",0.00,"28,285",0.38,"99,536",0.99,"238,351",1.43,"146,559",0.00,"194,238",0.00,"41,172",0.00,"135,859",0.00,"18,326",0.00,"70,103",0.00,"20,226",0.00,"37,952",0.00,"248,320",0.40,"21,828",0.00,"231,005",0.00,"152,292",2.39,"36,518",0.00,"236,471",0.00,"69,608",0.00,"44,439",0.00,"273,006",0.00,"19,265",0.00,"70,108",0.00,"32,622",0.00,"91,865",3.30,"606,195",0.00,"61,003",0.00,"14,810",0.00,"203,387",0.83,"113,688",0.00,"8,381",0.00,"150,639",0.00,"15,860",0.00
               Hospitals,"180,003,025",0.21,"6,222,670",0.13,"445,406",0.00,"583,676",0.56,"1,434,522",0.00,"30,825,060",0.33,"2,659,733",1.73,"473,759",0.00,"6,056",0.00,"121,618",0.00,"9,315,113",0.33,"5,377,835",1.00,"453,706",0.00,"648,320",3.29,"2,191,089",0.15,"5,002,921",0.00,"4,094,647",1.38,"3,529,227",0.10,"2,812,572",0.70,"2,479,758",4.27,"118,559",0.00,"173,228",0.00,"388,059",0.00,"5,587,436",3.51,"2,265,665",0.02,"3,728,314",0.09,"3,336,223",4.66,"76,930",0.88,"617,578",9.14,"807,262",0.00,"6,032",0.00,"1,099,452",0.00,"1,305,686",0.00,"11,737,402",1.26,"12,018,304",0.73,"5,744",0.00,"6,050,562",2.17,"1,270,905",3.02,"2,817,803",0.18,"4,659,634",0.00,"3,215",0.00,"6,887,660",0.50,"106,436",0.45,"3,373,743",1.01,"14,862,297",0.21,"2,914,604",0.00,109,0.00,"6,162,664",0.08,"5,177,772",0.49,"292,437",0.00,"2,114,754",0.00,"1,358,869",0.05
               Highways,"22,264,494",0.42,"10,959",3.84,"78,714",0.00,"26,459",1.20,"8,312",1.25,"817,077",10.28,"442,305",0.53,"12,532",0.00,"328,447",0.00,"1,386",0.00,"2,164,563",0.92,"94,770",1.01,"4,774",0.00,"48,483",0.14,"1,439,476",0.09,"412,865",0.00,"6,709",13.11,"137,766",0.26,"84,912",0.14,"38,964",0.35,"159,360",0.72,"762,098",0.02,"1,094,435",0.00,"138,900",4.81,"199,540",4.97,"10,170",0.00,"35,109",9.74,"32,057",1.57,"32,608",0.77,"9,839",1.09,"159,303",0.25,"2,250,357",0.01,"16,279",0.00,"4,662,252",0.00,"73,542",0.00,"14,943",5.26,"355,847",0.19,"330,436",0.04,"88,794",0.23,"1,567,777",0.33,"55,930",0.00,"155,819",1.01,"11,551",7.83,"3,180",3.85,"2,491,391",1.26,"24,488",4.43,"2,283",0.00,"429,359",0.01,"602,717",1.18,"134,668",0.04,"190,709",3.29,"9,279",0.00
               Air transportation (airports),"26,574,024",0.30,"131,838",1.15,"200,554",0.06,"469,844",0.02,"82,412",1.33,"4,358,838",1.10,"1,011,716",0.02,"33,193",0.00,"7,908",0.00,0,0.00,"2,414,604",0.34,"887,749",0.29,"494,835",0.00,"44,363",0.02,"1,573,520",2.34,"233,135",0.05,"84,035",0.10,"53,592",0.32,"242,230",0.03,"176,028",0.15,"50,696",0.06,"268,164",0.00,"904,197",0.02,"552,375",0.60,"392,380",0.15,"43,574",2.73,"355,964",0.12,"32,858",1.79,"78,763",0.04,"703,160",0.00,"37,878",4.44,"26,418",6.60,"66,815",1.52,"2,939,164",0.08,"749,759",0.03,"33,982",6.19,"333,516",0.03,"115,392",1.82,"355,734",0.06,"580,492",0.03,"63,767",0.00,"150,980",0.34,"20,435",0.18,"447,297",0.04,"2,368,271",0.56,"258,501",2.16,"21,906",0.00,"1,046,839",0.00,"859,532",5.91,"35,583",8.52,"152,185",0.69,"27,054",0.00
               Parking facilities,"3,363,483",0.81,"11,813",0.00,"9,220",0.15,"18,118",0.32,"4,323",1.81,"685,549",1.59,"31,980",0.09,"89,771",0.85,"19,972",1.59,"5,713",0.00,"273,960",5.78,"20,531",0.59,"10,947",0.00,659,0.00,"59,650",6.73,"12,761",12.13,"27,976",0.11,"6,352",0.00,"31,425",0.00,"12,785",0.00,"15,440",3.99,"127,242",0.01,"58,125",3.55,"72,473",1.77,"101,341",0.25,"1,159",0.00,"31,295",0.47,"7,505",0.00,"25,341",0.00,"8,789",0.00,"19,808",0.87,"131,252",6.54,"10,660",0.00,"370,823",1.71,"63,433",4.38,"3,794",0.00,"71,951",0.35,"15,252",0.00,"93,770",2.43,"408,725",3.50,"2,143",0.00,"53,287",1.61,"4,147",0.00,"20,362",0.00,"53,895",0.56,"7,983",0.00,"8,131",0.00,"74,142",0.31,"78,856",0.00,"8,257",3.86,"80,215",4.51,383,0.00
               Sea and inland port facilities,"6,551,137",0.86,"158,449",0.00,"78,937",1.41,0,0.00,"4,398",6.97,"1,706,107",0.21,0,0.00,764,0.00,"18,072",0.00,0,0.00,"632,749",6.01,"473,619",0.00,"187,254",0.00,"1,193",0.00,"1,467",0.00,"20,027",0.00,11,0.00,0,0.00,"25,369",7.66,"241,115",0.63,"3,706",0.00,"61,247",0.00,"157,892",0.00,"1,209",0.00,"27,073",0.00,"57,117",3.77,"2,785",0.00,"1,898",0.00,0,0.00,0,0.00,0,0.00,"27,077",0.00,0,0.00,"328,297",4.27,"48,757",0.00,0,0.00,"21,270",18.92,"8,556",0.00,"115,886",20.38,"2,849",0.00,"1,656",0.00,"294,694",0.00,0,0.00,"2,774",18.70,"645,075",4.60,0,0.00,0,0.00,"552,492",0.00,"630,817",0.62,0,0.00,"8,480",0.00,0,0.00
               Natural resources,"6,053,547",2.07,"9,440",0.00,"24,039",0.08,"157,476",1.82,"22,535",0.00,"2,535,086",4.24,"69,216",0.19,"33,100",0.00,"1,437",0.00,0,0.00,"610,036",2.16,"64,273",0.86,"23,987",0.00,"126,267",0.24,"69,226",10.14,"51,889",0.20,"108,044",0.90,"44,073",3.93,"107,346",0.00,"14,828",2.83,"23,462",0.00,"23,535",4.08,"32,465",0.31,"67,347",0.00,"75,986",7.05,"31,770",0.00,"13,130",0.00,"73,497",0.26,"59,279",1.41,"30,206",1.94,"5,208",0.00,"11,027",0.00,"37,783",10.14,"69,523",0.00,"59,072",0.72,"28,399",1.82,"62,413",20.17,"20,514",0.00,"303,812",7.45,"44,389",1.41,"16,441",0.00,"39,959",2.79,"24,711",0.07,"32,136",2.38,"314,454",17.50,"29,327",0.00,"4,215",0.00,"10,588",0.00,"253,027",0.73,"32,937",0.00,"116,706",9.92,"33,932",3.26
               Parks and recreation,"12,263,973",0.96,"155,884",1.61,"21,613",0.27,"183,663",1.42,"76,959",1.55,"1,634,417",3.94,"500,071",4.62,"113,133",3.11,"21,778",0.64,"31,165",0.00,"880,082",2.41,"313,318",1.36,"55,665",0.00,"58,600",0.43,"1,381,901",5.02,"179,152",0.79,"111,563",1.40,"66,028",5.82,"129,222",0.25,"236,797",0.39,"39,764",3.47,"179,698",0.79,"161,887",6.73,"233,086",13.70,"365,997",3.33,"44,922",0.56,"207,130",3.91,"25,497",1.69,"46,666",2.15,"163,460",0.04,"57,315",5.80,"263,018",15.65,"36,320",4.24,"751,992",1.65,"249,223",1.44,"104,252",9.41,"361,316",2.50,"128,369",1.45,"303,013",0.68,"256,072",4.56,"48,506",0.10,"155,969",0.57,"35,196",0.57,"133,671",0.67,"597,381",2.07,"197,105",2.16,"28,300",2.56,"286,230",0.42,"326,581",2.30,"81,545",0.00,"216,869",3.77,"26,615",10.34
               Housing and community development,"7,722,921",1.45,"128,938",9.68,"44,691",1.31,"30,783",0.22,"58,088",29.69,"1,150,062",6.33,"160,317",5.11,"121,663",5.28,"16,161",0.00,"49,648",0.00,"331,386",12.86,"140,180",20.13,"36,761",0.00,"67,179",6.39,"237,706",2.53,"61,977",4.02,"25,324",10.36,"32,304",5.67,"39,122",0.00,"36,453",2.99,"56,580",20.88,"219,392",0.53,"395,901",10.02,"75,244",5.15,"315,949",5.48,"49,479",0.36,"97,272",0.00,"11,954",0.00,"46,200",4.07,"33,619",0.00,"36,224",1.05,"223,330",1.35,"21,538",12.88,"1,254,751",0.00,"168,737",1.85,"10,292",0.00,"196,040",2.14,"89,023",2.36,"103,981",19.38,"315,389",4.20,"42,608",10.10,"62,032",0.00,"7,380",0.00,"70,527",4.59,"296,890",12.03,"33,279",3.05,"14,984",0.00,"188,309",0.09,"388,235",0.98,"33,335",0.99,"90,575",3.91,"5,127",0.00
               Sewerage,"64,632,895",1.05,"628,133",1.89,"121,381",1.38,"1,006,764",0.44,"365,877",1.41,"9,827,361",5.29,"1,173,392",2.59,"462,760",1.48,"194,003",4.56,"373,911",0.00,"3,845,697",1.35,"2,360,870",1.76,"530,350",0.00,"275,554",1.10,"1,508,143",3.15,"1,887,344",2.11,"636,454",1.24,"549,034",1.10,"712,032",0.36,"531,931",1.74,"216,286",5.54,"1,444,594",0.41,"1,743,541",1.19,"2,275,834",1.46,"1,231,307",1.87,"299,386",1.97,"1,255,428",1.09,"152,537",1.37,"352,207",1.77,"559,502",1.74,"171,003",5.66,"1,657,022",4.16,"222,903",4.67,"2,955,855",1.18,"1,534,950",0.93,"79,373",1.04,"2,480,350",1.41,"505,210",1.73,"1,264,675",1.38,"3,269,008",10.20,"239,233",0.02,"808,066",4.88,"111,769",1.13,"1,072,572",1.44,"4,805,799",4.33,"544,718",4.78,"84,321",1.96,"1,782,509",0.63,"2,983,509",2.94,"286,601",2.18,"1,180,206",3.44,"71,629",2.85
               Solid waste management,"19,677,161",1.00,"262,276",3.04,"95,209",1.71,"502,543",0.53,"201,084",3.01,"3,488,114",4.73,"122,709",2.34,"151,050",0.73,"85,300",0.00,"6,528",0.00,"2,535,724",1.54,"713,108",2.63,"191,014",0.00,"188,154",0.85,"381,419",5.56,"175,023",6.05,"298,100",1.88,"180,061",6.13,"129,486",3.00,"221,054",1.38,"52,807",4.44,"459,332",0.41,"118,585",8.10,"288,955",6.28,"385,494",3.12,"181,530",3.86,"126,349",1.97,"69,879",2.34,"63,177",4.35,"25,303",0.57,"42,025",6.87,"404,789",3.61,"220,003",0.28,"627,267",4.10,"628,301",2.78,"84,901",1.06,"349,407",2.83,"337,818",4.81,"172,484",2.04,"595,744",5.33,"24,808",0.00,"231,277",2.79,"59,957",6.23,"276,831",6.75,"1,730,677",3.08,"236,248",1.83,"26,296",1.27,"586,884",0.82,"936,815",4.42,"47,271",0.69,"277,110",4.87,"80,882",2.25
               Other charges,"82,649,222",0.86,"559,491",1.18,"350,690",1.97,"1,120,700",0.35,"502,760",0.92,"22,201,087",1.96,"1,473,918",4.39,"653,004",0.91,"146,956",6.94,"183,611",0.00,"6,715,771",1.03,"1,769,345",2.03,"180,062",0.00,"480,798",0.41,"2,219,513",4.87,"401,257",3.12,"429,032",2.28,"584,057",0.93,"577,700",1.47,"1,018,233",0.65,"484,412",1.60,"1,252,632",0.38,"1,150,361",1.88,"3,076,179",3.22,"1,363,517",1.98,"316,543",4.13,"862,145",3.64,"230,323",3.19,"728,010",3.16,"774,184",0.31,"382,463",7.96,"1,631,130",0.92,"339,542",0.29,"4,073,315",2.72,"1,439,919",0.69,"402,742",0.71,"2,139,466",1.62,"734,749",3.25,"2,511,251",1.16,"2,609,195",2.12,"493,802",0.87,"1,039,322",0.42,"142,545",3.88,"1,256,480",1.94,"3,939,864",1.89,"1,221,204",1.05,"118,628",0.80,"1,371,991",2.15,"2,395,160",20.83,"711,101",0.64,"1,719,773",4.03,"169,290",0.34
          Miscellaneous general revenue,"265,742,348",0.16,"2,684,387",0.32,"2,776,214",0.06,"4,041,767",0.24,"1,711,336",0.78,"32,244,649",0.92,"4,753,100",0.70,"2,139,819",0.24,"1,292,839",0.28,"966,540",0.00,"19,272,843",0.71,"5,378,715",0.75,"1,768,138",0.00,"856,820",0.19,"9,527,764",0.71,"4,378,923",0.92,"2,526,807",0.80,"2,362,616",0.71,"2,018,288",0.63,"2,982,881",0.66,"700,890",0.91,"4,321,426",0.14,"7,050,307",0.38,"7,160,196",0.66,"4,841,840",0.49,"1,121,338",0.37,"4,481,837",1.47,"726,848",0.39,"1,483,468",1.39,"1,874,699",0.17,"1,030,225",0.67,"9,141,348",1.68,"4,203,766",0.06,"22,236,155",0.23,"5,969,133",0.34,"1,417,813",1.29,"10,887,672",1.20,"3,536,402",0.59,"4,932,022",0.52,"8,563,146",0.86,"1,105,670",0.09,"3,632,346",0.57,"735,152",0.26,"4,389,255",0.34,"23,062,936",0.41,"2,743,314",0.95,"487,209",0.38,"7,223,740",0.26,"5,905,602",0.76,"1,300,881",0.25,"4,649,042",0.26,"1,142,225",0.51
