F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129,F133,F134,F138,F139,F143,F144,F148,F149,F153,F154,F158,F159,F163,F164,F168,F169,F173,F174,F178,F179,F183,F184,F188,F189,F193,F194,F198,F199,F203,F204,F208,F209,F213,F214,F218,F219,F223,F224,F228,F229,F233,F234,F238,F239,F243,F244,F248,F249,F253,F254,F258,F259
Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local
,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV
,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
Description,C1,C2,C6,C7,C11,C12,C16,C17,C21,C22,C26,C27,C31,C32,C36,C37,C41,C42,C46,C47,C51,C52,C56,C57,C61,C62,C66,C67,C71,C72,C76,C77,C81,C82,C86,C87,C91,C92,C96,C97,C101,C102,C106,C107,C111,C112,C116,C117,C121,C122,C126,C127,C131,C132,C136,C137,C141,C142,C146,C147,C151,C152,C156,C157,C161,C162,C166,C167,C171,C172,C176,C177,C181,C182,C186,C187,C191,C192,C196,C197,C201,C202,C206,C207,C211,C212,C216,C217,C221,C222,C226,C227,C231,C232,C236,C237,C241,C242,C246,C247,C251,C252,C256,C257
     From local governments1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
General revenue from own sources,"2,702,375,972",0.07,"32,419,754",0.17,"8,222,693",0.14,"41,557,921",0.20,"18,870,357",0.22,"416,299,384",0.25,"48,345,764",0.86,"36,570,727",0.91,"8,645,378",0.19,"10,341,083",0.00,"139,570,500",0.18,"64,565,996",0.19,"15,447,095",0.00,"10,331,867",0.64,"107,246,603",0.42,"48,969,178",0.18,"27,487,584",0.33,"24,762,921",0.40,"27,702,117",0.25,"30,998,535",0.49,"10,559,373",1.35,"53,107,295",0.05,"67,006,253",0.43,"70,555,546",0.40,"52,118,752",0.20,"19,084,264",0.16,"38,693,518",0.66,"6,769,452",0.39,"15,387,581",0.63,"20,724,971",0.07,"9,612,330",0.82,"91,095,776",0.55,"17,873,708",0.21,"248,302,907",0.13,"71,752,870",0.19,"9,139,075",0.35,"85,717,623",0.34,"26,348,270",0.32,"38,331,167",0.25,"103,763,286",0.38,"8,944,446",0.11,"36,275,996",0.32,"5,531,889",0.88,"38,412,064",0.25,"203,828,142",0.29,"26,036,503",0.27,"5,576,184",0.83,"71,408,002",0.14,"69,862,061",0.78,"11,806,257",0.10,"44,044,023",0.27,"6,350,933",0.32
    Taxes,"1,864,240,998",0.07,"18,236,896",0.27,"3,762,051",0.23,"30,089,141",0.28,"12,950,526",0.26,"290,171,024",0.24,"32,110,642",1.26,"30,762,557",1.08,"5,748,106",0.15,"8,561,829",0.00,"85,813,465",0.19,"43,727,662",0.19,"11,079,500",0.00,"6,996,485",0.89,"82,328,037",0.52,"32,204,012",0.20,"16,972,747",0.40,"15,540,200",0.62,"19,057,515",0.33,"21,256,980",0.49,"8,245,890",1.71,"41,042,394",0.05,"50,569,118",0.55,"44,589,712",0.37,"37,884,488",0.24,"11,788,604",0.21,"25,312,999",0.75,"4,802,196",0.52,"10,789,520",0.68,"15,138,061",0.06,"6,997,478",1.03,"70,171,547",0.67,"10,727,964",0.33,"191,918,211",0.13,"44,467,974",0.22,"6,438,341",0.38,"56,080,942",0.39,"16,727,024",0.40,"23,041,723",0.33,"73,842,843",0.24,"6,336,274",0.12,"19,942,932",0.51,"3,854,042",1.25,"25,179,367",0.33,"137,434,213",0.38,"15,425,825",0.37,"4,190,099",1.11,"46,705,034",0.20,"45,597,532",0.41,"7,925,187",0.09,"30,468,552",0.27,"3,235,532",0.58
          Property,"576,888,436",0.22,"3,011,626",0.48,"1,625,431",0.06,"8,443,821",0.82,"2,356,785",0.91,"73,668,874",0.74,"10,353,132",3.88,"11,463,831",2.89,"932,343",0.74,"2,800,884",0.00,"30,908,943",0.43,"13,652,068",0.47,"2,060,154",0.00,"1,947,804",3.19,"29,427,894",1.43,"7,452,801",0.80,"5,576,504",1.20,"4,830,129",1.95,"3,984,777",1.53,"4,299,241",0.54,"3,573,771",3.94,"10,357,855",0.20,"17,851,203",1.57,"15,227,088",1.07,"9,646,650",0.94,"3,318,063",0.74,"7,045,070",2.50,"1,891,823",1.32,"3,880,943",1.84,"3,399,206",0.29,"4,371,210",1.63,"31,167,195",1.50,"1,856,610",0.82,"61,259,045",0.38,"10,854,665",0.86,"1,147,528",2.11,"16,300,560",1.13,"3,269,113",1.40,"7,040,743",1.01,"20,887,367",0.46,"2,650,633",0.24,"6,433,279",1.53,"1,416,630",3.37,"5,683,389",1.18,"61,626,119",0.79,"3,676,372",1.48,"1,771,729",2.61,"15,125,549",0.61,"12,629,076",1.22,"1,722,626",0.40,"9,812,955",0.83,"1,197,331",1.49
          Sales and gross receipts,"644,354,300",0.08,"8,938,314",0.50,"717,259",1.20,"14,401,175",0.33,"6,461,358",0.39,"82,945,504",0.50,"11,296,113",0.39,"7,787,888",0.00,"623,300",0.04,"2,023,319",0.00,"43,797,844",0.18,"15,104,685",0.33,"5,572,737",0.00,"2,589,425",0.10,"26,136,592",0.21,"12,830,733",0.03,"5,470,812",0.18,"5,798,645",0.38,"7,098,843",0.17,"11,487,663",0.88,"2,335,119",0.01,"10,887,282",0.01,"10,017,367",0.09,"14,612,157",0.00,"11,710,332",0.06,"5,349,820",0.02,"9,463,044",0.70,"680,696",0.17,"3,082,080",0.18,"9,717,081",0.00,"967,930",0.00,"15,992,330",0.05,"5,157,731",0.61,"47,842,969",0.14,"16,543,668",0.22,"1,859,350",0.23,"21,880,660",0.16,"7,164,406",0.67,"2,529,979",0.48,"23,688,895",0.02,"1,909,380",0.20,"6,771,338",0.19,"2,038,125",0.19,"15,041,765",0.32,"65,265,134",0.27,"5,658,618",0.24,"1,192,260",0.05,"12,458,817",0.12,"28,326,644",0.37,"2,938,338",0.03,"9,096,697",0.21,"1,092,076",0.56
               General sales,"436,663,030",0.10,"5,765,708",0.74,"277,950",3.07,"11,970,615",0.40,"4,888,235",0.51,"57,887,231",0.59,"8,221,411",0.52,"4,589,035",0.00,0,0.00,"1,592,116",0.00,"31,111,152",0.14,"10,353,219",0.44,"4,089,019",0.00,"1,920,071",0.12,"14,982,587",0.22,"8,087,259",0.00,"3,737,992",0.24,"4,400,800",0.50,"3,984,768",0.00,"8,392,158",1.21,"1,613,212",0.00,"4,888,693",0.00,"6,834,003",0.00,"9,613,796",0.00,"6,495,609",0.08,"3,731,772",0.00,"7,015,867",0.93,0,0.00,"2,391,281",0.21,"6,319,355",0.00,0,0.00,"10,846,611",0.00,"4,220,484",0.69,"33,319,349",0.20,"11,654,414",0.29,"1,315,195",0.09,"14,933,478",0.23,"5,428,401",0.88,0,0.00,"12,756,407",0.00,"1,120,139",0.00,"4,595,391",0.17,"1,515,587",0.25,"11,449,197",0.42,"46,810,080",0.35,"4,047,244",0.26,"427,256",0.12,"6,917,769",0.17,"21,692,817",0.42,"1,428,204",0.00,"6,153,610",0.20,"876,483",0.69
               Selective sales,"207,691,270",0.13,"3,172,606",0.48,"439,308",0.17,"2,430,561",0.10,"1,573,124",0.14,"25,058,273",0.96,"3,074,702",0.20,"3,198,853",0.00,"623,300",0.04,"431,203",0.00,"12,686,691",0.52,"4,751,466",0.42,"1,483,718",0.00,"669,355",0.15,"11,154,005",0.39,"4,743,474",0.09,"1,732,821",0.20,"1,397,846",0.20,"3,114,075",0.38,"3,095,505",0.10,"721,907",0.04,"5,998,589",0.02,"3,183,364",0.27,"4,998,361",0.01,"5,214,724",0.08,"1,618,048",0.06,"2,447,177",0.44,"680,696",0.17,"690,799",0.41,"3,397,726",0.01,"967,930",0.00,"5,145,719",0.14,"937,248",1.29,"14,523,620",0.09,"4,889,253",0.25,"544,154",0.74,"6,947,182",0.07,"1,736,004",0.19,"2,529,979",0.48,"10,932,488",0.04,"789,241",0.49,"2,175,947",0.47,"522,538",0.04,"3,592,568",0.14,"18,455,054",0.35,"1,611,374",0.52,"765,004",0.05,"5,541,048",0.16,"6,633,828",0.80,"1,510,134",0.06,"2,943,088",0.49,"215,592",0.19
                    Motor fuel,"52,364,608",0.03,"710,270",1.84,"57,392",0.00,"885,012",0.00,"496,140",0.00,"7,557,711",0.00,"676,881",0.00,"497,860",0.00,"142,807",0.00,"27,935",0.00,"3,771,913",0.14,"1,837,954",0.00,"178,511",0.00,"376,941",0.00,"1,505,630",0.00,"1,475,212",0.00,"665,799",0.00,"460,037",0.00,"720,218",0.00,"665,311",0.00,"256,634",0.00,"1,140,220",0.00,"775,463",0.00,"1,476,484",0.00,"935,632",0.00,"453,313",0.03,"725,588",0.00,"261,331",0.00,"391,897",0.00,"656,827",0.02,"127,200",0.00,"500,197",0.00,"239,515",0.00,"1,721,723",0.00,"2,099,105",0.00,"199,322",0.00,"1,980,513",0.00,"573,825",0.00,"623,874",0.09,"3,348,366",0.00,"152,239",0.00,"725,758",0.00,"189,890",0.01,"1,167,127",0.00,"3,743,004",0.00,"571,499",0.00,"126,614",0.00,"1,113,574",0.00,"1,697,722",0.00,"443,423",0.00,"1,116,530",0.00,"120,665",0.00
                    Alcoholic beverage,"7,677,147",0.07,"269,971",0.66,"47,057",0.07,"78,122",0.00,"67,105",0.07,"353,296",0.00,"48,934",0.00,"64,146",0.00,"26,610",0.00,"7,042",0.00,"308,922",0.00,"352,339",1.20,"51,913",0.00,"10,012",0.00,"369,404",0.00,"52,163",0.00,"22,248",0.00,"146,811",0.00,"147,700",0.00,"78,039",0.04,"19,974",0.00,"32,165",0.00,"87,121",0.00,"169,073",0.00,"98,851",0.00,"41,165",0.00,"39,726",0.00,"37,820",0.00,"31,425",0.00,"45,965",0.00,"12,836",0.00,"145,221",0.00,"21,418",0.00,"289,249",0.00,"519,371",0.24,"8,950",0.00,"122,751",0.03,"138,884",0.00,"19,205",0.00,"474,035",0.00,"20,727",0.00,"187,069",0.01,"17,858",0.21,"452,744",0.60,"1,372,693",0.00,"14,203",0.00,"29,062",0.00,"244,877",0.00,"389,822",0.00,"26,954",0.76,"62,124",0.00,"1,976",0.00
                    Tobacco products,"19,124,947",0.01,"202,464",0.41,"97,626",0.29,"309,128",0.00,"218,651",0.00,"1,979,149",0.00,"189,886",0.00,"357,525",0.00,"122,610",0.00,"28,546",0.00,"1,136,716",0.00,"223,363",0.00,"111,803",0.00,"50,300",0.00,"920,869",0.00,"405,031",0.00,"202,021",0.00,"125,661",0.00,"369,501",0.00,"282,920",0.00,"125,978",0.00,"356,684",0.00,"553,261",0.00,"887,071",0.00,"626,533",0.00,"138,722",0.00,"107,012",0.15,"77,234",0.00,"52,862",0.00,"182,492",0.00,"201,332",0.00,"625,382",0.00,"91,489",0.00,"1,100,105",0.00,"292,846",0.00,"27,382",0.00,"919,693",0.00,"420,769",0.00,"250,156",0.00,"1,303,846",0.00,"137,322",0.00,"28,311",0.00,"45,760",0.00,"245,923",0.00,"1,410,391",0.00,"112,090",0.00,"68,434",0.00,"212,294",0.35,"397,049",0.00,"171,224",0.00,"599,794",0.00,"21,736",0.00
