Year,State,Parks and recreation,Insurance trust expenditure,Water supply,Judicial and legal,Correction,Unemployment compensation,Highways,Education,Financial administration,Other insurance trust,Electric power,Housing and community development,Interest on general debt,Libraries,Miscellaneous commercial activities,Solid waste management,Workers' compensation,Public welfare,Natural resources,Other governmental administration,General public buildings,Sewerage,Employee retirement,Health,Protective inspection and regulation,Parking facilities,Air transportation (airports),Utility expenditure,Gas supply,Sea and inland port facilities,Fire protection,Transit,Other and unallocable,Hospitals,Police protection,Employment security administration,Veterans' services,Liquor store expenditure
2019,Alaska,125016,1464508,138112,244015,338387,85082,1294366,3174417,388968,0,358539,233344,294695,36804,274725,120233,3318,2749874,403454,296496,83632,159432,1376108,235442,44191,27108,397880,646360,98965,139381,228239,50744,649172,469334,383326,32654,0,6868
2019,North Dakota,272234,691095,424866,107569,173389,77888,1248663,3026575,157569,0,21196,92842,299531,22239,259425,76312,147667,1562011,298235,93178,47135,79805,465540,226598,41268,8411,174814,465158,128,0,86564,18968,441525,52720,239431,15546,630,0
2019,Minnesota,1299757,6101677,916835,785652,1137098,775076,5005507,19764338,1567386,0,1504988,1113283,1717678,232207,19524,469918,64397,17006866,905725,584636,259606,1021336,5262204,1336381,157383,66923,582801,3131780,96842,57684,538295,613115,2390749,2148019,2329652,45110,20543,254930
2019,Florida,3762035,13558849,5081722,2628457,4937810,329943,12131708,47200063,3760547,0,5441310,2670481,3668800,664390,4859982,2998844,42853,28838752,4905874,1346220,302261,4093892,13186053,6751628,943691,226478,2589423,12898012,270298,554087,4514722,2104681,8384735,10925170,9266340,308238,12319,0
2019,Kentucky,376889,4839754,928526,577695,913068,287650,2273915,12775602,516265,0,635285,460949,1297787,258735,61254,227449,137974,11801422,493561,528620,101158,1059699,4414130,779275,137740,31780,219908,2083070,313579,23526,392081,205679,895814,2701262,818618,111066,55901,0
2019,California,7037780,71201273,18714926,9908300,15146221,5110692,20046391,151754198,5015829,6224177,12014723,9423888,17266960,1625875,1334589,3881239,1019919,136278439,8459380,7209782,622651,9687472,58846485,29906300,4877945,512817,6114770,47909070,286266,1560230,9971813,16893155,11968211,31794401,20609112,283798,22137,0
2019,Texas,3268301,21546311,10155447,3312778,6252452,2033569,23823645,94130812,2724379,0,6811063,2927950,10189223,623296,29516,1675106,403267,42060850,1926177,2382053,1029902,4758557,19109475,6280552,927764,35355,1957637,20548335,591584,727394,3861501,2990239,6213843,21307890,8818557,94876,979555,0
2019,South Carolina,643337,3690905,944441,411563,787209,156963,2242536,16014130,623933,0,2307002,573865,901264,201226,8059,480063,36141,8291111,252054,616257,251641,788462,3497801,1515657,149599,52055,220675,3616317,278695,444856,575675,86180,1051638,7062545,1390348,63244,0,0
2019,United States Total,48820311,372314145,78073926,50485806,82516603,27079539,202751755,1093842504,50812057,7080112,80553861,57808038,112949472,12912286,8062996,27717333,7306452,745661110,35722012,38039494,16064196,62799634,330848042,112838281,15671910,2206749,31615997,248279211,7829436,7011444,55630555,81821987,144392201,211872420,123057057,3898868,1475515,8811363
2019,Wyoming,142469,849572,141282,128311,223525,45336,687860,2806265,187556,0,87820,17333,54643,32397,25613,94843,162086,877334,213817,196840,173575,75714,642150,418998,37318,1563,122734,236410,0,0,89151,7308,596873,1311238,226092,24457,18,107658
2019,District of Columbia,359510,599012,342518,171797,257240,120010,610896,3113274,306211,0,0,1182490,640706,134771,0,137545,0,4093260,101345,157832,256397,449454,479002,670833,126409,35508,0,4632176,0,0,307370,4289658,625363,293380,657169,43743,0,0
2019,Indiana,572359,2822998,857290,642726,1111208,242422,3396516,19391788,593095,0,1332350,988837,1828279,357806,17676,312194,6667,15025834,493188,964993,156486,1350939,2573909,1052369,142312,17743,289461,2749920,309051,22111,911941,251229,2736299,5237243,1553871,83567,11410,0
2019,Oklahoma,599808,2835416,1060116,352361,776227,212867,2789890,11171333,509715,0,1049081,644562,476177,142839,45383,269611,0,7035866,184386,362208,49855,376704,2622549,1139164,166886,11464,146724,2254242,28309,9618,632528,116736,733475,1316432,1094437,74933,14645,0
2019,New Hampshire,109524,879556,126797,177662,219888,44613,754910,4336694,602094,0,5892,226064,423968,58611,4169,129872,0,2476275,60541,285232,91678,251943,834943,166140,69845,18097,45795,167388,0,1102,258344,34700,358887,69340,486833,22946,1395,559778
2019,Nevada,1552676,2942747,1195850,539376,811444,279597,1958542,7448267,341424,0,111713,307063,997175,144980,18036,34757,0,4667856,309424,299664,113233,412396,2663150,440780,205806,11283,452722,1648127,0,0,594500,340564,1080557,1119637,1403437,58974,599,0
2019,Pennsylvania,1100735,15190843,1684809,2133588,3775661,1749112,11422700,46150537,2022180,0,150203,2132902,4395720,248390,7094,901599,129589,35661110,801239,1683344,1397136,2890983,13312142,5936236,415710,207024,676259,5088358,523016,12915,848336,2730330,3576534,4892003,4433170,99877,6936,2040689
2019,Oregon,790466,6235856,997819,863068,1464186,480209,2310837,15753073,993848,0,744752,804213,1300130,250142,19133,167351,234855,12130675,712415,797810,255791,1113279,5520792,1816186,402804,29956,424279,2774262,296,126607,1186936,1031396,2268926,3032184,1509894,53529,7483,437730
