,Description,United States Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
5,            Revenue1,"4,073,109,422","53,516,481","13,912,638","71,901,145","30,683,340","662,194,541","63,639,630","51,379,896","12,503,477","16,284,103","200,410,475","96,920,182","20,408,263","16,373,391","147,523,055","71,781,111","40,458,134","33,320,007","46,375,235","50,678,451","15,670,742","75,623,530","97,922,637","107,986,478","78,198,129","32,309,888","61,582,892","11,926,444","25,178,281","33,910,401","14,179,697","122,060,405","29,782,830","384,430,322","108,650,515","12,365,031","130,587,249","39,516,103","62,585,230","157,235,798","13,508,607","54,324,616","8,452,382","69,679,636","292,924,997","34,572,581","8,552,680","97,498,356","107,029,050","19,151,322","55,887,391","9,561,646"
6,General revenue1,"3,464,410,792","44,823,455","12,152,668","59,114,341","27,063,905","529,008,818","58,444,592","45,504,839","11,229,189","14,211,238","172,918,492","81,549,358","18,531,534","13,615,388","131,043,985","64,961,615","34,248,332","29,343,593","40,443,598","45,642,280","13,817,674","67,712,809","85,640,650","94,600,804","64,738,568","27,843,888","51,233,566","10,246,933","19,018,204","26,465,310","12,106,842","109,702,103","25,620,289","321,507,469","93,410,806","11,117,752","112,610,056","34,132,070","50,179,753","138,149,201","11,905,431","46,035,645","7,195,356","51,065,583","254,737,112","31,496,860","7,709,312","84,307,839","85,385,769","17,107,590","54,987,037","8,771,293"
7,Intergovernmental revenue1,"762,034,820","12,403,701","3,929,975","17,556,420","8,193,548","112,709,434","10,098,828","8,934,112","2,583,811","3,870,155","33,347,992","16,983,362","3,084,439","3,283,521","23,797,382","15,992,437","6,760,748","4,580,673","12,741,480","14,643,744","3,258,300","14,605,514","18,634,397","24,045,258","12,619,817","8,759,624","12,540,048","3,477,481","3,630,624","5,740,340","2,494,513","18,606,327","7,746,581","73,204,562","21,657,936","1,978,677","26,892,433","7,783,800","11,848,586","34,385,915","2,960,985","9,759,649","1,663,467","12,653,518","50,908,970","5,460,357","2,133,128","12,899,837","15,523,709","5,301,333","10,943,014","2,420,360"
8,     From Federal Government,"762,034,820","12,403,701","3,929,975","17,556,420","8,193,548","112,709,434","10,098,828","8,934,112","2,583,811","3,870,155","33,347,992","16,983,362","3,084,439","3,283,521","23,797,382","15,992,437","6,760,748","4,580,673","12,741,480","14,643,744","3,258,300","14,605,514","18,634,397","24,045,258","12,619,817","8,759,624","12,540,048","3,477,481","3,630,624","5,740,340","2,494,513","18,606,327","7,746,581","73,204,562","21,657,936","1,978,677","26,892,433","7,783,800","11,848,586","34,385,915","2,960,985","9,759,649","1,663,467","12,653,518","50,908,970","5,460,357","2,133,128","12,899,837","15,523,709","5,301,333","10,943,014","2,420,360"
9,     From State government1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,     From local governments1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,General revenue from own sources,"2,702,375,972","32,419,754","8,222,693","41,557,921","18,870,357","416,299,384","48,345,764","36,570,727","8,645,378","10,341,083","139,570,500","64,565,996","15,447,095","10,331,867","107,246,603","48,969,178","27,487,584","24,762,921","27,702,117","30,998,535","10,559,373","53,107,295","67,006,253","70,555,546","52,118,752","19,084,264","38,693,518","6,769,452","15,387,581","20,724,971","9,612,330","91,095,776","17,873,708","248,302,907","71,752,870","9,139,075","85,717,623","26,348,270","38,331,167","103,763,286","8,944,446","36,275,996","5,531,889","38,412,064","203,828,142","26,036,503","5,576,184","71,408,002","69,862,061","11,806,257","44,044,023","6,350,933"
12,    Taxes,"1,864,240,998","18,236,896","3,762,051","30,089,141","12,950,526","290,171,024","32,110,642","30,762,557","5,748,106","8,561,829","85,813,465","43,727,662","11,079,500","6,996,485","82,328,037","32,204,012","16,972,747","15,540,200","19,057,515","21,256,980","8,245,890","41,042,394","50,569,118","44,589,712","37,884,488","11,788,604","25,312,999","4,802,196","10,789,520","15,138,061","6,997,478","70,171,547","10,727,964","191,918,211","44,467,974","6,438,341","56,080,942","16,727,024","23,041,723","73,842,843","6,336,274","19,942,932","3,854,042","25,179,367","137,434,213","15,425,825","4,190,099","46,705,034","45,597,532","7,925,187","30,468,552","3,235,532"
13,          Property,"576,888,436","3,011,626","1,625,431","8,443,821","2,356,785","73,668,874","10,353,132","11,463,831","932,343","2,800,884","30,908,943","13,652,068","2,060,154","1,947,804","29,427,894","7,452,801","5,576,504","4,830,129","3,984,777","4,299,241","3,573,771","10,357,855","17,851,203","15,227,088","9,646,650","3,318,063","7,045,070","1,891,823","3,880,943","3,399,206","4,371,210","31,167,195","1,856,610","61,259,045","10,854,665","1,147,528","16,300,560","3,269,113","7,040,743","20,887,367","2,650,633","6,433,279","1,416,630","5,683,389","61,626,119","3,676,372","1,771,729","15,125,549","12,629,076","1,722,626","9,812,955","1,197,331"
14,          Sales and gross receipts,"644,354,300","8,938,314","717,259","14,401,175","6,461,358","82,945,504","11,296,113","7,787,888","623,300","2,023,319","43,797,844","15,104,685","5,572,737","2,589,425","26,136,592","12,830,733","5,470,812","5,798,645","7,098,843","11,487,663","2,335,119","10,887,282","10,017,367","14,612,157","11,710,332","5,349,820","9,463,044","680,696","3,082,080","9,717,081","967,930","15,992,330","5,157,731","47,842,969","16,543,668","1,859,350","21,880,660","7,164,406","2,529,979","23,688,895","1,909,380","6,771,338","2,038,125","15,041,765","65,265,134","5,658,618","1,192,260","12,458,817","28,326,644","2,938,338","9,096,697","1,092,076"
15,               General sales,"436,663,030","5,765,708","277,950","11,970,615","4,888,235","57,887,231","8,221,411","4,589,035",0,"1,592,116","31,111,152","10,353,219","4,089,019","1,920,071","14,982,587","8,087,259","3,737,992","4,400,800","3,984,768","8,392,158","1,613,212","4,888,693","6,834,003","9,613,796","6,495,609","3,731,772","7,015,867",0,"2,391,281","6,319,355",0,"10,846,611","4,220,484","33,319,349","11,654,414","1,315,195","14,933,478","5,428,401",0,"12,756,407","1,120,139","4,595,391","1,515,587","11,449,197","46,810,080","4,047,244","427,256","6,917,769","21,692,817","1,428,204","6,153,610","876,483"
16,               Selective sales,"207,691,270","3,172,606","439,308","2,430,561","1,573,124","25,058,273","3,074,702","3,198,853","623,300","431,203","12,686,691","4,751,466","1,483,718","669,355","11,154,005","4,743,474","1,732,821","1,397,846","3,114,075","3,095,505","721,907","5,998,589","3,183,364","4,998,361","5,214,724","1,618,048","2,447,177","680,696","690,799","3,397,726","967,930","5,145,719","937,248","14,523,620","4,889,253","544,154","6,947,182","1,736,004","2,529,979","10,932,488","789,241","2,175,947","522,538","3,592,568","18,455,054","1,611,374","765,004","5,541,048","6,633,828","1,510,134","2,943,088","215,592"
17,                    Motor fuel,"52,364,608","710,270","57,392","885,012","496,140","7,557,711","676,881","497,860","142,807","27,935","3,771,913","1,837,954","178,511","376,941","1,505,630","1,475,212","665,799","460,037","720,218","665,311","256,634","1,140,220","775,463","1,476,484","935,632","453,313","725,588","261,331","391,897","656,827","127,200","500,197","239,515","1,721,723","2,099,105","199,322","1,980,513","573,825","623,874","3,348,366","152,239","725,758","189,890","1,167,127","3,743,004","571,499","126,614","1,113,574","1,697,722","443,423","1,116,530","120,665"
18,                    Alcoholic beverage,"7,677,147","269,971","47,057","78,122","67,105","353,296","48,934","64,146","26,610","7,042","308,922","352,339","51,913","10,012","369,404","52,163","22,248","146,811","147,700","78,039","19,974","32,165","87,121","169,073","98,851","41,165","39,726","37,820","31,425","45,965","12,836","145,221","21,418","289,249","519,371","8,950","122,751","138,884","19,205","474,035","20,727","187,069","17,858","452,744","1,372,693","14,203","29,062","244,877","389,822","26,954","62,124","1,976"
19,                    Tobacco products,"19,124,947","202,464","97,626","309,128","218,651","1,979,149","189,886","357,525","122,610","28,546","1,136,716","223,363","111,803","50,300","920,869","405,031","202,021","125,661","369,501","282,920","125,978","356,684","553,261","887,071","626,533","138,722","107,012","77,234","52,862","182,492","201,332","625,382","91,489","1,100,105","292,846","27,382","919,693","420,769","250,156","1,303,846","137,322","28,311","45,760","245,923","1,410,391","112,090","68,434","212,294","397,049","171,224","599,794","21,736"
20,                    Public utilities,"27,948,021","794,148","18,088","221,704","160,525","4,191,552","135,772","273,076","56,032","187,656","3,934,118","398,324","266,351","40,735","2,594,325","274,955","271,760","167,378","400,206","153,606","27,773","618,706",0,"81,157","157,208","64,607","383,234","43,018","111,773","347,475","48,231","1,039,612","91,714","1,719,664",272,"70,715","1,079,067","148,468","342,279","1,271,659","103,042","103,992","39,003","109,208","2,044,125","261,386","11,204","1,089,465","1,455,531","154,898","360,211","29,019"
21,                    Other selective sales,"100,576,547","1,195,753","219,145","936,595","630,703","10,976,566","2,023,229","2,006,246","275,241","180,024","3,535,022","1,939,487","875,140","191,367","5,763,777","2,536,113","570,993","497,959","1,476,450","1,915,629","291,548","3,850,814","1,767,519","2,384,576","3,396,499","920,241","1,191,618","261,293","102,842","2,164,967","578,331","2,835,307","493,112","9,692,879","1,977,659","237,786","2,845,158","454,058","1,294,465","4,534,582","375,911","1,130,817","230,028","1,617,566","9,884,841","652,196","529,690","2,880,838","2,693,704","713,636","804,429","42,197"
22,          Individual income,"446,770,072","4,335,161",0,"5,357,251","3,012,491","100,079,921","8,171,546","8,445,783","1,741,418","2,299,326",0,"12,176,943","2,568,259","1,668,776","18,762,174","10,152,099","4,204,705","3,779,463","6,201,843","3,833,235","1,709,069","15,916,008","17,150,964","10,777,373","12,400,060","1,968,485","7,044,712","1,412,863","2,545,680",0,"122,622","15,903,287","1,590,271","62,093,671","13,258,890","415,274","15,048,614","3,565,449","9,847,141","19,258,237","1,376,495","4,759,113",0,"201,900",0,"4,978,629","860,639","14,917,745",0,"2,096,807","8,759,680",0
23,          Corporate income,"67,841,409","684,296","332,520","521,531","533,915","13,792,519","794,659","2,065,833","296,721","642,656","3,114,711","1,271,270","190,484","284,961","3,822,382","752,352","535,594","486,421","954,322","495,388","252,867","1,301,050","2,946,667","1,142,671","1,711,659","494,811","452,082","185,097","423,738",0,"831,765","3,909,308","202,367","10,595,119","836,415","146,523","267,765","302,878","1,008,375","3,518,422","176,463","396,207","46,295","1,697,469",0,"522,382","149,832","1,247,128",0,"198,799","1,304,720",0
24,          Motor vehicle license,"30,047,005","261,218","58,324","267,361","168,295","4,921,855","537,247","243,358","59,061","45,973","1,474,100","387,076","439,966","214,702","1,767,938","406,587","703,203","251,266","233,448","82,938","117,210","516,820","448,837","1,375,049","861,447","171,469","322,709","180,802","197,039","209,621","84,485","668,735","220,305","1,582,791","1,000,886","120,468","630,001","747,911","801,449","1,153,788","29,901","335,538","119,435","529,089","2,543,976","234,550","69,352","620,873","967,425","5,218","531,907","124,005"
25,          Other taxes,"98,339,776","1,006,281","1,028,518","1,098,002","417,682","14,762,351","957,945","755,865","2,095,263","749,671","6,517,868","1,135,620","247,900","290,817","2,411,058","609,439","481,930","394,275","584,282","1,058,515","257,855","2,063,379","2,154,081","1,455,375","1,554,339","485,955","985,381","450,916","660,040","1,812,153","619,466","2,530,692","1,700,679","8,544,617","1,973,450","2,749,198","1,953,343","1,677,267","1,814,036","5,336,134","193,402","1,247,457","233,557","2,025,754","7,998,984","355,274","146,288","2,334,922","3,674,388","963,398","962,593","822,121"
26,     Charges and miscellaneous general revenue,"838,134,974","14,182,858","4,460,642","11,468,780","5,919,831","126,128,359","16,235,122","5,808,170","2,897,272","1,779,254","53,757,034","20,838,334","4,367,595","3,335,382","24,918,565","16,765,166","10,514,837","9,222,721","8,644,602","9,741,556","2,313,483","12,064,901","16,437,135","25,965,834","14,234,264","7,295,660","13,380,519","1,967,256","4,598,060","5,586,909","2,614,852","20,924,229","7,145,744","56,384,696","27,284,896","2,700,734","29,636,681","9,621,246","15,289,444","29,920,443","2,608,172","16,333,064","1,677,847","13,232,697","66,393,929","10,610,677","1,386,084","24,702,968","24,264,528","3,881,070","13,575,471","3,115,401"
27,          Current charges,"572,392,626","11,498,471","1,684,428","7,427,013","4,208,495","93,883,710","11,482,022","3,668,350","1,604,432","812,714","34,484,191","15,459,619","2,599,457","2,478,561","15,390,802","12,386,243","7,988,030","6,860,104","6,626,314","6,758,675","1,612,593","7,743,475","9,386,828","18,805,638","9,392,424","6,174,322","8,898,683","1,240,408","3,114,593","3,712,210","1,584,627","11,782,881","2,941,978","34,148,541","21,315,763","1,282,921","18,749,009","6,084,844","10,357,422","21,357,297","1,502,502","12,700,718","942,695","8,843,442","43,330,994","7,867,363","898,875","17,479,228","18,358,926","2,580,189","8,926,429","1,973,176"
28,               Education,"140,636,744","3,218,581","213,974","3,326,987","1,447,226","14,654,951","3,836,665","1,523,622","758,342","39,134","4,764,506","3,244,021","430,102","538,990","4,327,691","3,947,892","2,166,136","1,677,611","1,734,898","1,750,729","391,521","2,772,313","3,181,379","6,436,601","2,668,176","1,410,358","2,575,854","525,474","1,064,765","596,886","667,368","4,058,009","664,450","4,377,901","4,281,766","514,499","6,326,872","2,528,619","2,226,219","7,048,023","510,393","2,821,652","418,569","2,153,868","11,224,999","2,399,906","589,702","4,987,222","3,725,905","916,453","2,778,847","190,116"
29,                    Institutions  of higher education,"124,216,846","2,839,850","184,461","3,082,170","1,282,275","13,472,575","3,304,163","1,410,162","744,014","34,330","3,517,140","2,676,477","398,104","496,960","3,673,627","3,621,834","1,986,104","1,518,419","1,638,232","1,697,711","346,079","2,655,043","2,713,707","5,833,509","2,071,393","1,247,563","2,130,792","464,489","859,599","565,970","615,759","3,374,191","601,548","3,873,478","4,032,113","431,627","5,251,807","2,201,878","2,037,028","6,162,042","447,264","2,537,825","350,616","1,630,536","9,974,120","2,197,257","565,967","4,643,884","3,280,074","886,113","2,484,218","170,750"
30,                    School lunch sales (gross),"5,615,526","102,210","9,012","89,890","51,081","364,364","99,291","91,611","13,504","1,134","192,861","172,462","23,059","26,185","204,333","178,445","109,287","84,613","48,638","21,628","28,285","99,536","238,351","146,559","194,238","41,172","135,859","18,326","70,103","20,226","37,952","248,320","21,828","231,005","152,292","36,518","236,471","69,608","44,439","273,006","19,265","70,108","32,622","91,865","606,195","61,003","14,810","203,387","113,688","8,381","150,639","15,860"
31,               Hospitals,"180,003,025","6,222,670","445,406","583,676","1,434,522","30,825,060","2,659,733","473,759","6,056","121,618","9,315,113","5,377,835","453,706","648,320","2,191,089","5,002,921","4,094,647","3,529,227","2,812,572","2,479,758","118,559","173,228","388,059","5,587,436","2,265,665","3,728,314","3,336,223","76,930","617,578","807,262","6,032","1,099,452","1,305,686","11,737,402","12,018,304","5,744","6,050,562","1,270,905","2,817,803","4,659,634","3,215","6,887,660","106,436","3,373,743","14,862,297","2,914,604",109,"6,162,664","5,177,772","292,437","2,114,754","1,358,869"
32,               Highways,"22,264,494","10,959","78,714","26,459","8,312","817,077","442,305","12,532","328,447","1,386","2,164,563","94,770","4,774","48,483","1,439,476","412,865","6,709","137,766","84,912","38,964","159,360","762,098","1,094,435","138,900","199,540","10,170","35,109","32,057","32,608","9,839","159,303","2,250,357","16,279","4,662,252","73,542","14,943","355,847","330,436","88,794","1,567,777","55,930","155,819","11,551","3,180","2,491,391","24,488","2,283","429,359","602,717","134,668","190,709","9,279"
33,               Air transportation (airports),"26,574,024","131,838","200,554","469,844","82,412","4,358,838","1,011,716","33,193","7,908",0,"2,414,604","887,749","494,835","44,363","1,573,520","233,135","84,035","53,592","242,230","176,028","50,696","268,164","904,197","552,375","392,380","43,574","355,964","32,858","78,763","703,160","37,878","26,418","66,815","2,939,164","749,759","33,982","333,516","115,392","355,734","580,492","63,767","150,980","20,435","447,297","2,368,271","258,501","21,906","1,046,839","859,532","35,583","152,185","27,054"
34,               Parking facilities,"3,363,483","11,813","9,220","18,118","4,323","685,549","31,980","89,771","19,972","5,713","273,960","20,531","10,947",659,"59,650","12,761","27,976","6,352","31,425","12,785","15,440","127,242","58,125","72,473","101,341","1,159","31,295","7,505","25,341","8,789","19,808","131,252","10,660","370,823","63,433","3,794","71,951","15,252","93,770","408,725","2,143","53,287","4,147","20,362","53,895","7,983","8,131","74,142","78,856","8,257","80,215",383
35,               Sea and inland port facilities,"6,551,137","158,449","78,937",0,"4,398","1,706,107",0,764,"18,072",0,"632,749","473,619","187,254","1,193","1,467","20,027",11,0,"25,369","241,115","3,706","61,247","157,892","1,209","27,073","57,117","2,785","1,898",0,0,0,"27,077",0,"328,297","48,757",0,"21,270","8,556","115,886","2,849","1,656","294,694",0,"2,774","645,075",0,0,"552,492","630,817",0,"8,480",0
36,               Natural resources,"6,053,547","9,440","24,039","157,476","22,535","2,535,086","69,216","33,100","1,437",0,"610,036","64,273","23,987","126,267","69,226","51,889","108,044","44,073","107,346","14,828","23,462","23,535","32,465","67,347","75,986","31,770","13,130","73,497","59,279","30,206","5,208","11,027","37,783","69,523","59,072","28,399","62,413","20,514","303,812","44,389","16,441","39,959","24,711","32,136","314,454","29,327","4,215","10,588","253,027","32,937","116,706","33,932"
37,               Parks and recreation,"12,263,973","155,884","21,613","183,663","76,959","1,634,417","500,071","113,133","21,778","31,165","880,082","313,318","55,665","58,600","1,381,901","179,152","111,563","66,028","129,222","236,797","39,764","179,698","161,887","233,086","365,997","44,922","207,130","25,497","46,666","163,460","57,315","263,018","36,320","751,992","249,223","104,252","361,316","128,369","303,013","256,072","48,506","155,969","35,196","133,671","597,381","197,105","28,300","286,230","326,581","81,545","216,869","26,615"
