Year,State,Parks and recreation,Insurance trust expenditure,Water supply,Judicial and legal,Correction,Unemployment compensation,Highways,Education,Financial administration,Other insurance trust,Electric power,Housing and community development,Interest on general debt,Libraries,Miscellaneous commercial activities,Solid waste management,Workers' compensation,Public welfare,Natural resources,Other governmental administration,General public buildings,Sewerage,Employee retirement,Health,Protective inspection and regulation,Parking facilities,Air transportation (airports),Utility expenditure,Gas supply,Sea and inland port facilities,Fire protection,Transit,Other and unallocable,Hospitals,Police protection,Employment security administration,Veterans' services,Liquor store expenditure
2016,Vermont,64534,400842,89126,74177,146791,70996,601425,2751920,116651,0,166228,158558,132920,21707,40539,34779,0,1879062,106995,85905,34527,86444,329846,364975,38346,8393,42949,286960,0,0,56157,31606,148685,22210,208207,2316,2376,59662
2016,Rhode Island,82548,1534542,240359,146371,230043,153322,451746,3339874,185406,184026,7607,293345,541364,39469,6016,104150,1264,2979209,75298,248772,88813,182741,1195930,235309,27489,1461,58947,358058,0,3492,333804,110092,422184,61822,439212,39583,0,0
2016,New Mexico,318972,2309049,381660,333596,784713,194581,976842,6670568,426871,0,194697,144973,449431,42465,5104,230655,16107,6277708,293593,248444,108337,210971,2098361,720686,107291,8333,86458,808897,82156,0,307856,150384,948016,1488837,687256,10441,4155,0
2016,Maine,95162,997403,153411,106923,257526,106232,1006819,3417674,258015,0,13208,284021,275973,41681,7066,116700,0,3175627,143998,151806,79606,193650,891171,244334,47777,4693,59729,204211,290,5459,160582,37302,679070,204384,289950,55880,243,0
2016,North Carolina,1089360,5969025,1553862,912407,1892121,243817,4333209,25802652,1178885,0,2398683,1460059,1915023,265719,29145,783653,0,14279156,593780,889947,494449,1044236,5725208,4999354,347996,30850,437645,5008992,125595,39130,1050461,930852,1617241,10210785,3058607,62075,6517,672948
2016,Kansas,332290,1998912,694947,317342,522150,229823,1990100,9390613,360303,0,827132,279827,841505,123565,16945,165797,0,4006358,252515,345766,120095,368751,1769089,420759,90172,6458,125120,1604884,33175,0,353714,49630,1018914,2926761,788654,32329,11071,0
2016,Louisiana,727640,4649734,611444,694434,1137143,214794,2393945,12306565,736533,29282,556193,717885,1537890,198279,63554,357982,58768,8963138,1036342,523853,127245,781781,4346890,673081,126156,2680,266136,1500268,93409,340560,727365,239222,1649751,2795362,1599088,126003,6046,0
2016,Ohio,1320412,17363699,1823092,1755792,1930150,981610,5949614,34099872,2021041,0,1046213,2026506,2815815,500347,60029,493171,819733,28413857,422443,1241978,431197,2181654,15562356,3494282,288328,63381,352674,3777657,50297,34242,1986882,858055,2936773,4459667,3659235,125885,30268,813369
2016,New Jersey,804411,13147296,942337,1503010,2133679,2042564,4874771,36310695,1405612,526297,154810,1453431,3317807,424933,252,995219,209153,16796402,478343,512996,373237,1642846,10369282,3232920,422195,81335,24500,4095708,0,43917,996016,2998561,8784623,2341904,3518642,192922,16011,0
2016,Nebraska,239835,1114320,325764,185011,499374,77914,1586184,7198248,305851,0,3843029,213869,331568,71414,8882,103313,751,2552348,278504,217521,50369,320317,1035655,314539,69966,8479,109869,4487733,270397,0,230969,48543,839520,880230,493201,43720,1184,0
2016,Mississippi,214871,2645918,327108,272804,497403,99402,1670797,8273038,438704,0,423379,278203,482488,47193,5702,193303,0,6180453,276143,254126,88677,316490,2546516,367609,89038,1201,95837,901583,132102,55886,287080,18994,669415,3899751,756900,112778,3670,279212
2016,Idaho,151757,1095698,144824,199191,362929,102290,841937,3356579,285192,0,77302,147060,236411,58931,40481,163114,141072,2440566,284943,125278,86046,216433,852336,258356,56398,60,61916,250850,36,1776,173385,28688,313962,706634,430772,9146,0,120067
2016,Arizona,665351,4711062,1337004,971356,1686597,278520,2445191,14539617,551930,0,3395738,452383,1486637,171791,2155,423847,0,12937972,483002,620429,250478,725605,4432542,868144,195404,9292,519142,5537984,52766,0,1119648,752476,1433339,1011959,2267170,2,14501,0
2016,Hawaii,319381,1385193,363774,300445,217115,139675,729848,3390117,271727,0,0,264639,340275,34794,394,239888,0,2841269,163803,144235,152639,422493,1245518,539552,58929,4062,438887,1259732,0,84956,227779,895958,1428160,628652,457839,6460,0,0
2016,Washington,1176298,7274936,1377230,1135011,1728290,1005764,4228359,23368058,893048,0,5090447,1354714,2712904,472803,91662,765490,2096230,11778473,1255189,573902,353767,1958015,4172942,3385356,508084,21132,577310,9078089,8485,492416,1553475,2601927,1931910,5690289,2094309,189939,36738,0
2016,Colorado,1224071,5909226,1755383,824632,1309595,547071,2980071,16331079,837623,14613,1026758,914760,2040783,289409,114036,141989,409590,8543733,502985,868629,313314,956777,4937952,772356,123350,46609,765390,4549461,157213,0,944795,1610107,2225260,2425927,1829355,57653,4130,0
2016,Utah,480530,1817601,572107,341343,541203,180058,1557027,9532763,490168,0,1072832,342531,439034,104657,21096,157180,195908,3766068,265706,345449,444917,271824,1441635,570880,76172,106,273035,2041605,5354,0,286562,391312,1030922,1919767,665185,11827,3376,257660
2016,Alabama,453847,3776172,937722,362247,721568,196704,2414997,13602047,613407,0,1635264,499373,1006207,95107,20738,281704,0,8404388,234322,459648,110021,386109,3579468,823787,137083,17695,111014,3002048,361776,115226,480366,67286,1528324,5956802,1249556,94880,5922,321268
2016,Georgia,1134237,7435773,2179157,1307792,1989501,394407,4134770,26726085,1036723,46104,2192296,1225726,1429095,216742,53235,653652,0,11777936,458033,945483,373159,1178268,6995262,2246563,166333,9490,624335,5908847,800030,329784,1157817,737364,2052664,4758505,2667236,37921,8444,0
2016,Montana,93252,945571,156535,212152,257400,115595,867933,2879944,166638,0,600,82406,177750,28594,63828,79759,64994,1770617,261187,161040,65056,152336,764982,357401,37393,5767,57567,197582,0,1247,98713,40447,331562,153721,294354,46792,2168,81539
2016,West Virginia,189454,1725860,272815,278248,352991,256533,1278978,5358703,277133,0,7991,138808,398171,55613,2649,77490,191360,4747353,218894,255984,104751,316777,1277967,283544,68847,8688,48688,338276,405,9388,116113,57065,740016,480753,387736,20147,11031,75983
2016,Missouri,736017,5321307,784457,556963,911452,292884,2348262,15082413,647776,0,1371602,639818,1594170,267644,29605,148988,103393,9158537,415323,565911,202138,1168850,4925030,2170145,99917,24996,317802,2797714,134457,3398,852232,507198,2245867,3899470,1799536,43844,4477,0
2016,Illinois,2668250,19884220,2971872,1595541,1883918,1943616,9511597,37607030,1823168,283,1030237,1984036,6708523,793608,21842,566937,12543,21280856,661180,1679882,619510,2120313,17927778,1887689,289818,70042,1223169,8828134,64099,6736,2602477,4761926,5485922,3121980,5200415,50947,9524,0
2016,Michigan,1014058,9575071,1626517,1167757,2521401,849313,3833532,29997117,1087940,0,1128808,1107947,3135578,382716,106921,497773,15689,16927188,424474,714038,210561,2362490,8710069,4372475,459196,61946,530339,3426065,0,7182,927144,670740,3462806,4628045,2509076,176033,0,824929
2016,Maryland,1201579,5878770,1394537,929100,1904825,545496,3389979,20040652,1088234,59871,70957,1441189,2004580,185732,38216,1002719,184637,12190746,506380,652512,345778,1365623,5088766,1742042,293275,52741,351916,2705248,164,145138,1150979,1239590,3275826,585049,2655341,53791,2977,264764
2016,Tennessee,600402,3405763,1333135,772541,1138801,260540,2228108,13914022,803568,0,6636346,804372,1130117,136804,83158,410529,0,11690007,388788,528160,319515,859296,3145223,965111,142418,10587,398664,9314878,1125479,2541,699214,219918,1562244,3571353,1810523,68027,5793,0
2016,Wisconsin,698508,5890313,697050,652826,1479715,519502,3796340,18085655,629008,0,1407621,310850,1303526,311060,11031,384135,2033,12250660,651445,965841,289013,992032,5368778,1504204,221879,63004,293641,2478909,1209,12108,713330,373029,1230472,2184107,1894438,136196,18589,0
2016,Delaware,85848,781858,97842,199184,310914,75790,586099,3678447,215263,0,313062,146549,306814,50594,9,87102,5224,2416452,87797,134830,98874,193204,700844,481989,69680,11322,7369,547992,0,58203,34617,137088,222236,83923,354420,17066,0,0
2016,Massachusetts,505789,8519973,1173946,1167817,914586,1492307,3845033,21962330,978889,3560,1398511,2782713,2895229,328632,20675,408718,47260,21859222,286173,425244,905482,1225203,6976846,1449974,288082,17806,616880,6289650,45995,100769,1256997,3671198,6631183,1580333,2515455,216627,83230,0
2016,Arkansas,270665,1998244,486871,222794,504403,204938,1757302,8358803,659614,0,455628,186799,484624,97520,47177,223458,14579,6914795,377990,229147,37536,317124,1778727,311258,97288,11531,105224,987246,3232,2901,292590,41515,386540,1128349,680398,89321,1852,0
