,Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
5,            Revenue1,"3,408,694,937",0.05,"46,651,306",0.35,"11,497,088",0.11,"59,058,409",0.14,"26,682,770",0.17,"511,974,138",0.25,"55,105,506",0.37,"42,801,774",0.15,"10,284,816",0.01,"14,628,056",0,"164,755,203",0.22,"78,329,632",0.22,"17,454,318",0,"13,188,505",0.14,"128,361,488",0.18,"60,406,402",0.26,"36,750,610",0.29,"28,166,307",0.47,"40,310,025",0.14,"42,674,534",0.1,"12,567,515",0.37,"65,194,610",0.07,"85,616,442",0.24,"98,854,813",0.19,"63,851,206",0.2,"29,456,966",0.19,"52,638,452",0.32,"9,628,358",0.11,"22,686,088",0.45,"26,301,713",0.47,"12,702,773",0.49,"103,801,977",0.28,"23,439,253",0.05,"326,701,288",0.08,"92,593,783",0.24,"9,950,401",0.16,"117,027,357",0.25,"32,751,945",0.27,"47,935,969",0.19,"134,706,521",0.22,"12,297,022",0.07,"46,702,477",0.15,"7,345,444",0.24,"56,600,967",0.39,"247,566,135",0.23,"27,788,917",0.55,"7,809,095",0.4,"79,074,530",0.16,"85,279,112",0.28,"16,985,026",0.12,"53,990,652",0.22,"9,767,243",0.18
6,General revenue1,"3,018,371,624",0.05,"38,703,898",0.21,"10,649,509",0.12,"50,455,305",0.14,"24,587,262",0.17,"444,254,874",0.26,"48,398,207",0.4,"39,865,450",0.12,"9,678,193",0,"13,612,630",0,"149,892,554",0.21,"69,861,935",0.19,"16,515,407",0,"11,695,270",0.15,"115,501,726",0.18,"55,164,908",0.24,"32,967,426",0.31,"25,454,178",0.51,"36,762,160",0.11,"38,723,324",0.09,"11,923,039",0.38,"60,885,175",0.05,"76,247,163",0.25,"85,797,532",0.2,"58,196,185",0.2,"26,662,384",0.15,"45,820,404",0.3,"8,635,751",0.12,"17,322,074",0.54,"22,166,128",0.56,"11,240,712",0.56,"96,729,909",0.3,"20,798,190",0.05,"292,905,920",0.09,"83,220,188",0.25,"9,080,347",0.17,"103,472,964",0.27,"29,865,733",0.22,"41,674,917",0.21,"119,518,707",0.16,"11,254,970",0.07,"40,840,648",0.15,"6,667,861",0.26,"45,101,054",0.31,"212,311,356",0.26,"24,107,939",0.62,"7,190,125",0.42,"70,756,015",0.18,"71,233,446",0.32,"15,913,176",0.11,"49,372,903",0.22,"8,714,493",0.19
7,Intergovernmental revenue1,"693,988,585",0.04,"10,411,381",0.22,"3,128,884",0.08,"14,900,864",0.09,"7,669,426",0.12,"102,626,183",0.17,"9,615,003",0.27,"8,002,677",0.32,"2,247,296",0,"4,483,920",0,"29,597,737",0.22,"15,652,489",0.21,"3,318,774",0,"2,750,606",0.24,"23,318,709",0.22,"14,731,843",0.13,"6,590,134",0.2,"4,032,336",0.29,"12,101,161",0.09,"11,012,714",0.03,"2,972,240",0.3,"13,139,753",0.02,"17,123,629",0.28,"22,388,750",0.16,"11,942,744",0.36,"8,751,813",0.16,"11,502,771",0.11,"2,823,794",0.07,"3,405,009",0.74,"4,984,200",2.46,"2,337,541",0.05,"18,165,397",0.11,"7,676,684",0.02,"62,244,896",0.04,"21,115,824",0.34,"1,877,388",0.24,"26,070,974",0.19,"7,544,737",0.32,"10,863,703",0.34,"28,866,232",0.12,"2,952,169",0.14,"9,400,715",0.47,"1,596,678",0.24,"12,092,296",0.2,"45,088,391",0.1,"4,722,212",0.04,"2,249,266",0.06,"11,438,948",0.64,"15,003,000",0.27,"4,840,317",0.17,"9,791,585",0.19,"2,822,792",0.24
8,     From Federal Government,"693,988,585",0.04,"10,411,381",0.22,"3,128,884",0.08,"14,900,864",0.09,"7,669,426",0.12,"102,626,183",0.17,"9,615,003",0.27,"8,002,677",0.32,"2,247,296",0,"4,483,920",0,"29,597,737",0.22,"15,652,489",0.21,"3,318,774",0,"2,750,606",0.24,"23,318,709",0.22,"14,731,843",0.13,"6,590,134",0.2,"4,032,336",0.29,"12,101,161",0.09,"11,012,714",0.03,"2,972,240",0.3,"13,139,753",0.02,"17,123,629",0.28,"22,388,750",0.16,"11,942,744",0.36,"8,751,813",0.16,"11,502,771",0.11,"2,823,794",0.07,"3,405,009",0.74,"4,984,200",2.46,"2,337,541",0.05,"18,165,397",0.11,"7,676,684",0.02,"62,244,896",0.04,"21,115,824",0.34,"1,877,388",0.24,"26,070,974",0.19,"7,544,737",0.32,"10,863,703",0.34,"28,866,232",0.12,"2,952,169",0.14,"9,400,715",0.47,"1,596,678",0.24,"12,092,296",0.2,"45,088,391",0.1,"4,722,212",0.04,"2,249,266",0.06,"11,438,948",0.64,"15,003,000",0.27,"4,840,317",0.17,"9,791,585",0.19,"2,822,792",0.24
9,     From State government1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,     From local governments1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,General revenue from own sources,"2,324,383,039",0.07,"28,292,517",0.27,"7,520,625",0.16,"35,554,441",0.2,"16,917,836",0.25,"341,628,691",0.34,"38,783,204",0.49,"31,862,773",0.13,"7,430,897",0,"9,128,710",0,"120,294,817",0.25,"54,209,446",0.24,"13,196,633",0,"8,944,664",0.19,"92,183,017",0.22,"40,433,065",0.33,"26,377,292",0.38,"21,421,842",0.61,"24,660,999",0.15,"27,710,610",0.12,"8,950,799",0.5,"47,745,422",0.07,"59,123,534",0.31,"63,408,782",0.27,"46,253,441",0.24,"17,910,571",0.21,"34,317,633",0.4,"5,811,957",0.17,"13,917,065",0.65,"17,181,928",0.09,"8,903,171",0.7,"78,564,512",0.37,"13,121,506",0.08,"230,661,024",0.11,"62,104,364",0.31,"7,202,959",0.2,"77,401,990",0.36,"22,320,996",0.27,"30,811,214",0.25,"90,652,475",0.21,"8,302,801",0.08,"31,439,933",0.14,"5,071,183",0.33,"33,008,758",0.42,"167,222,965",0.33,"19,385,727",0.77,"4,940,859",0.61,"59,317,067",0.17,"56,230,446",0.4,"11,072,859",0.15,"39,581,318",0.27,"5,891,701",0.26
12,    Taxes,"1,602,017,996",0.08,"16,025,150",0.38,"2,694,790",0.17,"25,023,736",0.22,"11,805,696",0.28,"238,493,453",0.41,"25,712,268",0.63,"26,318,638",0.15,"4,532,432",0,"7,418,773",0,"72,722,182",0.29,"37,820,219",0.27,"9,239,417",0,"5,923,220",0.22,"71,128,899",0.23,"25,648,443",0.32,"15,297,255",0.26,"13,278,912",0.81,"16,974,935",0.18,"18,223,927",0.17,"6,929,697",0.61,"36,626,675",0.08,"44,213,726",0.41,"40,677,328",0.23,"33,676,617",0.19,"10,782,583",0.22,"22,516,834",0.36,"3,977,482",0.19,"9,704,233",0.61,"12,583,334",0.02,"6,448,739",0.97,"59,992,011",0.47,"7,878,209",0.11,"177,788,019",0.12,"39,822,081",0.31,"5,015,182",0.23,"51,999,169",0.29,"13,827,169",0.4,"18,282,897",0.26,"64,669,513",0.22,"5,862,102",0.1,"16,933,567",0.19,"3,492,953",0.21,"21,963,292",0.41,"113,466,958",0.46,"11,639,639",0.2,"3,711,771",0.81,"38,366,244",0.22,"36,858,765",0.4,"7,241,918",0.11,"27,620,213",0.3,"3,166,731",0.23
13,          Property,"504,592,720",0.24,"2,690,722",0.96,"1,517,934",0.13,"7,329,760",0.56,"2,103,819",1.36,"61,266,035",1.52,"7,909,040",1.45,"10,501,407",0.38,"819,763",0.02,"2,418,896",0,"26,098,465",0.72,"11,996,286",0.71,"1,629,213",0,"1,603,067",0.77,"27,553,763",0.55,"6,306,361",1.2,"4,955,004",0.75,"4,387,045",2.42,"3,458,091",0.75,"4,156,892",0.14,"2,804,075",1.52,"9,319,099",0.32,"16,091,000",1.14,"14,034,722",0.65,"8,660,062",0.73,"2,947,131",0.81,"5,946,528",0.97,"1,581,394",0.47,"3,641,965",1.57,"2,922,957",0.08,"4,188,402",1.49,"27,839,012",1.02,"1,535,897",0.39,"55,152,270",0.33,"9,906,032",1.17,"979,523",1.12,"14,663,741",0.71,"2,734,177",0.46,"5,921,130",0.75,"18,888,421",0.52,"2,554,186",0.22,"5,767,945",0.53,"1,193,960",0.57,"5,546,728",1.49,"50,417,912",0.98,"3,093,584",0.6,"1,616,527",1.87,"13,001,233",0.61,"10,489,389",1.1,"1,673,932",0.42,"9,397,034",0.85,"1,381,189",0.5
14,          Sales and gross receipts,"559,624,992",0.07,"7,764,745",0.65,"609,213",0.68,"12,202,334",0.3,"5,922,681",0.27,"70,523,753",0.37,"9,374,783",1.18,"6,518,905",0,"555,513",0,"1,783,982",0,"37,311,046",0.23,"13,269,806",0.44,"4,765,589",0,"2,167,275",0.08,"24,128,318",0.2,"10,906,160",0.03,"5,178,020",0.24,"5,689,076",0.35,"6,285,560",0.12,"9,968,570",0.3,"2,084,550",0.01,"9,886,928",0.03,"9,139,496",0.04,"13,607,018",0.02,"10,503,466",0.05,"4,892,734",0.08,"8,540,573",0.65,"571,566",0.05,"2,844,517",0.18,"7,866,358",0,"961,329",0,"13,368,654",0.06,"3,942,402",0.16,"43,367,128",0.27,"14,406,211",0.28,"1,786,654",0.08,"20,850,283",0.2,"5,969,242",0.89,"1,971,743",0.66,"20,640,488",0.01,"1,694,384",0.03,"5,341,051",0.11,"1,937,434",0.11,"12,381,481",0.28,"56,222,463",0.28,"4,372,295",0.33,"1,054,376",0.12,"9,713,625",0.31,"22,751,850",0.4,"2,777,367",0.03,"8,275,939",0.22,"976,058",0.07
