Year,State,Parks and recreation,Insurance trust expenditure,Water supply,Judicial and legal,Correction,Unemployment compensation,Highways,Education,Financial administration,Other insurance trust,Electric power,Housing and community development,Interest on general debt,Libraries,Miscellaneous commercial activities,Solid waste management,Workers' compensation,Public welfare,Natural resources,Other governmental administration,General public buildings,Sewerage,Employee retirement,Health,Protective inspection and regulation,Parking facilities,Air transportation (airports),Utility expenditure,Gas supply,Sea and inland port facilities,Fire protection,Transit,Other and unallocable,Hospitals,Police protection,Employment security administration,Veterans' services,Liquor store expenditure
2017,Vermont,61431,420618,85813,88449,141148,69924,613377,2759247,110619,0,169634,158871,131042,22158,37168,35502,0,1826182,107772,93758,24415,74352,350694,377238,35664,7659,40221,287845,0,0,69362,32398,153633,21907,193719,1905,3771,60748
2017,Rhode Island,83851,1580895,230738,159664,210109,153857,474524,3453672,192892,190004,7441,266505,542573,41234,6547,102632,1175,3114075,79555,225799,108314,177748,1235859,253898,29772,2614,75113,359408,0,2720,331269,121229,422272,61583,452341,38959,0,0
2017,New Mexico,330327,2391664,413641,320775,718272,178416,913354,6876786,338414,0,189940,135794,565216,43361,5458,216536,16107,6042406,348525,274706,126302,235056,2197141,518831,59257,9652,86889,856682,81257,0,338265,171844,902122,1343312,706090,10539,4191,0
2017,Maine,101798,1028113,123231,112461,247048,94725,987004,3548725,329564,0,14197,305060,268857,43104,10124,118590,0,3199796,146631,155503,90749,213585,933388,279752,48848,5282,52004,177818,50,5552,167491,40340,645359,188171,307047,67336,258,120358
2017,North Carolina,1102651,6219723,1484086,844108,1953641,212751,4878048,27117952,1353313,0,2348697,1592176,1895996,261873,15292,751809,0,15016435,602241,859092,505466,979018,6006972,3946436,316755,34115,531246,4882406,127552,68923,1046392,922071,1200405,10287154,3162344,114224,7046,708307
2017,Kansas,379536,2027032,665022,326213,542320,190120,1927850,9819797,347780,0,864388,268763,847457,134485,27827,163573,0,4341841,283029,338995,163235,433084,1836912,676495,95385,5186,101394,1600409,29357,0,352336,41642,1065152,3308634,864062,32561,11877,0
2017,Louisiana,763344,4972285,545082,685966,1069961,206599,2248073,12350810,766389,29282,510933,657288,1407891,191323,67841,363039,58196,11309018,1074775,498746,144286,654042,4678208,711992,117382,2900,377655,1359685,73683,302752,764186,229987,1755608,2916062,1639119,127964,6581,0
2017,Ohio,1551963,17491010,1878638,1827287,2074916,944853,6034370,35725995,2061625,0,1027388,2017788,2942376,577329,65904,484216,834559,28675249,421993,1380774,421513,2564341,15711598,3637636,294771,78273,376458,3896263,51744,33574,2031342,938493,3202567,5055744,3837087,127959,30902,903683
2017,New Jersey,767164,13579510,806532,1502150,2145617,2010615,4061121,38818020,1393348,526297,138952,1434129,3312318,390507,821,919261,208833,18382468,494498,530731,403252,1578283,10833765,2102046,465254,75352,44492,3955743,0,43939,1010452,3010259,11389809,2573220,3527353,193051,13905,0
2017,Nebraska,249144,1119280,369129,188036,514541,72686,1550146,7318806,313337,0,3672243,232580,321503,73077,11423,100105,624,2856742,328356,214135,60169,254685,1045970,353972,61451,8163,102268,4371090,285025,0,259926,44693,899057,1025294,498954,41894,1189,0
2017,Mississippi,237306,2745997,327362,275022,516966,87747,1734517,8252731,484140,0,412818,301506,550518,61323,7170,191842,0,6349848,306106,262352,87269,296103,2658250,429926,97737,1199,77435,855991,93328,53481,296086,22483,636890,3978326,771000,36864,22287,287479
2017,Idaho,192182,1154348,155624,212311,419201,107447,879086,3560860,305550,0,81322,157760,234983,63482,22213,166850,146403,2512660,324796,140605,96293,233365,900498,299566,62948,59,64961,263963,15,2244,227683,27002,327184,692796,454311,10987,0,127237
2017,Arizona,735955,4782671,1437282,1048030,1704164,260763,2560715,16603856,480423,0,3245797,517661,1517962,185233,10187,459351,0,14397424,488095,605743,233005,776933,4521908,847867,201923,9240,529059,5484117,39928,0,1209179,761110,1383480,789376,2454185,113428,10843,0
2017,Hawaii,361835,1488946,373960,325575,228515,166061,611391,3409534,267199,0,0,288782,348897,36628,373,266252,0,3067100,157341,150195,166273,399202,1322885,614064,59887,3924,528423,1300043,0,79955,256778,926083,1303457,617798,482768,6310,7,0
2017,Washington,1329128,7490721,1436344,1220185,1730875,996673,4392690,24596442,817007,0,5328416,1458966,2876216,452381,96646,769878,2105991,12388667,1188792,569092,125113,1950413,4388057,4060957,513855,21670,587339,9737236,6557,573334,1627628,2965919,2266590,6680645,2056132,203045,29674,0
2017,Colorado,1488383,6025772,1903343,862242,1325506,493922,3260734,17399590,1121817,10481,1018764,1067872,2024586,316484,103057,143453,395617,8475218,575816,953168,396324,1026437,5125752,858823,122753,48343,829616,4517154,155251,0,1021299,1439796,2174625,2785320,1890303,59950,2613,0
