,Description,United States Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
5,            Revenue1,"3,930,294,228","50,066,950","14,337,278","67,210,824","31,483,952","620,118,795","61,721,774","49,727,963","11,730,824","15,287,418","192,340,583","91,854,345","20,396,275","15,544,415","148,572,523","64,077,185","38,586,828","31,796,695","45,194,713","52,335,426","14,588,032","72,888,771","95,517,809","109,348,440","73,712,930","32,776,963","61,209,581","11,562,538","24,564,227","31,389,454","14,066,235","117,032,862","25,717,507","380,339,033","103,408,081","10,605,051","139,098,480","37,190,415","58,072,220","149,696,347","13,334,895","52,323,824","9,058,141","72,139,294","274,897,668","31,839,711","8,157,583","88,983,532","100,409,437","19,523,366","64,092,428","10,364,607"
6,General revenue1,"3,119,576,768","40,154,020","11,672,751","52,654,278","25,775,172","457,787,844","51,613,110","41,247,337","9,943,168","13,291,351","156,247,317","73,607,783","17,298,474","12,224,552","119,048,375","56,800,924","31,720,078","26,472,709","37,458,316","42,170,100","12,211,030","62,751,093","77,464,567","89,252,324","58,864,471","26,649,627","47,546,589","9,249,339","17,736,718","23,685,420","11,587,941","100,632,790","20,779,542","297,213,130","84,881,458","9,005,786","106,616,751","29,871,297","43,574,010","125,399,585","11,236,879","42,282,296","6,900,396","46,250,639","220,917,944","26,168,505","7,058,760","73,672,248","76,958,683","16,295,242","50,945,949","8,728,100"
7,Intergovernmental revenue1,"711,477,275","11,084,429","3,520,324","16,010,428","8,149,988","101,132,784","9,863,632","8,096,420","2,441,182","3,977,542","30,018,541","16,487,941","3,098,783","2,775,254","23,193,311","15,190,325","6,145,860","4,399,993","12,177,070","13,046,649","3,069,529","14,041,279","17,249,437","22,749,941","11,798,289","8,555,928","11,974,847","3,277,190","3,457,807","5,451,777","2,433,417","18,087,468","7,408,476","67,366,749","20,550,842","1,928,587","26,005,867","7,653,289","10,738,770","32,141,480","2,908,759","9,897,744","1,665,257","12,002,463","45,874,167","5,027,563","2,043,794","11,742,579","15,690,055","5,212,558","9,939,148","2,721,763"
8,     From Federal Government,"711,477,275","11,084,429","3,520,324","16,010,428","8,149,988","101,132,784","9,863,632","8,096,420","2,441,182","3,977,542","30,018,541","16,487,941","3,098,783","2,775,254","23,193,311","15,190,325","6,145,860","4,399,993","12,177,070","13,046,649","3,069,529","14,041,279","17,249,437","22,749,941","11,798,289","8,555,928","11,974,847","3,277,190","3,457,807","5,451,777","2,433,417","18,087,468","7,408,476","67,366,749","20,550,842","1,928,587","26,005,867","7,653,289","10,738,770","32,141,480","2,908,759","9,897,744","1,665,257","12,002,463","45,874,167","5,027,563","2,043,794","11,742,579","15,690,055","5,212,558","9,939,148","2,721,763"
9,     From State government1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,     From local governments1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,General revenue from own sources,"2,408,099,493","29,069,591","8,152,427","36,643,850","17,625,184","356,655,060","41,749,478","33,150,917","7,501,986","9,313,809","126,228,776","57,119,842","14,199,691","9,449,298","95,855,064","41,610,599","25,574,218","22,072,716","25,281,246","29,123,451","9,141,501","48,709,814","60,215,130","66,502,383","47,066,182","18,093,699","35,571,742","5,972,149","14,278,911","18,233,643","9,154,524","82,545,322","13,371,066","229,846,381","64,330,616","7,077,199","80,610,884","22,218,008","32,835,240","93,258,105","8,328,120","32,384,552","5,235,139","34,248,176","175,043,777","21,140,942","5,014,966","61,929,669","61,268,628","11,082,684","41,006,801","6,006,337"
12,    Taxes,"1,657,108,583","16,410,186","3,050,845","26,032,182","12,027,970","247,695,114","27,423,529","27,628,032","4,678,293","7,666,286","77,640,200","39,203,764","9,457,286","6,350,908","73,640,182","26,360,716","15,700,136","13,484,798","17,347,302","19,994,446","7,052,156","37,692,886","45,061,498","42,330,296","34,399,976","10,930,392","23,337,095","4,177,710","9,790,380","13,416,671","6,687,676","63,027,752","8,172,651","177,906,136","40,674,663","4,913,077","53,974,599","13,616,479","19,598,045","66,535,005","5,932,950","17,555,476","3,649,764","22,118,438","117,945,680","12,594,593","3,748,643","40,514,766","39,655,332","7,190,347","28,316,734","2,798,542"
13,          Property,"524,566,149","2,837,663","1,568,451","7,726,306","2,207,248","63,330,156","8,647,341","10,780,704","883,287","2,540,862","27,729,333","12,154,729","1,759,711","1,727,785","28,610,183","6,640,521","5,131,799","4,465,226","3,697,180","4,214,254","2,825,493","9,644,835","16,713,976","14,093,127","8,901,852","3,032,207","6,299,965","1,670,721","3,703,524","3,006,643","4,458,618","29,330,737","1,657,718","56,852,063","9,976,902","1,153,080","15,340,386","2,880,990","6,161,841","19,483,518","2,597,429","5,911,475","1,354,214","5,477,031","52,995,587","3,184,821","1,611,890","13,951,450","11,117,568","1,715,530","9,562,647","1,245,572"
14,          Sales and gross receipts,"581,274,778","8,053,860","616,797","12,649,981","6,101,836","72,088,741","10,177,001","6,991,466","573,384","1,865,334","40,369,509","13,709,738","4,790,113","2,286,956","24,815,793","11,231,934","5,223,008","5,691,536","6,369,336","11,563,580","2,171,758","10,200,826","9,228,922","14,582,147","11,047,102","5,062,054","8,854,074","634,143","2,891,026","8,613,635","962,073","14,341,196","4,262,454","44,118,730","15,031,003","1,619,493","21,476,184","6,008,311","2,108,777","21,594,979","1,722,342","5,585,444","1,918,065","12,419,849","57,135,282","4,779,110","1,083,693","9,910,196","24,577,128","2,804,265","8,476,877","883,737"
