F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129,F133,F134,F138,F139,F143,F144,F148,F149,F153,F154,F158,F159,F163,F164,F168,F169,F173,F174,F178,F179,F183,F184,F188,F189,F193,F194,F198,F199,F203,F204,F208,F209,F213,F214,F218,F219,F223,F224,F228,F229,F233,F234,F238,F239,F243,F244,F248,F249,F253,F254,F258,F259
Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local
,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV
,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
Description,C1,C2,C6,C7,C11,C12,C16,C17,C21,C22,C26,C27,C31,C32,C36,C37,C41,C42,C46,C47,C51,C52,C56,C57,C61,C62,C66,C67,C71,C72,C76,C77,C81,C82,C86,C87,C91,C92,C96,C97,C101,C102,C106,C107,C111,C112,C116,C117,C121,C122,C126,C127,C131,C132,C136,C137,C141,C142,C146,C147,C151,C152,C156,C157,C161,C162,C166,C167,C171,C172,C176,C177,C181,C182,C186,C187,C191,C192,C196,C197,C201,C202,C206,C207,C211,C212,C216,C217,C221,C222,C226,C227,C231,C232,C236,C237,C241,C242,C246,C247,C251,C252,C256,C257
            Revenue1,"3,930,294,228",0.00,"50,066,950",0.00,"14,337,278",0.00,"67,210,824",0.00,"31,483,952",0.00,"620,118,795",0.00,"61,721,774",0.00,"49,727,963",0.00,"11,730,824",0.00,"15,287,418",0.00,"192,340,583",0.00,"91,854,345",0.00,"20,396,275",0.00,"15,544,415",0.00,"148,572,523",0.00,"64,077,185",0.00,"38,586,828",0.00,"31,796,695",0.00,"45,194,713",0.00,"52,335,426",0.00,"14,588,032",0.00,"72,888,771",0.00,"95,517,809",0.00,"109,348,440",0.00,"73,712,930",0.00,"32,776,963",0.00,"61,209,581",0.00,"11,562,538",0.00,"24,564,227",0.00,"31,389,454",0.00,"14,066,235",0.00,"117,032,862",0.00,"25,717,507",0.00,"380,339,033",0.00,"103,408,081",0.00,"10,605,051",0.00,"139,098,480",0.00,"37,190,415",0.00,"58,072,220",0.00,"149,696,347",0.00,"13,334,895",0.00,"52,323,824",0.00,"9,058,141",0.00,"72,139,294",0.00,"274,897,668",0.00,"31,839,711",0.00,"8,157,583",0.00,"88,983,532",0.00,"100,409,437",0.00,"19,523,366",0.00,"64,092,428",0.00,"10,364,607",0.00
General revenue1,"3,119,576,768",0.00,"40,154,020",0.00,"11,672,751",0.00,"52,654,278",0.00,"25,775,172",0.00,"457,787,844",0.00,"51,613,110",0.00,"41,247,337",0.00,"9,943,168",0.00,"13,291,351",0.00,"156,247,317",0.00,"73,607,783",0.00,"17,298,474",0.00,"12,224,552",0.00,"119,048,375",0.00,"56,800,924",0.00,"31,720,078",0.00,"26,472,709",0.00,"37,458,316",0.00,"42,170,100",0.00,"12,211,030",0.00,"62,751,093",0.00,"77,464,567",0.00,"89,252,324",0.00,"58,864,471",0.00,"26,649,627",0.00,"47,546,589",0.00,"9,249,339",0.00,"17,736,718",0.00,"23,685,420",0.00,"11,587,941",0.00,"100,632,790",0.00,"20,779,542",0.00,"297,213,130",0.00,"84,881,458",0.00,"9,005,786",0.00,"106,616,751",0.00,"29,871,297",0.00,"43,574,010",0.00,"125,399,585",0.00,"11,236,879",0.00,"42,282,296",0.00,"6,900,396",0.00,"46,250,639",0.00,"220,917,944",0.00,"26,168,505",0.00,"7,058,760",0.00,"73,672,248",0.00,"76,958,683",0.00,"16,295,242",0.00,"50,945,949",0.00,"8,728,100",0.00
Intergovernmental revenue1,"711,477,275",0.00,"11,084,429",0.00,"3,520,324",0.00,"16,010,428",0.00,"8,149,988",0.00,"101,132,784",0.00,"9,863,632",0.00,"8,096,420",0.00,"2,441,182",0.00,"3,977,542",0.00,"30,018,541",0.00,"16,487,941",0.00,"3,098,783",0.00,"2,775,254",0.00,"23,193,311",0.00,"15,190,325",0.00,"6,145,860",0.00,"4,399,993",0.00,"12,177,070",0.00,"13,046,649",0.00,"3,069,529",0.00,"14,041,279",0.00,"17,249,437",0.00,"22,749,941",0.00,"11,798,289",0.00,"8,555,928",0.00,"11,974,847",0.00,"3,277,190",0.00,"3,457,807",0.00,"5,451,777",0.00,"2,433,417",0.00,"18,087,468",0.00,"7,408,476",0.00,"67,366,749",0.00,"20,550,842",0.00,"1,928,587",0.00,"26,005,867",0.00,"7,653,289",0.00,"10,738,770",0.00,"32,141,480",0.00,"2,908,759",0.00,"9,897,744",0.00,"1,665,257",0.00,"12,002,463",0.00,"45,874,167",0.00,"5,027,563",0.00,"2,043,794",0.00,"11,742,579",0.00,"15,690,055",0.00,"5,212,558",0.00,"9,939,148",0.00,"2,721,763",0.00
     From Federal Government,"711,477,275",0.00,"11,084,429",0.00,"3,520,324",0.00,"16,010,428",0.00,"8,149,988",0.00,"101,132,784",0.00,"9,863,632",0.00,"8,096,420",0.00,"2,441,182",0.00,"3,977,542",0.00,"30,018,541",0.00,"16,487,941",0.00,"3,098,783",0.00,"2,775,254",0.00,"23,193,311",0.00,"15,190,325",0.00,"6,145,860",0.00,"4,399,993",0.00,"12,177,070",0.00,"13,046,649",0.00,"3,069,529",0.00,"14,041,279",0.00,"17,249,437",0.00,"22,749,941",0.00,"11,798,289",0.00,"8,555,928",0.00,"11,974,847",0.00,"3,277,190",0.00,"3,457,807",0.00,"5,451,777",0.00,"2,433,417",0.00,"18,087,468",0.00,"7,408,476",0.00,"67,366,749",0.00,"20,550,842",0.00,"1,928,587",0.00,"26,005,867",0.00,"7,653,289",0.00,"10,738,770",0.00,"32,141,480",0.00,"2,908,759",0.00,"9,897,744",0.00,"1,665,257",0.00,"12,002,463",0.00,"45,874,167",0.00,"5,027,563",0.00,"2,043,794",0.00,"11,742,579",0.00,"15,690,055",0.00,"5,212,558",0.00,"9,939,148",0.00,"2,721,763",0.00
     From State government1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
