,Description,United States Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
107,                    Capital outlay,"6,610,310","18,298","29,446","64,909","17,586","1,073,667","146,770","12,065","19,234","3,577","1,426,257","49,223","50,828","20,688","89,585","36,971","92,693","16,215","46,879","432,657","6,132","133,438","82,892","21,493","115,410","46,850","36,754","15,931","64,437","134,455","4,236","75,220","61,447","87,350","114,837","59,126","53,776","18,201","124,009","83,249","14,189","19,850","10,563","27,850","990,153","86,992","4,646","34,554","344,524","20,093","59,342","10,763"
108,               Parks and recreation,"47,553,587","497,057","127,231","787,023","273,815","7,109,236","1,990,691","264,482","89,680","345,910","4,100,749","986,937","314,123","219,256","2,546,509","531,255","418,125","363,265","356,991","801,717","94,296","1,196,655","506,077","999,071","1,376,007","259,983","699,464","104,514","313,322","678,089","94,999","645,469","299,770","3,136,996","1,267,661","266,169","1,637,520","545,354","747,828","1,213,643","65,790","647,632","166,462","582,766","3,418,912","645,935","84,154","1,159,134","1,474,169","191,434","760,005","150,257"
109,                    Capital outlay,"12,005,042","77,697","16,873","169,482","75,083","1,576,701","570,613","35,485","23,806","88,544","1,119,089","286,273","90,693","53,941","482,092","76,583","56,629","85,445","49,765","214,471","8,642","206,889","117,255","260,175","353,074","71,006","158,170","11,847","107,528","285,769","1,840","48,111","44,118","1,174,809","379,449","50,043","463,703","174,970","137,501","258,302","9,333","135,397","23,789","93,731","1,127,074","128,720","8,456","262,263","480,370","5,799","236,550","31,094"
110,               Housing and community development,"65,005,887","612,762","311,649","674,739","254,668","10,545,080","1,588,173","792,600","219,041","636,233","2,871,843","1,111,433","422,169","279,725","2,567,351","1,140,927","427,941","240,128","456,504","584,457","352,919","2,353,637","3,558,513","1,291,890","1,210,873","355,344","836,582","111,587","270,180","385,208","296,674","1,484,361","214,773","8,116,705","2,013,437","97,949","2,271,021","652,096","1,167,482","2,514,043","265,906","566,717","113,648","1,138,371","2,957,613","560,411","233,931","1,498,340","1,750,613","214,929","392,390","20,319"
111,               Sewerage,"67,987,201","487,143","139,708","762,044","344,620","10,586,419","1,405,838","574,288","158,506","403,613","4,998,680","1,522,265","539,576","260,125","1,735,410","1,568,597","832,040","517,368","1,455,488","571,968","276,913","1,649,372","1,476,042","3,280,267","1,199,500","278,094","1,319,504","143,550","372,327","583,229","221,236","1,699,301","244,527","4,216,597","1,227,859","132,972","2,593,728","431,344","1,150,289","2,712,743","169,358","860,182","124,257","1,030,069","5,205,738","524,990","99,724","1,752,822","2,406,452","280,919","1,376,197","83,403"
112,                    Capital outlay,"22,927,217","168,073","51,485","231,732","131,471","3,479,978","519,777","215,146","12,604","220,965","1,379,046","278,073","353,281","79,636","694,082","648,473","370,502","175,682","705,654","126,437","114,396","357,744","531,652","419,324","290,549","81,915","613,387","60,694","180,117","233,361","62,015","377,250","105,190","2,472,329","438,525","69,608","843,549","134,261","433,140","445,229","17,698","375,520","59,521","345,959","1,995,173","186,978","32,397","686,519","739,630","93,477","259,868","28,146"
113,               Solid waste management,"29,778,671","383,727","133,604","507,593","252,260","4,070,634","179,347","279,388","118,558","172,217","3,176,871","888,705","281,243","211,952","528,440","307,774","364,213","180,068","238,974","380,688","123,194","792,541","445,836","561,952","498,104","220,959","167,329","105,194","148,612","38,078","144,201","1,068,134","243,946","3,896,368","916,751","90,706","622,942","329,566","190,404","984,226","100,330","509,579","62,080","496,871","1,787,419","236,886","42,315","801,763","852,733","66,424","488,152","88,821"
114,                    Capital outlay,"2,373,994","37,194","38,706","61,660","22,996","20,102","29,438","2,865","12,388","34,859","285,391","68,126","48,455","16,736","118,306","26,479","40,926","10,469","18,898","7,779","4,664","11,138","5,264","56,595","36,402","12,292","17,748","21,296","33,995","4,875","4,530","21,347","38,115","386,447","99,596","15,748","51,078","18,324","15,176","113,277","2,964","66,898","16,041","40,397","124,169","13,224",900,"146,233","36,123","1,313","39,859","16,193"
115,     Governmental administration:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,               Financial administration,"54,784,664","749,791","408,072","574,379","832,886","4,974,509","1,298,601","643,679","298,685","392,780","4,373,982","1,428,803","447,832","424,702","1,978,870","643,218","478,345","457,655","497,060","781,732","383,784","1,264,087","1,304,649","1,302,676","1,761,029","556,689","718,550","275,240","279,540","423,620","597,705","1,545,208","455,084","4,077,320","1,624,472","281,606","1,844,659","642,425","1,194,811","2,348,289","245,058","631,824","348,936","1,046,043","3,242,991","723,904","123,524","1,673,182","973,633","436,931","574,633","196,982"
117,               Judicial and legal,"52,416,687","443,292","250,638","1,045,356","262,528","9,247,820","997,969","682,771","200,053","231,820","2,671,912","1,578,251","308,221","261,547","1,586,008","692,805","390,834","389,975","586,893","663,532","128,617","1,060,252","1,154,863","1,543,611","815,716","307,668","643,426","219,160","206,380","557,736","175,440","1,607,094","378,630","4,938,497","1,001,200","121,256","1,926,678","361,854","911,819","2,237,898","152,089","516,151","110,375","871,810","3,885,280","428,024","112,568","1,113,611","1,302,214","275,489","730,867","128,190"
118,               General public buildings,"17,357,113","120,459","83,556","217,305","41,223","792,769","458,099","117,274","95,914","246,128","319,591","603,525","118,726","171,398","923,659","188,866","127,418","213,574","87,418","115,573","103,078","624,545","981,830","207,113","305,096","104,739","239,625","68,077","80,702","147,590","74,852","412,524","155,027","1,503,889","517,104","63,876","537,339","55,482","286,527","1,455,883","92,639","273,326","64,244","392,820","1,134,925","450,375","32,580","1,119,637","206,306","132,508","416,435","73,946"
119,               Other governmental administration,"44,035,638","561,895","299,712","863,217","274,997","8,176,922","1,406,537","667,034","165,841","247,842","1,629,139","851,552","413,859","182,969","2,259,985","1,071,527","280,460","521,770","558,455","600,008","167,930","707,147","487,273","937,003","655,344","294,180","673,739","186,059","235,551","369,335","261,747","655,815","285,102","1,389,042","1,481,482","110,928","1,531,078","612,011","1,094,583","2,026,106","351,945","808,816","95,650","644,226","3,044,365","592,076","110,394","848,674","775,635","307,835","1,060,708","200,144"
120,     Interest on general debt,"112,695,235","1,166,590","272,310","1,325,766","564,322","17,478,625","2,644,202","2,138,865","317,908","663,008","3,642,704","1,535,459","402,665","255,624","7,472,835","1,876,644","639,131","612,512","1,399,023","1,140,912","299,609","2,473,746","3,215,327","2,755,787","1,580,682","531,703","1,773,777","206,753","379,058","964,781","396,310","3,352,131","626,314","14,871,096","1,976,671","313,312","3,610,919","515,089","1,383,475","4,263,034","516,987","933,387","196,782","1,623,154","10,418,092","534,570","145,144","2,313,024","3,090,187","384,551","1,449,251","51,429"
121,"     General expenditure, n.e.c.:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
