,Description,United States Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
139,     Public debt for private purposes,"568,496,633","5,291,072","3,487,184","4,703,410","5,064,825","52,062,747","15,003,929","13,546,719","1,464,574","1,532,379","13,230,988","8,048,215","40,745","2,432,083","25,436,880","14,263,945","2,523,869","6,669,491","15,771,161","9,584,785","2,226,119","12,770,297","20,604,499","14,953,312","11,362,935","1,577,498","18,513,806","2,209,163","1,399,154","3,055,482","3,816,419","14,607,918","4,716,312","72,165,287","8,641,009","3,350,110","32,654,503","1,369,264","7,427,636","35,570,209","5,200,743","4,915,387","2,966,577","15,285,994","27,249,159","2,783,226","1,275,114","8,766,026","6,976,569","7,793,610","11,272,031","862,265"
140,Long-term debt issued,"461,309,131","4,345,217","1,596,962","5,821,959","3,966,283","83,685,483","10,041,015","5,267,900","993,928","1,184,743","19,909,401","7,497,828","4,541,564","724,171","19,477,396","4,999,165","4,504,906","6,359,970","3,690,301","2,449,485","1,454,493","12,787,966","14,024,236","9,590,237","5,883,398","1,747,402","5,846,363","505,897","2,770,675","2,628,562","1,193,490","11,673,561","1,902,474","61,519,453","8,637,072","1,341,019","7,369,852","3,302,192","4,459,621","13,172,682","1,372,173","3,820,433","1,006,931","7,134,143","45,036,998","5,122,008","431,226","9,834,681","10,129,060","2,851,799","11,301,801","399,556"
141,Long-term debt retired,"478,029,268","4,899,575","2,271,158","5,618,863","3,673,988","56,324,250","7,291,048","5,041,950","653,103","788,877","17,431,060","7,383,442","2,017,776","905,932","19,825,168","5,297,427","3,576,350","3,155,423","4,527,669","3,098,870","949,182","7,652,448","10,734,780","11,810,610","7,296,866","1,899,991","4,241,383","77,120,848","2,706,538","3,166,364","1,381,843","8,869,055","1,982,538","46,220,110","9,246,118","1,180,988","10,270,589","3,208,649","3,914,321","13,506,669","1,068,238","4,285,840","1,238,803","5,544,893","50,394,174","4,625,907","556,433","8,741,881","9,865,269","1,120,918","8,795,310","649,782"
142,            Cash and security holdings,"9,272,983,993","90,787,290","123,332,093","123,437,767","64,365,539","1,748,153,457","156,399,980","84,525,662","28,600,212","24,318,173","460,542,762","216,746,582","40,170,356","42,874,981","332,304,412","106,464,029","81,387,679","54,993,336","84,147,553","109,695,274","31,739,101","142,311,316","180,514,273","206,836,629","153,836,007","57,905,507","162,370,205","31,138,492","50,675,290","88,747,637","23,517,082","181,477,417","92,126,983","918,931,887","186,420,473","49,074,606","381,050,979","81,491,138","166,748,872","267,454,538","26,410,684","88,416,892","25,962,057","139,052,988","777,104,567","62,042,621","11,813,937","208,170,462","229,700,126","33,831,793","197,666,726","45,195,572"
143,Insurance trust funds,"5,737,482,562","43,295,704","20,120,269","69,729,677","39,920,022","1,266,489,907","73,509,752","53,991,251","16,408,670","13,608,511","250,847,681","146,393,360","20,343,082","25,486,676","212,997,664","43,081,899","49,330,242","28,154,574","44,869,395","66,004,242","19,697,149","99,881,058","111,833,051","115,389,701","90,780,828","37,992,259","101,549,865","16,933,475","25,619,481","58,867,053","12,197,885","95,131,031","35,448,168","703,293,675","127,161,655","10,767,824","244,936,732","45,294,575","112,033,097","145,501,813","13,712,423","42,690,662","15,617,058","83,377,550","359,080,576","39,167,110","6,012,594","121,662,208","168,859,624","22,696,473","155,560,813","14,152,520"
144,     Unemployment compensation,"10,603,814","1,166,006","567,202","675,842","1,647,814","-20,317,858","-658,814","-86,284","446,894","50,028","1,902,748","534,320","-713,289","1,579,156","-3,338,061","850,992","1,964,506","1,028,882","184,831","-95,098","934,822","892,102","1,547,271","1,826,216","-942,374","1,191,760","1,211,222","745,772","903,862","-241,036","333,880","-884,661","1,050,653","-8,818,287","5,970,260","499,262","-496,943","404,810","8,309,432","234,910","316,178","2,363,132","324,212","2,280,350","-5,451,979","1,505,770","469,314","325,679","3,725,432","-26,668","2,058,284","651,360"
145,     Employee retirement,"5,605,742,521","42,129,698","19,530,985","69,053,835","38,166,311","1,256,737,088","71,102,076","54,029,166","15,961,776","13,558,483","248,680,067","145,859,040","21,056,371","22,905,651","216,263,566","42,228,513","47,361,140","27,119,574","43,305,190","65,900,887","18,753,377","98,720,037","109,401,396","113,533,162","91,665,625","36,800,499","100,303,824","14,620,901","24,708,912","59,108,089","11,864,005","95,609,454","34,385,621","691,501,417","121,191,395","7,963,717","226,405,247","44,889,765","98,891,817","143,781,874","13,287,605","39,741,596","15,290,960","81,097,200","357,206,542","37,539,832","5,543,280","121,332,853","143,815,672","21,270,352","153,468,102","11,098,978"
146,     Workers' compensation,"109,854,840",0,"22,082",0,"105,897","20,261,218","2,993,870","48,369",0,0,"264,866",0,0,"1,001,869","58,749","2,394","4,596","6,118","1,379,374","36,567","8,950","115,467","61,241","30,323","57,577",0,"34,819","1,566,802","6,707",0,0,"267,461","11,894","20,610,545",0,"2,304,845","19,028,428",0,"4,831,848","1,485,029",0,"585,934","1,886",0,"7,326,013","121,508",0,"3,676","21,318,520","1,452,789","34,427","2,402,182"
147,     Miscellaneous,"11,281,387",0,0,0,0,"9,809,459","72,620",0,0,0,0,0,0,0,"13,410",0,0,0,0,"161,886",0,"153,452","823,143",0,0,0,0,0,0,0,0,"138,777",0,0,0,0,0,0,0,0,"108,640",0,0,0,0,0,0,0,0,0,0,0
148,Other than insurance trust funds,"3,535,501,430","47,491,586","103,211,824","53,708,090","24,445,517","481,663,550","82,890,228","30,534,411","12,191,542","10,709,662","209,695,080","70,353,222","19,827,274","17,388,305","119,306,749","63,382,129","32,057,437","26,838,762","39,278,158","43,691,032","12,041,952","42,430,258","68,681,222","91,446,928","63,055,179","19,913,248","60,820,340","14,205,017","25,055,808","29,880,584","11,319,197","86,346,386","56,678,815","215,638,212","59,258,818","38,306,782","136,114,247","36,196,563","54,715,775","121,952,725","12,698,261","45,726,230","10,344,999","55,675,438","418,023,990","22,875,511","5,801,343","86,508,254","60,840,503","11,135,320","42,105,913","31,043,052"
149,   By purpose:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,          Offsets to debt,"776,596,923","8,013,844","4,083,586","9,403,481","6,080,131","68,599,775","18,328,958","16,272,368","1,600,064","2,179,296","17,700,206","10,501,921","1,090,222","3,109,643","33,260,957","22,020,102","6,894,322","10,535,307","17,110,295","12,099,337","4,149,023","15,604,168","28,128,700","18,157,372","17,374,244","2,525,358","21,403,296","2,896,248","2,798,880","5,172,591","4,852,669","20,884,014","7,605,772","93,817,334","9,632,492","5,603,941","48,435,238","4,072,803","10,448,465","39,097,544","5,517,342","7,968,096","3,270,318","17,662,001","57,983,748","3,303,304","2,257,154","19,243,856","10,596,552","1,130,623","15,172,248","947,713"
151,          Bond funds,"293,661,431","2,808,191","501,549","2,779,469","2,516,605","62,087,642","8,711,452","1,289,411","792,361","101,972","15,237,608","8,563,108","760,689","691,071","11,295,055","2,533,250","2,015,166","1,940,565","1,121,900","2,988,453","541,150","2,208,806","5,252,591","10,079,431","1,340,649","922,701","2,673,540","934,755","1,445,036","2,512,717","403,788","5,172,229","2,267,324","12,410,394","7,895,514","359,241","7,828,928","1,884,560","6,148,105","13,012,795","498,321","3,446,092","193,553","5,949,958","48,629,833","4,022,932","129,440","6,398,347","6,653,871","609,589","2,945,362","154,361"
152,          Other,"2,465,243,077","36,669,551","98,626,688","41,525,141","15,848,781","350,976,133","55,849,818","12,972,632","9,799,117","8,428,394","176,757,266","51,288,194","17,976,363","13,587,591","74,750,737","38,828,777","23,147,948","14,362,891","21,045,963","28,603,242","7,351,779","24,617,284","35,299,931","63,210,126","44,340,286","16,465,189","36,743,503","10,374,015","20,811,892","22,195,276","6,062,741","60,290,143","46,805,718","109,410,483","41,730,812","32,343,600","79,850,080","30,239,200","38,119,205","69,842,386","6,682,598","34,312,041","6,881,129","32,063,479","311,410,409","15,549,276","3,414,749","60,866,051","43,590,080","9,395,108","23,988,303","29,940,978"
