F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129,F133,F134,F138,F139,F143,F144,F148,F149,F153,F154,F158,F159,F163,F164,F168,F169,F173,F174,F178,F179,F183,F184,F188,F189,F193,F194,F198,F199,F203,F204,F208,F209,F213,F214,F218,F219,F223,F224,F228,F229,F233,F234,F238,F239,F243,F244,F248,F249,F253,F254,F258,F259
Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local
,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV
,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
Description,C1,C2,C6,C7,C11,C12,C16,C17,C21,C22,C26,C27,C31,C32,C36,C37,C41,C42,C46,C47,C51,C52,C56,C57,C61,C62,C66,C67,C71,C72,C76,C77,C81,C82,C86,C87,C91,C92,C96,C97,C101,C102,C106,C107,C111,C112,C116,C117,C121,C122,C126,C127,C131,C132,C136,C137,C141,C142,C146,C147,C151,C152,C156,C157,C161,C162,C166,C167,C171,C172,C176,C177,C181,C182,C186,C187,C191,C192,C196,C197,C201,C202,C206,C207,C211,C212,C216,C217,C221,C222,C226,C227,C231,C232,C236,C237,C241,C242,C246,C247,C251,C252,C256,C257
            Revenue1,"5,731,179,510",0.04,"63,621,075",0.17,"19,274,460",0.09,"96,255,079",0.12,"49,214,052",0.13,"987,628,494",0.13,"93,706,101",0.59,"73,407,160",0.48,"20,239,971",0.30,"19,595,642",0.00,"273,981,813",0.16,"152,071,700",0.13,"29,960,305",0.00,"24,693,049",0.28,"208,378,777",0.26,"89,520,826",0.14,"59,009,570",0.19,"42,543,977",0.24,"64,140,184",0.19,"71,741,482",0.33,"21,671,732",0.75,"101,680,189",0.03,"133,275,231",0.26,"141,149,984",0.20,"121,302,218",0.10,"43,545,216",0.10,"86,904,501",0.60,"17,363,863",0.16,"33,052,603",0.29,"47,164,335",0.04,"18,241,528",0.50,"151,618,450",0.33,"41,040,569",0.17,"549,845,688",0.08,"146,292,164",0.13,"15,012,793",0.36,"186,962,910",0.16,"53,184,654",0.36,"88,361,950",0.17,"209,709,429",0.22,"25,711,422",0.11,"68,842,355",0.20,"15,364,721",0.19,"89,214,827",0.33,"408,424,881",0.29,"47,013,146",0.22,"21,849,943",0.22,"135,480,993",0.17,"148,243,176",0.50,"26,944,612",0.11,"85,839,258",0.14,"11,886,452",0.18
General revenue1,"4,076,400,107",0.05,"54,522,813",0.18,"13,831,140",0.10,"72,869,572",0.14,"31,835,606",0.20,"630,739,237",0.19,"69,274,901",0.79,"52,678,503",0.67,"15,022,050",0.23,"16,851,243",0.00,"204,950,804",0.13,"99,567,604",0.18,"21,848,312",0.00,"17,888,830",0.39,"153,148,934",0.33,"76,987,790",0.13,"39,121,863",0.28,"34,163,979",0.29,"49,827,872",0.14,"54,086,165",0.43,"16,658,112",0.97,"77,615,035",0.04,"101,959,370",0.31,"108,377,226",0.23,"74,288,174",0.16,"32,068,803",0.10,"58,688,743",0.55,"13,116,785",0.19,"23,402,214",0.41,"29,781,350",0.06,"13,762,500",0.66,"122,518,130",0.38,"30,669,204",0.16,"356,444,203",0.13,"111,838,217",0.17,"12,175,189",0.44,"131,646,730",0.22,"38,796,126",0.48,"58,058,543",0.25,"164,422,234",0.25,"16,170,507",0.17,"53,025,009",0.25,"8,211,082",0.35,"61,957,833",0.28,"310,103,228",0.21,"39,269,147",0.26,"8,995,657",0.54,"100,596,796",0.12,"100,010,400",0.73,"20,271,833",0.09,"62,439,805",0.19,"9,844,705",0.19
Intergovernmental revenue1,"1,120,200,979",0.04,"16,998,858",0.15,"5,592,913",0.10,"27,432,509",0.02,"11,186,977",0.20,"143,666,434",0.19,"16,366,821",0.60,"12,902,285",0.07,"5,327,825",0.00,"6,310,666",0.00,"51,844,049",0.11,"29,074,098",0.14,"6,159,252",0.00,"5,376,305",0.16,"36,546,981",0.17,"22,989,320",0.22,"9,167,082",0.19,"7,127,030",0.26,"19,280,320",0.09,"21,390,571",0.07,"5,055,735",0.03,"21,588,728",0.02,"30,010,111",0.24,"32,352,242",0.21,"17,663,511",0.26,"11,281,885",0.05,"16,248,335",0.05,"5,524,057",0.17,"5,998,891",0.39,"7,749,097",0.01,"3,821,908",0.06,"26,019,270",0.13,"12,599,835",0.25,"97,176,126",0.04,"31,391,893",0.05,"3,991,139",0.28,"39,353,733",0.09,"11,002,177",0.55,"15,449,768",0.63,"50,401,185",0.13,"6,599,740",0.34,"13,417,594",0.03,"2,307,828",0.48,"18,683,102",0.09,"93,357,244",0.07,"8,771,103",0.67,"2,786,406",0.05,"24,701,904",0.14,"24,457,914",0.65,"7,283,083",0.17,"14,981,194",0.06,"3,433,945",0.36
     From Federal Government,"1,120,200,979",0.04,"16,998,858",0.15,"5,592,913",0.10,"27,432,509",0.02,"11,186,977",0.20,"143,666,434",0.19,"16,366,821",0.60,"12,902,285",0.07,"5,327,825",0.00,"6,310,666",0.00,"51,844,049",0.11,"29,074,098",0.14,"6,159,252",0.00,"5,376,305",0.16,"36,546,981",0.17,"22,989,320",0.22,"9,167,082",0.19,"7,127,030",0.26,"19,280,320",0.09,"21,390,571",0.07,"5,055,735",0.03,"21,588,728",0.02,"30,010,111",0.24,"32,352,242",0.21,"17,663,511",0.26,"11,281,885",0.05,"16,248,335",0.05,"5,524,057",0.17,"5,998,891",0.39,"7,749,097",0.01,"3,821,908",0.06,"26,019,270",0.13,"12,599,835",0.25,"97,176,126",0.04,"31,391,893",0.05,"3,991,139",0.28,"39,353,733",0.09,"11,002,177",0.55,"15,449,768",0.63,"50,401,185",0.13,"6,599,740",0.34,"13,417,594",0.03,"2,307,828",0.48,"18,683,102",0.09,"93,357,244",0.07,"8,771,103",0.67,"2,786,406",0.05,"24,701,904",0.14,"24,457,914",0.65,"7,283,083",0.17,"14,981,194",0.06,"3,433,945",0.36
     From State government1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
     From local governments1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
General revenue from own sources,"2,956,199,128",0.07,"37,523,956",0.26,"8,238,227",0.15,"45,437,062",0.22,"20,648,629",0.29,"487,072,803",0.24,"52,908,080",1.02,"39,776,218",0.89,"9,694,225",0.35,"10,540,577",0.00,"153,106,755",0.17,"70,493,507",0.25,"15,689,060",0.00,"12,512,525",0.55,"116,601,953",0.43,"53,998,471",0.15,"29,954,780",0.37,"27,036,949",0.35,"30,547,552",0.22,"32,695,594",0.71,"11,602,376",1.39,"56,026,308",0.05,"71,949,259",0.43,"76,024,983",0.31,"56,624,663",0.19,"20,786,918",0.14,"42,440,408",0.75,"7,592,728",0.30,"17,403,322",0.54,"22,032,254",0.08,"9,940,592",0.91,"96,498,860",0.48,"18,069,370",0.20,"259,268,077",0.18,"80,446,324",0.23,"8,184,050",0.63,"92,292,998",0.31,"27,793,948",0.63,"42,608,775",0.26,"114,021,049",0.35,"9,570,767",0.15,"39,607,415",0.34,"5,903,254",0.44,"43,274,730",0.39,"216,745,984",0.30,"30,498,045",0.27,"6,209,251",0.78,"75,894,892",0.15,"75,552,486",0.95,"12,988,750",0.11,"47,458,611",0.24,"6,410,760",0.22
    Taxes,"2,103,241,260",0.07,"21,396,582",0.30,"3,075,412",0.26,"33,710,293",0.29,"14,706,506",0.22,"360,783,028",0.21,"37,214,637",1.38,"34,146,576",1.04,"6,748,955",0.19,"8,894,003",0.00,"95,627,755",0.19,"49,383,699",0.30,"11,224,551",0.00,"8,726,466",0.74,"93,249,733",0.48,"36,528,019",0.15,"18,954,711",0.40,"17,463,026",0.53,"21,065,845",0.28,"22,372,810",0.52,"9,352,608",1.71,"44,717,132",0.06,"56,664,097",0.53,"49,991,561",0.36,"42,590,016",0.22,"13,099,550",0.18,"28,612,828",0.71,"5,645,058",0.39,"12,475,154",0.64,"16,064,249",0.07,"7,504,329",1.20,"76,971,983",0.57,"10,954,818",0.31,"205,150,549",0.13,"51,658,175",0.24,"5,454,803",0.48,"62,851,517",0.37,"17,822,591",0.87,"27,603,697",0.33,"81,390,353",0.22,"7,116,724",0.12,"22,919,361",0.48,"4,171,522",0.60,"29,678,472",0.23,"143,674,839",0.37,"18,872,763",0.36,"4,870,446",0.99,"53,564,770",0.20,"51,574,328",0.42,"8,386,049",0.09,"33,548,631",0.26,"3,015,682",0.37
          Property,"630,207,794",0.22,"3,329,023",0.52,"1,707,204",0.09,"9,105,708",0.91,"2,524,045",0.81,"82,076,484",0.74,"12,034,572",4.24,"11,870,805",2.98,"1,110,532",0.63,"3,007,722",0.00,"35,443,117",0.44,"15,081,641",0.87,"2,321,006",0.00,"2,108,600",3.05,"31,251,650",1.42,"8,241,583",0.66,"6,193,386",1.22,"5,260,176",1.75,"4,364,207",1.28,"4,590,963",0.69,"3,904,106",4.10,"11,203,432",0.21,"19,569,400",1.53,"16,680,773",1.09,"10,678,549",0.87,"3,557,321",0.66,"8,226,703",2.26,"2,035,976",1.07,"4,263,899",1.84,"3,822,680",0.28,"4,588,816",1.94,"32,793,053",1.35,"1,980,250",0.77,"66,384,750",0.37,"11,862,825",0.98,"1,219,863",2.16,"18,256,164",1.05,"3,662,013",4.02,"7,716,196",1.09,"21,835,969",0.46,"2,700,714",0.31,"7,166,475",1.50,"1,488,436",1.59,"6,455,899",0.77,"65,553,293",0.76,"4,104,422",1.62,"1,935,556",2.50,"16,566,844",0.62,"14,711,643",1.11,"1,921,893",0.37,"10,485,666",0.82,"1,251,792",0.87
          Sales and gross receipts,"689,884,799",0.08,"10,493,911",0.57,"668,257",1.18,"15,782,245",0.34,"7,470,432",0.34,"84,225,925",0.49,"12,336,811",0.41,"8,148,270",0.00,"605,632",0.00,"1,591,327",0.00,"46,625,250",0.16,"16,830,401",0.40,"4,687,987",0.00,"3,255,176",0.12,"29,204,714",0.21,"14,032,495",0.02,"6,269,084",0.17,"6,195,006",0.21,"7,847,018",0.16,"12,265,784",0.91,"2,637,126",0.02,"11,428,696",0.02,"10,714,401",0.09,"16,166,034",0.00,"11,808,631",0.08,"5,774,333",0.02,"10,074,340",0.83,"791,972",0.23,"3,622,593",0.17,"10,135,259",0.00,"985,455",0.00,"17,965,046",0.03,"5,363,355",0.56,"46,152,545",0.13,"19,004,703",0.24,"1,728,166",0.09,"24,904,447",0.15,"7,681,084",0.61,"3,113,695",0.45,"25,801,548",0.01,"2,156,121",0.00,"7,815,117",0.21,"2,230,149",0.18,"17,290,414",0.26,"68,141,510",0.26,"6,719,915",0.20,"1,271,833",0.05,"14,784,519",0.13,"31,163,082",0.43,"3,125,864",0.07,"9,748,094",0.15,"1,049,028",0.21
               General sales,"477,145,413",0.10,"6,885,384",0.82,"264,238",2.97,"13,330,314",0.40,"5,668,143",0.44,"59,600,653",0.61,"9,014,364",0.56,"5,252,683",0.00,0,0.00,"1,233,016",0.00,"33,949,411",0.12,"12,057,835",0.53,"3,629,797",0.00,"2,531,284",0.15,"15,657,672",0.20,"9,282,932",0.00,"4,470,516",0.22,"4,806,493",0.26,"4,558,456",0.00,"9,161,823",1.21,"1,909,698",0.00,"5,458,909",0.00,"7,785,108",0.00,"11,190,298",0.00,"7,078,965",0.12,"4,230,391",0.00,"7,687,408",1.08,0,0.00,"2,875,443",0.20,"7,113,063",0.00,0,0.00,"12,803,267",0.00,"4,412,898",0.68,"32,570,046",0.19,"13,651,933",0.30,"1,189,571",0.13,"16,892,951",0.22,"5,679,014",0.83,0,0.00,"14,652,154",0.00,"1,334,931",0.00,"5,418,629",0.27,"1,671,741",0.24,"13,130,279",0.34,"49,575,099",0.34,"5,086,955",0.16,"522,443",0.00,"8,143,608",0.20,"24,431,426",0.50,"1,609,537",0.00,"6,857,316",0.19,"827,323",0.27
               Selective sales,"212,739,386",0.11,"3,608,527",0.50,"404,020",0.24,"2,451,931",0.14,"1,802,289",0.18,"24,625,272",0.83,"3,322,447",0.19,"2,895,587",0.00,"605,632",0.00,"358,311",0.00,"12,675,839",0.50,"4,772,566",0.43,"1,058,190",0.00,"723,892",0.14,"13,547,042",0.38,"4,749,562",0.07,"1,798,568",0.18,"1,388,513",0.15,"3,288,562",0.39,"3,103,961",0.15,"727,428",0.06,"5,969,787",0.04,"2,929,293",0.33,"4,975,736",0.00,"4,729,666",0.11,"1,543,942",0.06,"2,386,932",0.45,"791,972",0.23,"747,151",0.33,"3,022,196",0.02,"985,455",0.00,"5,161,779",0.10,"950,456",0.10,"13,582,499",0.10,"5,352,771",0.38,"538,595",0.01,"8,011,496",0.06,"2,002,070",0.14,"3,113,695",0.45,"11,149,394",0.01,"821,190",0.00,"2,396,488",0.30,"558,407",0.11,"4,160,136",0.20,"18,566,411",0.36,"1,632,960",0.64,"749,390",0.08,"6,640,911",0.17,"6,731,656",0.81,"1,516,327",0.15,"2,890,778",0.21,"221,706",0.16
                    Motor fuel,"53,051,096",0.04,"990,799",1.67,"56,561",0.00,"844,828",0.00,"588,229",0.00,"7,659,320",0.00,"618,724",0.00,"469,851",0.00,"124,842",0.00,"23,618",0.00,"3,700,648",0.25,"1,781,682",0.00,"148,738",0.00,"405,050",0.00,"2,498,546",0.00,"1,545,637",0.00,"673,571",0.00,"445,472",0.00,"699,875",0.00,"639,727",0.00,"231,938",0.00,"1,025,338",0.00,"662,932",0.00,"1,336,795",0.00,"844,730",0.00,"457,970",0.05,"696,002",0.00,"274,353",0.00,"415,141",0.00,"652,204",0.05,"117,200",0.00,"386,173",0.00,"230,303",0.00,"1,465,180",0.00,"2,113,248",0.00,"173,157",0.00,"2,550,950",0.00,"571,408",0.00,"653,725",0.08,"3,031,113",0.00,"130,104",0.00,"838,264",0.00,"189,960",0.00,"1,210,808",0.00,"3,596,892",0.00,"534,738",0.00,"109,548",0.00,"1,482,105",0.00,"1,518,342",0.00,"399,542",0.00,"1,123,970",0.00,"111,244",0.00
                    Alcoholic beverage,"8,248,106",0.08,"323,047",0.50,"47,006",0.13,"89,138",0.00,"73,834",0.11,"411,969",0.00,"54,116",0.00,"79,109",0.00,"32,719",0.00,"6,197",0.00,"338,642",0.00,"381,229",1.28,"45,178",0.00,"11,159",0.00,"375,734",0.00,"58,542",0.00,"29,798",0.00,"148,735",0.00,"174,267",0.00,"81,382",0.06,"18,461",0.00,"38,941",0.00,"93,206",0.00,"235,383",0.00,"104,922",0.00,"45,761",0.00,"46,316",0.00,"46,484",0.00,"35,338",0.00,"44,690",0.00,"13,701",0.00,"174,731",0.00,"24,769",0.00,"291,683",0.00,"646,680",0.30,"9,612",0.00,"135,198",0.00,"146,821",0.00,"18,086",0.00,"465,959",0.00,"22,112",0.00,"210,709",0.11,"20,454",0.07,"431,390",0.81,"1,262,775",0.00,"17,880",0.00,"12,105",0.00,"295,471",0.00,"472,949",0.00,"27,702",0.86,"73,778",0.00,"2,238",0.00
                    Tobacco products,"19,481,996",0.01,"205,735",0.93,"101,672",0.71,"294,155",0.00,"233,224",0.00,"1,969,795",0.00,"228,095",0.00,"322,806",0.00,"115,700",0.00,"22,185",0.00,"1,100,091",0.00,"242,897",0.00,"108,529",0.00,"48,796",0.00,"1,088,692",0.00,"410,363",0.00,"200,579",0.00,"123,410",0.00,"420,634",0.00,"268,770",0.00,"144,593",0.00,"388,243",0.00,"398,214",0.00,"886,370",0.00,"626,480",0.00,"140,868",0.00,"111,493",0.14,"73,677",0.00,"55,790",0.00,"185,039",0.00,"251,000",0.00,"601,614",0.00,"95,230",0.00,"1,028,988",0.00,"307,357",0.00,"26,108",0.00,"928,318",0.00,"463,457",0.00,"377,921",0.00,"1,292,064",0.00,"158,682",0.00,"28,306",0.00,"52,328",0.00,"242,926",0.00,"1,397,304",0.00,"106,633",0.00,"77,473",0.00,"345,895",0.19,"386,660",0.00,"171,187",0.00,"604,097",0.00,"21,553",0.00
                    Public utilities,"27,359,097",0.55,"786,757",0.83,"19,545",1.63,"226,054",0.96,"169,248",1.77,"4,226,502",2.65,"125,072",0.82,"256,751",0.00,"48,540",0.00,"159,773",0.00,"3,895,650",1.59,"391,225",2.09,"254,113",0.00,"42,321",2.33,"2,461,688",1.61,"266,523",1.00,"304,048",0.74,"145,427",1.44,"435,183",0.83,"147,587",1.04,"29,308",1.51,"573,659",0.04,0,0.00,"81,787",0.00,"257,063",1.99,"62,300",1.30,"357,459",2.37,"41,015",0.00,"133,788",1.14,"310,868",0.08,"42,851",0.00,"986,141",0.39,"89,762",0.82,"1,615,365",0.65,233,0.00,"75,146",0.10,"1,084,279",0.19,"145,471",1.74,"383,814",2.94,"1,010,756",0.00,"93,449",0.00,"102,371",2.44,"36,637",1.70,"103,818",1.20,"2,018,587",1.90,"266,410",0.97,"11,776",5.14,"1,027,212",0.32,"1,515,152",3.57,"157,554",0.26,"354,279",0.00,"28,780",1.22
                    Other selective sales,"104,599,092",0.18,"1,302,188",0.24,"179,236",0.31,"997,757",0.26,"737,755",0.17,"10,357,686",1.65,"2,296,441",0.28,"1,767,070",0.00,"283,831",0.00,"146,538",0.00,"3,640,808",0.33,"1,975,533",0.93,"501,632",0.00,"216,566",0.03,"7,122,382",0.48,"2,468,497",0.07,"590,572",0.41,"525,469",0.04,"1,558,603",0.79,"1,966,495",0.23,"303,128",0.00,"3,943,606",0.05,"1,774,941",0.54,"2,435,401",0.00,"2,896,471",0.01,"837,042",0.06,"1,175,663",0.58,"356,443",0.51,"107,094",1.83,"1,829,395",0.02,"560,703",0.00,"3,013,120",0.12,"510,393",0.11,"9,181,283",0.10,"2,285,253",0.88,"254,573",0.00,"3,312,751",0.14,"674,913",0.16,"1,680,149",0.49,"5,349,502",0.03,"416,843",0.00,"1,216,838",0.55,"259,028",0.00,"2,171,193",0.34,"10,290,853",0.54,"707,299",1.44,"538,488",0.00,"3,490,228",0.30,"2,838,553",0.18,"760,342",0.29,"734,654",0.84,"57,891",0.05
          Individual income,"545,142,145",0.03,"5,037,089",0.12,0,0.00,"6,532,753",0.00,"3,467,141",0.00,"146,324,579",0.00,"10,246,531",0.00,"10,259,183",0.00,"2,148,289",0.00,"2,643,213",0.00,0,0.00,"14,220,906",0.00,"3,354,690",0.00,"2,457,943",0.00,"21,870,696",0.00,"11,783,938",0.07,"4,370,992",0.00,"4,618,399",0.00,"6,886,506",0.15,"3,933,108",0.00,"2,075,273",0.00,"17,228,875",0.06,"19,683,486",0.00,"12,648,129",0.00,"15,170,613",0.00,"2,515,630",0.00,"8,202,855",0.08,"1,889,444",0.00,"3,130,599",0.00,0,0.00,"148,648",0.00,"16,833,495",0.00,"1,198,906",0.00,"70,621,612",0.00,"15,908,051",0.00,"448,704",0.00,"16,616,584",0.74,"3,767,669",0.00,"11,256,904",0.00,"21,985,066",0.64,"1,757,678",0.00,"5,456,360",0.00,0,0.00,"179,384",0.00,0,0.00,"6,672,695",0.00,"1,233,157",0.00,"17,066,596",0.00,0,0.00,"2,253,788",0.00,"9,035,988",0.00,0,0.00
          Corporate income,"98,713,170",0.02,"1,134,256",0.00,"124,987",0.00,"913,573",0.00,"618,457",0.00,"26,097,277",0.00,"1,278,046",0.00,"2,607,064",0.00,"341,910",0.00,"863,057",0.00,"3,407,190",0.00,"1,750,735",0.00,"191,426",0.00,"351,479",0.00,"5,729,501",0.00,"1,385,158",0.00,"793,641",0.00,"727,435",0.00,"1,152,481",0.44,"587,747",0.00,"284,317",0.00,"1,840,705",0.00,"3,672,995",0.00,"1,496,498",0.00,"2,423,383",0.00,"550,199",0.00,"777,034",0.00,"268,444",0.00,"571,220",0.00,0,0.00,"1,009,975",0.00,"5,959,760",0.00,"152,728",0.00,"12,160,533",0.00,"1,515,650",0.00,"155,458",0.00,"276,767",7.91,"601,224",0.00,"1,359,765",0.00,"4,635,064",0.00,"257,943",0.00,"740,197",0.00,"53,960",0.00,"2,564,458",0.00,0,0.00,"745,673",0.00,"166,841",0.00,"1,579,303",0.00,0,0.00,"320,487",0.00,"2,517,169",0.00,0,0.00
          Motor vehicle license,"32,462,840",0.12,"282,306",0.52,"52,849",0.31,"295,273",0.00,"178,731",0.00,"5,281,226",0.00,"531,285",0.11,"223,255",0.00,"62,180",0.00,"55,085",0.00,"1,523,039",0.00,"406,893",0.00,"434,593",0.00,"238,102",0.21,"2,480,679",0.21,"407,081",0.17,"778,613",0.02,"265,520",0.57,"226,211",0.00,"88,879",1.15,"126,502",0.03,"520,735",0.00,"472,284",0.00,"1,455,962",0.00,"958,306",0.00,"169,938",0.00,"354,198",0.15,"198,726",0.16,"214,934",1.98,"209,587",0.00,"94,400",0.00,"681,061",0.00,"232,681",0.23,"1,566,535",2.01,"1,112,355",0.37,"118,233",0.00,"603,861",1.01,"818,922",0.04,"818,048",0.58,"1,307,236",0.00,"28,168",0.00,"327,813",0.80,"134,551",4.71,"533,083",0.73,"2,522,883",0.56,"243,553",0.00,"75,558",0.00,"698,005",0.46,"1,150,203",0.24,"4,568",0.00,"767,683",0.18,"130,466",0.57
          Other taxes,"106,830,512",0.22,"1,119,997",0.94,"522,114",0.09,"1,080,741",0.43,"447,700",0.11,"16,777,536",1.10,"787,392",0.78,"1,037,999",0.52,"2,480,412",0.43,"733,599",0.00,"8,629,159",0.75,"1,093,123",0.89,"234,849",0.00,"315,166",0.68,"2,712,493",0.78,"677,764",0.87,"548,995",0.40,"396,489",0.84,"589,422",0.63,"906,328",0.36,"325,284",0.22,"2,494,689",0.10,"2,551,530",0.30,"1,544,166",0.77,"1,550,534",0.54,"532,129",0.20,"977,697",1.41,"460,496",0.07,"671,909",1.66,"1,896,723",0.00,"677,035",2.01,"2,739,567",0.94,"2,026,898",0.01,"8,264,574",0.83,"2,254,591",0.32,"1,784,379",0.01,"2,193,694",0.34,"1,291,679",0.16,"3,339,088",0.99,"5,825,470",0.79,"216,100",0.00,"1,413,398",1.30,"264,426",0.66,"2,655,234",0.29,"7,457,153",1.02,"386,505",1.00,"187,502",0.42,"2,869,503",0.60,"4,549,400",0.89,"759,449",0.28,"994,032",0.74,"584,395",0.16
     Charges and miscellaneous general revenue,"852,957,868",0.17,"16,127,374",0.46,"5,162,815",0.17,"11,726,769",0.13,"5,942,123",0.85,"126,289,775",0.72,"15,693,443",1.08,"5,629,642",0.27,"2,945,270",1.08,"1,646,574",0.00,"57,479,000",0.33,"21,109,807",0.47,"4,464,509",0.00,"3,786,060",0.61,"23,352,220",0.98,"17,470,451",0.34,"11,000,069",0.71,"9,573,923",0.24,"9,481,707",0.37,"10,322,784",1.94,"2,249,769",1.03,"11,309,176",0.13,"15,285,162",0.49,"26,033,422",0.57,"14,034,647",0.38,"7,687,368",0.24,"13,827,581",1.78,"1,947,670",0.33,"4,928,169",0.99,"5,968,005",0.25,"2,436,263",0.58,"19,526,878",0.74,"7,114,552",0.17,"54,117,528",0.70,"28,788,149",0.49,"2,729,247",1.63,"29,441,480",0.58,"9,971,357",0.81,"15,005,078",0.39,"32,630,697",1.10,"2,454,043",0.49,"16,688,054",0.46,"1,731,732",0.45,"13,596,258",1.14,"73,071,145",0.52,"11,625,281",0.40,"1,338,805",0.21,"22,330,122",0.23,"23,978,157",2.86,"4,602,700",0.26,"13,909,980",0.54,"3,395,078",0.25
