F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129,F133,F134,F138,F139,F143,F144,F148,F149,F153,F154,F158,F159,F163,F164,F168,F169,F173,F174,F178,F179,F183,F184,F188,F189,F193,F194,F198,F199,F203,F204,F208,F209,F213,F214,F218,F219,F223,F224,F228,F229,F233,F234,F238,F239,F243,F244,F248,F249,F253,F254,F258,F259
Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local
,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV
,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
Description,C1,C2,C6,C7,C11,C12,C16,C17,C21,C22,C26,C27,C31,C32,C36,C37,C41,C42,C46,C47,C51,C52,C56,C57,C61,C62,C66,C67,C71,C72,C76,C77,C81,C82,C86,C87,C91,C92,C96,C97,C101,C102,C106,C107,C111,C112,C116,C117,C121,C122,C126,C127,C131,C132,C136,C137,C141,C142,C146,C147,C151,C152,C156,C157,C161,C162,C166,C167,C171,C172,C176,C177,C181,C182,C186,C187,C191,C192,C196,C197,C201,C202,C206,C207,C211,C212,C216,C217,C221,C222,C226,C227,C231,C232,C236,C237,C241,C242,C246,C247,C251,C252,C256,C257
Long-term debt retired,"478,029,268",0.47,"4,899,575",0.67,"2,271,158",0.16,"5,618,863",1.18,"3,673,988",0.80,"56,324,250",3.64,"7,291,048",2.89,"5,041,950",0.87,"653,103",0.05,"788,877",0.00,"17,431,060",0.74,"7,383,442",1.24,"2,017,776",0.00,"905,932",0.77,"19,825,168",1.76,"5,297,427",0.22,"3,576,350",1.36,"3,155,423",0.64,"4,527,669",1.81,"3,098,870",0.68,"949,182",0.57,"7,652,448",0.46,"10,734,780",0.77,"11,810,610",0.36,"7,296,866",0.89,"1,899,991",0.59,"4,241,383",0.81,"77,120,848",0.00,"2,706,538",1.34,"3,166,364",0.41,"1,381,843",0.45,"8,869,055",3.47,"1,982,538",0.50,"46,220,110",0.09,"9,246,118",1.19,"1,180,988",1.34,"10,270,589",0.88,"3,208,649",0.74,"3,914,321",0.63,"13,506,669",2.43,"1,068,238",0.06,"4,285,840",1.16,"1,238,803",18.38,"5,544,893",1.38,"50,394,174",1.00,"4,625,907",0.68,"556,433",1.17,"8,741,881",0.58,"9,865,269",0.66,"1,120,918",1.81,"8,795,310",2.84,"649,782",1.11
            Cash and security holdings,"9,272,983,993",0.08,"90,787,290",1.92,"123,332,093",0.04,"123,437,767",0.15,"64,365,539",0.26,"1,748,153,457",0.24,"156,399,980",0.72,"84,525,662",0.27,"28,600,212",0.68,"24,318,173",0.00,"460,542,762",0.30,"216,746,582",0.28,"40,170,356",0.00,"42,874,981",0.25,"332,304,412",0.41,"106,464,029",0.23,"81,387,679",0.21,"54,993,336",0.90,"84,147,553",0.41,"109,695,274",0.16,"31,739,101",0.39,"142,311,316",0.06,"180,514,273",0.37,"206,836,629",0.35,"153,836,007",0.24,"57,905,507",0.13,"162,370,205",0.32,"31,138,492",0.26,"50,675,290",0.64,"88,747,637",0.24,"23,517,082",0.60,"181,477,417",0.42,"92,126,983",0.30,"918,931,887",0.07,"186,420,473",0.08,"49,074,606",1.34,"381,050,979",0.35,"81,491,138",0.30,"166,748,872",0.29,"267,454,538",0.63,"26,410,684",1.47,"88,416,892",0.26,"25,962,057",0.16,"139,052,988",0.95,"777,104,567",0.54,"62,042,621",0.36,"11,813,937",0.35,"208,170,462",0.20,"229,700,126",0.37,"33,831,793",0.17,"197,666,726",0.26,"45,195,572",0.31
Insurance trust funds,"5,737,482,562",0.04,"43,295,704",0.00,"20,120,269",0.00,"69,729,677",0.00,"39,920,022",0.00,"1,266,489,907",0.02,"73,509,752",0.22,"53,991,251",0.13,"16,408,670",1.15,"13,608,511",0.00,"250,847,681",0.43,"146,393,360",0.12,"20,343,082",0.00,"25,486,676",0.00,"212,997,664",0.19,"43,081,899",0.01,"49,330,242",0.00,"28,154,574",0.00,"44,869,395",0.02,"66,004,242",0.22,"19,697,149",0.00,"99,881,058",0.05,"111,833,051",0.52,"115,389,701",0.47,"90,780,828",0.01,"37,992,259",0.00,"101,549,865",0.26,"16,933,475",0.00,"25,619,481",0.00,"58,867,053",0.00,"12,197,885",0.00,"95,131,031",0.00,"35,448,168",0.00,"703,293,675",0.00,"127,161,655",0.00,"10,767,824",0.00,"244,936,732",0.00,"45,294,575",0.14,"112,033,097",0.00,"145,501,813",0.54,"13,712,423",2.83,"42,690,662",0.00,"15,617,058",0.00,"83,377,550",1.55,"359,080,576",0.05,"39,167,110",0.00,"6,012,594",0.00,"121,662,208",0.07,"168,859,624",0.01,"22,696,473",0.23,"155,560,813",0.00,"14,152,520",0.00
     Unemployment compensation,"10,603,814",0.00,"1,166,006",0.00,"567,202",0.00,"675,842",0.00,"1,647,814",0.00,"-20,317,858",0.00,"-658,814",0.00,"-86,284",0.00,"446,894",0.00,"50,028",0.00,"1,902,748",0.00,"534,320",0.00,"-713,289",0.00,"1,579,156",0.00,"-3,338,061",0.00,"850,992",0.00,"1,964,506",0.00,"1,028,882",0.00,"184,831",0.00,"-95,098",0.00,"934,822",0.00,"892,102",0.00,"1,547,271",0.00,"1,826,216",0.00,"-942,374",0.00,"1,191,760",0.00,"1,211,222",0.00,"745,772",0.00,"903,862",0.00,"-241,036",0.00,"333,880",0.00,"-884,661",0.00,"1,050,653",0.00,"-8,818,287",0.00,"5,970,260",0.00,"499,262",0.00,"-496,943",0.00,"404,810",0.00,"8,309,432",0.00,"234,910",0.00,"316,178",0.00,"2,363,132",0.00,"324,212",0.00,"2,280,350",0.00,"-5,451,979",0.00,"1,505,770",0.00,"469,314",0.00,"325,679",0.00,"3,725,432",0.00,"-26,668",0.00,"2,058,284",0.00,"651,360",0.00
     Employee retirement,"5,605,742,521",0.04,"42,129,698",0.00,"19,530,985",0.00,"69,053,835",0.00,"38,166,311",0.00,"1,256,737,088",0.02,"71,102,076",0.22,"54,029,166",0.13,"15,961,776",1.18,"13,558,483",0.00,"248,680,067",0.44,"145,859,040",0.12,"21,056,371",0.00,"22,905,651",0.00,"216,263,566",0.19,"42,228,513",0.01,"47,361,140",0.00,"27,119,574",0.00,"43,305,190",0.02,"65,900,887",0.22,"18,753,377",0.00,"98,720,037",0.05,"109,401,396",0.53,"113,533,162",0.48,"91,665,625",0.01,"36,800,499",0.00,"100,303,824",0.26,"14,620,901",0.00,"24,708,912",0.00,"59,108,089",0.00,"11,864,005",0.00,"95,609,454",0.00,"34,385,621",0.00,"691,501,417",0.00,"121,191,395",0.00,"7,963,717",0.00,"226,405,247",0.00,"44,889,765",0.15,"98,891,817",0.00,"143,781,874",0.55,"13,287,605",2.92,"39,741,596",0.00,"15,290,960",0.00,"81,097,200",1.59,"357,206,542",0.05,"37,539,832",0.00,"5,543,280",0.00,"121,332,853",0.07,"143,815,672",0.01,"21,270,352",0.24,"153,468,102",0.00,"11,098,978",0.00
     Workers' compensation,"109,854,840",0.00,0,0.00,"22,082",0.00,0,0.00,"105,897",0.00,"20,261,218",0.00,"2,993,870",0.00,"48,369",0.00,0,0.00,0,0.00,"264,866",0.00,0,0.00,0,0.00,"1,001,869",0.00,"58,749",0.00,"2,394",0.00,"4,596",0.00,"6,118",0.00,"1,379,374",0.00,"36,567",0.00,"8,950",0.00,"115,467",0.00,"61,241",0.00,"30,323",0.00,"57,577",0.00,0,0.00,"34,819",0.00,"1,566,802",0.00,"6,707",0.00,0,0.00,0,0.00,"267,461",0.00,"11,894",0.00,"20,610,545",0.00,0,0.00,"2,304,845",0.00,"19,028,428",0.00,0,0.00,"4,831,848",0.00,"1,485,029",0.00,0,0.00,"585,934",0.00,"1,886",0.00,0,0.00,"7,326,013",0.00,"121,508",0.00,0,0.00,"3,676",0.00,"21,318,520",0.00,"1,452,789",0.00,"34,427",0.00,"2,402,182",0.00
     Miscellaneous,"11,281,387",0.00,0,0.00,0,0.00,0,0.00,0,0.00,"9,809,459",0.00,"72,620",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"13,410",0.00,0,0.00,0,0.00,0,0.00,0,0.00,"161,886",0.00,0,0.00,"153,452",0.00,"823,143",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"138,777",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"108,640",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Other than insurance trust funds,"3,535,501,430",0.20,"47,491,586",3.67,"103,211,824",0.04,"53,708,090",0.35,"24,445,517",0.69,"481,663,550",0.89,"82,890,228",1.35,"30,534,411",0.72,"12,191,542",0.34,"10,709,662",0.00,"209,695,080",0.41,"70,353,222",0.82,"19,827,274",0.00,"17,388,305",0.61,"119,306,749",1.09,"63,382,129",0.38,"32,057,437",0.52,"26,838,762",1.84,"39,278,158",0.88,"43,691,032",0.24,"12,041,952",1.02,"42,430,258",0.15,"68,681,222",0.47,"91,446,928",0.51,"63,055,179",0.60,"19,913,248",0.36,"60,820,340",0.74,"14,205,017",0.58,"25,055,808",1.28,"29,880,584",0.70,"11,319,197",1.24,"86,346,386",0.87,"56,678,815",0.49,"215,638,212",0.31,"59,258,818",0.26,"38,306,782",1.72,"136,114,247",0.98,"36,196,563",0.64,"54,715,775",0.88,"121,952,725",1.21,"12,698,261",0.14,"45,726,230",0.51,"10,344,999",0.41,"55,675,438",0.43,"418,023,990",1.01,"22,875,511",0.97,"5,801,343",0.71,"86,508,254",0.47,"60,840,503",1.40,"11,135,320",0.23,"42,105,913",1.24,"31,043,052",0.45
   By purpose:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Offsets to debt,"776,596,923",0.39,"8,013,844",21.83,"4,083,586",0.16,"9,403,481",0.18,"6,080,131",1.91,"68,599,775",1.94,"18,328,958",1.46,"16,272,368",0.06,"1,600,064",0.00,"2,179,296",0.00,"17,700,206",0.74,"10,501,921",3.78,"1,090,222",0.00,"3,109,643",0.17,"33,260,957",0.35,"22,020,102",0.11,"6,894,322",0.73,"10,535,307",2.38,"17,110,295",1.17,"12,099,337",0.25,"4,149,023",0.24,"15,604,168",0.00,"28,128,700",0.05,"18,157,372",0.39,"17,374,244",0.71,"2,525,358",0.99,"21,403,296",1.43,"2,896,248",0.32,"2,798,880",4.90,"5,172,591",0.11,"4,852,669",0.09,"20,884,014",0.64,"7,605,772",2.85,"93,817,334",0.05,"9,632,492",0.37,"5,603,941",11.51,"48,435,238",2.51,"4,072,803",1.12,"10,448,465",1.01,"39,097,544",1.10,"5,517,342",0.04,"7,968,096",0.78,"3,270,318",0.38,"17,662,001",0.73,"57,983,748",2.02,"3,303,304",0.43,"2,257,154",0.10,"19,243,856",0.95,"10,596,552",0.44,"1,130,623",1.22,"15,172,248",1.23,"947,713",0.33
          Bond funds,"293,661,431",1.09,"2,808,191",1.28,"501,549",0.00,"2,779,469",0.00,"2,516,605",0.91,"62,087,642",2.93,"8,711,452",1.71,"1,289,411",2.70,"792,361",0.00,"101,972",0.00,"15,237,608",1.09,"8,563,108",1.19,"760,689",0.00,"691,071",0.84,"11,295,055",3.96,"2,533,250",3.31,"2,015,166",1.76,"1,940,565",2.25,"1,121,900",2.78,"2,988,453",1.11,"541,150",3.44,"2,208,806",0.08,"5,252,591",4.47,"10,079,431",0.52,"1,340,649",1.90,"922,701",0.22,"2,673,540",1.90,"934,755",1.25,"1,445,036",8.71,"2,512,717",0.00,"403,788",11.78,"5,172,229",4.16,"2,267,324",0.15,"12,410,394",1.56,"7,895,514",1.06,"359,241",0.45,"7,828,928",0.76,"1,884,560",2.40,"6,148,105",1.24,"13,012,795",2.98,"498,321",0.00,"3,446,092",2.15,"193,553",2.36,"5,949,958",0.99,"48,629,833",5.14,"4,022,932",0.79,"129,440",2.19,"6,398,347",0.86,"6,653,871",0.49,"609,589",0.58,"2,945,362",3.71,"154,361",0.22
          Other,"2,465,243,077",0.21,"36,669,551",0.31,"98,626,688",0.04,"41,525,141",0.45,"15,848,781",0.74,"350,976,133",0.82,"55,849,818",1.94,"12,972,632",1.66,"9,799,117",0.43,"8,428,394",0.00,"176,757,266",0.48,"51,288,194",0.67,"17,976,363",0.00,"13,587,591",0.78,"74,750,737",1.64,"38,828,777",0.52,"23,147,948",0.69,"14,362,891",2.96,"21,045,963",1.19,"28,603,242",0.31,"7,351,779",1.59,"24,617,284",0.26,"35,299,931",0.55,"63,210,126",0.73,"44,340,286",0.78,"16,465,189",0.42,"36,743,503",0.90,"10,374,015",0.78,"20,811,892",0.87,"22,195,276",0.92,"6,062,741",2.12,"60,290,143",1.06,"46,805,718",0.24,"109,410,483",0.59,"41,730,812",0.20,"32,343,600",0.38,"79,850,080",0.59,"30,239,200",0.73,"38,119,205",1.23,"69,842,386",1.94,"6,682,598",0.27,"34,312,041",0.59,"6,881,129",0.56,"32,063,479",0.40,"311,410,409",0.95,"15,549,276",1.36,"3,414,749",1.21,"60,866,051",0.40,"43,590,080",1.96,"9,395,108",0.24,"23,988,303",1.78,"29,940,978",0.46
