F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129,F133,F134,F138,F139,F143,F144,F148,F149,F153,F154,F158,F159,F163,F164,F168,F169,F173,F174,F178,F179,F183,F184,F188,F189,F193,F194,F198,F199,F203,F204,F208,F209,F213,F214,F218,F219,F223,F224,F228,F229,F233,F234,F238,F239,F243,F244,F248,F249,F253,F254,F258,F259
Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local
,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV
,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
Description,C1,C2,C6,C7,C11,C12,C16,C17,C21,C22,C26,C27,C31,C32,C36,C37,C41,C42,C46,C47,C51,C52,C56,C57,C61,C62,C66,C67,C71,C72,C76,C77,C81,C82,C86,C87,C91,C92,C96,C97,C101,C102,C106,C107,C111,C112,C116,C117,C121,C122,C126,C127,C131,C132,C136,C137,C141,C142,C146,C147,C151,C152,C156,C157,C161,C162,C166,C167,C171,C172,C176,C177,C181,C182,C186,C187,C191,C192,C196,C197,C201,C202,C206,C207,C211,C212,C216,C217,C221,C222,C226,C227,C231,C232,C236,C237,C241,C242,C246,C247,C251,C252,C256,C257
            Revenue1,"4,102,027,042",0.07,"51,441,834",0.29,"13,780,609",0.08,"69,539,598",0.11,"31,287,506",0.43,"660,570,432",0.33,"70,491,513",0.45,"49,576,202",0.40,"12,597,777",0.00,"15,950,556",0.00,"200,532,682",0.34,"95,471,553",0.29,"20,214,743",0.00,"15,921,773",0.25,"159,118,170",0.28,"69,858,196",0.29,"38,868,438",0.28,"32,853,075",0.36,"45,644,386",0.18,"52,153,856",0.20,"14,934,636",0.53,"74,582,298",0.07,"100,309,337",0.25,"111,768,603",0.23,"79,757,205",0.32,"31,975,184",0.14,"62,106,538",0.52,"13,812,548",0.10,"25,282,741",0.38,"32,161,591",0.02,"14,612,927",0.85,"120,309,005",0.60,"26,037,462",0.05,"391,282,624",0.08,"104,213,406",0.17,"11,694,830",0.24,"144,701,350",0.25,"37,872,922",0.25,"59,838,316",0.27,"158,843,904",0.29,"13,394,729",0.10,"53,455,216",0.13,"8,807,876",1.18,"69,072,777",0.26,"292,262,583",0.24,"36,252,969",0.31,"8,326,974",0.42,"87,957,945",0.21,"107,441,639",0.33,"19,000,685",0.10,"73,273,810",0.17,"10,809,514",0.31
General revenue1,"3,303,124,723",0.08,"41,956,207",0.29,"11,533,192",0.09,"54,788,341",0.13,"26,275,671",0.51,"505,734,418",0.39,"55,006,956",0.49,"43,349,056",0.15,"10,801,011",0.00,"13,474,032",0.00,"165,456,421",0.22,"77,005,840",0.21,"17,709,267",0.00,"12,860,914",0.30,"127,313,699",0.32,"62,101,327",0.31,"32,889,443",0.31,"28,156,731",0.38,"38,453,262",0.18,"43,609,940",0.15,"12,769,990",0.62,"64,762,095",0.05,"81,867,346",0.26,"91,137,014",0.25,"62,840,161",0.40,"26,884,917",0.13,"49,124,295",0.57,"9,673,166",0.12,"18,321,076",0.50,"25,051,394",0.02,"12,275,266",1.02,"104,711,653",0.69,"22,060,947",0.06,"314,320,892",0.10,"87,956,975",0.18,"10,193,177",0.22,"108,815,607",0.32,"31,390,711",0.26,"46,136,064",0.29,"130,540,083",0.21,"11,479,339",0.06,"44,224,808",0.14,"7,128,481",1.46,"48,928,552",0.31,"238,462,688",0.27,"28,944,815",0.38,"7,422,663",0.39,"78,317,631",0.23,"82,136,137",0.42,"16,504,219",0.10,"51,598,062",0.23,"8,668,777",0.34
Intergovernmental revenue1,"741,066,654",0.05,"11,581,597",0.49,"3,698,380",0.06,"16,627,240",0.07,"8,104,476",0.10,"112,440,926",0.20,"10,378,862",0.59,"7,766,519",0.42,"2,631,385",0.00,"3,860,043",0.00,"31,938,386",0.16,"16,548,871",0.14,"3,210,729",0.00,"2,967,882",0.60,"25,323,627",0.39,"15,419,689",0.12,"6,455,806",0.16,"4,311,242",0.62,"12,428,920",0.13,"14,037,514",0.03,"3,148,307",0.20,"14,053,763",0.03,"18,077,185",0.17,"22,702,130",0.28,"12,875,365",0.90,"8,595,490",0.18,"12,406,103",0.04,"3,355,792",0.16,"3,521,363",0.49,"5,771,312",0.01,"2,500,670",0.30,"18,053,639",0.07,"7,729,049",0.05,"71,189,031",0.03,"20,528,583",0.20,"1,934,038",0.43,"26,028,787",0.28,"7,395,475",0.25,"11,282,651",0.20,"32,014,134",0.09,"2,969,630",0.14,"10,078,783",0.18,"1,660,695",0.45,"12,607,294",0.30,"48,473,678",0.20,"5,338,158",0.39,"2,167,341",0.19,"11,588,355",0.27,"15,813,782",0.51,"5,081,038",0.11,"9,881,915",0.20,"2,511,024",0.28
     From Federal Government,"741,066,654",0.05,"11,581,597",0.49,"3,698,380",0.06,"16,627,240",0.07,"8,104,476",0.10,"112,440,926",0.20,"10,378,862",0.59,"7,766,519",0.42,"2,631,385",0.00,"3,860,043",0.00,"31,938,386",0.16,"16,548,871",0.14,"3,210,729",0.00,"2,967,882",0.60,"25,323,627",0.39,"15,419,689",0.12,"6,455,806",0.16,"4,311,242",0.62,"12,428,920",0.13,"14,037,514",0.03,"3,148,307",0.20,"14,053,763",0.03,"18,077,185",0.17,"22,702,130",0.28,"12,875,365",0.90,"8,595,490",0.18,"12,406,103",0.04,"3,355,792",0.16,"3,521,363",0.49,"5,771,312",0.01,"2,500,670",0.30,"18,053,639",0.07,"7,729,049",0.05,"71,189,031",0.03,"20,528,583",0.20,"1,934,038",0.43,"26,028,787",0.28,"7,395,475",0.25,"11,282,651",0.20,"32,014,134",0.09,"2,969,630",0.14,"10,078,783",0.18,"1,660,695",0.45,"12,607,294",0.30,"48,473,678",0.20,"5,338,158",0.39,"2,167,341",0.19,"11,588,355",0.27,"15,813,782",0.51,"5,081,038",0.11,"9,881,915",0.20,"2,511,024",0.28
     From State government1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
