,Description,United States Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
5,            Revenue1,"4,102,027,042","51,441,834","13,780,609","69,539,598","31,287,506","660,570,432","70,491,513","49,576,202","12,597,777","15,950,556","200,532,682","95,471,553","20,214,743","15,921,773","159,118,170","69,858,196","38,868,438","32,853,075","45,644,386","52,153,856","14,934,636","74,582,298","100,309,337","111,768,603","79,757,205","31,975,184","62,106,538","13,812,548","25,282,741","32,161,591","14,612,927","120,309,005","26,037,462","391,282,624","104,213,406","11,694,830","144,701,350","37,872,922","59,838,316","158,843,904","13,394,729","53,455,216","8,807,876","69,072,777","292,262,583","36,252,969","8,326,974","87,957,945","107,441,639","19,000,685","73,273,810","10,809,514"
6,General revenue1,"3,303,124,723","41,956,207","11,533,192","54,788,341","26,275,671","505,734,418","55,006,956","43,349,056","10,801,011","13,474,032","165,456,421","77,005,840","17,709,267","12,860,914","127,313,699","62,101,327","32,889,443","28,156,731","38,453,262","43,609,940","12,769,990","64,762,095","81,867,346","91,137,014","62,840,161","26,884,917","49,124,295","9,673,166","18,321,076","25,051,394","12,275,266","104,711,653","22,060,947","314,320,892","87,956,975","10,193,177","108,815,607","31,390,711","46,136,064","130,540,083","11,479,339","44,224,808","7,128,481","48,928,552","238,462,688","28,944,815","7,422,663","78,317,631","82,136,137","16,504,219","51,598,062","8,668,777"
7,Intergovernmental revenue1,"741,066,654","11,581,597","3,698,380","16,627,240","8,104,476","112,440,926","10,378,862","7,766,519","2,631,385","3,860,043","31,938,386","16,548,871","3,210,729","2,967,882","25,323,627","15,419,689","6,455,806","4,311,242","12,428,920","14,037,514","3,148,307","14,053,763","18,077,185","22,702,130","12,875,365","8,595,490","12,406,103","3,355,792","3,521,363","5,771,312","2,500,670","18,053,639","7,729,049","71,189,031","20,528,583","1,934,038","26,028,787","7,395,475","11,282,651","32,014,134","2,969,630","10,078,783","1,660,695","12,607,294","48,473,678","5,338,158","2,167,341","11,588,355","15,813,782","5,081,038","9,881,915","2,511,024"
8,     From Federal Government,"741,066,654","11,581,597","3,698,380","16,627,240","8,104,476","112,440,926","10,378,862","7,766,519","2,631,385","3,860,043","31,938,386","16,548,871","3,210,729","2,967,882","25,323,627","15,419,689","6,455,806","4,311,242","12,428,920","14,037,514","3,148,307","14,053,763","18,077,185","22,702,130","12,875,365","8,595,490","12,406,103","3,355,792","3,521,363","5,771,312","2,500,670","18,053,639","7,729,049","71,189,031","20,528,583","1,934,038","26,028,787","7,395,475","11,282,651","32,014,134","2,969,630","10,078,783","1,660,695","12,607,294","48,473,678","5,338,158","2,167,341","11,588,355","15,813,782","5,081,038","9,881,915","2,511,024"
9,     From State government1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,     From local governments1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,General revenue from own sources,"2,562,058,069","30,374,610","7,834,812","38,161,100","18,171,195","393,293,491","44,628,094","35,582,537","8,169,626","9,613,989","133,518,035","60,456,969","14,498,538","9,893,031","101,990,072","46,681,638","26,433,636","23,845,489","26,024,343","29,572,425","9,621,684","50,708,332","63,790,161","68,434,883","49,964,796","18,289,427","36,718,192","6,317,374","14,799,713","19,280,082","9,774,596","86,658,014","14,331,898","243,131,861","67,428,392","8,259,138","82,786,820","23,995,236","34,853,413","98,525,949","8,509,708","34,146,024","5,467,786","36,321,259","189,989,010","23,606,657","5,255,322","66,729,276","66,322,355","11,423,180","41,716,147","6,157,753"
12,    Taxes,"1,773,631,514","17,114,744","3,564,487","27,442,061","12,575,877","273,732,815","29,508,203","30,008,842","5,333,308","7,970,767","83,734,511","40,944,791","10,363,369","6,724,959","79,024,846","30,134,424","16,186,662","15,104,067","17,913,939","20,381,889","7,429,827","39,377,616","48,014,061","43,661,142","36,181,656","11,202,415","24,337,196","4,518,694","10,383,572","14,216,402","7,230,773","66,522,758","8,527,817","190,037,959","42,297,110","5,557,765","54,714,733","14,992,083","20,852,748","69,886,868","6,038,240","18,871,639","3,764,321","23,869,907","128,918,383","14,301,696","3,951,844","43,315,275","43,489,811","7,548,498","28,969,312","2,884,830"
13,          Property,"547,386,819","2,846,125","1,613,310","7,974,960","2,434,526","67,396,812","8,861,273","11,017,132","898,557","2,624,083","28,801,579","12,677,258","1,928,566","1,766,701","29,164,915","6,560,335","5,290,307","4,687,978","3,736,700","4,037,405","3,022,577","10,376,983","17,455,193","14,635,989","9,466,681","3,137,974","6,444,676","1,766,009","3,946,232","3,159,814","4,627,715","30,564,663","1,731,988","58,791,416","10,364,411","1,062,538","15,975,950","3,009,133","6,571,798","20,138,200","2,608,634","6,233,467","1,364,328","5,457,237","57,024,030","3,319,187","1,654,929","14,566,584","12,210,503","1,719,829","9,539,924","1,119,706"
14,          Sales and gross receipts,"618,251,105","8,418,685","630,901","13,447,241","6,303,628","80,335,950","10,862,214","7,556,076","602,985","1,936,523","45,074,482","14,338,111","5,183,519","2,440,544","25,134,028","12,364,121","5,299,710","5,941,233","6,509,154","11,721,299","2,256,505","10,567,488","9,462,023","14,668,973","11,114,842","5,144,442","9,315,053","664,993","3,000,917","9,122,192","1,032,584","15,574,374","4,157,948","45,998,955","15,751,723","1,664,802","21,120,462","6,596,768","2,244,657","22,483,722","1,714,414","6,079,397","1,998,972","14,159,027","61,919,934","5,319,969","1,163,606","10,708,433","26,487,171","2,869,230","8,804,749","982,380"
