Year,State,Parks and recreation,Insurance trust expenditure,Water supply,Judicial and legal,Correction,Unemployment compensation,Highways,Education,Financial administration,Other insurance trust,Electric power,Housing and community development,Interest on general debt,Libraries,Miscellaneous commercial activities,Solid waste management,Workers' compensation,Public welfare,Natural resources,Other governmental administration,General public buildings,Sewerage,Employee retirement,Health,Protective inspection and regulation,Parking facilities,Air transportation (airports),Utility expenditure,Gas supply,Sea and inland port facilities,Fire protection,Transit,Other and unallocable,Hospitals,Police protection,Employment security administration,Veterans' services,Liquor store expenditure
2018,Vermont,66927,436509,83732,92284,143420,65654,640827,2834909,117574,0,155666,154592,141040,24966,50943,34280,0,1805787,110691,87993,23504,79180,370855,397702,37524,8362,41050,274766,0,0,74472,35369,161004,22769,205852,1734,1073,64164
2018,Rhode Island,82963,1561172,220654,171776,241184,147335,548502,3559276,196031,193646,7827,274981,543660,41642,8412,120428,1002,3198520,87545,268505,104742,177518,1219189,263521,30766,3521,50865,345456,0,2554,314456,116975,444655,56365,475981,40772,0,0
2018,New Mexico,343015,2476761,418761,346851,725365,148412,955709,6835895,369867,0,182797,126667,611632,42750,6908,231376,16107,6347017,309819,272184,125975,208311,2312242,491331,57146,7466,91280,865222,84083,0,322758,179582,932458,1383268,717209,10669,4503,0
2018,Maine,100843,1053917,122785,114269,236840,84394,976792,3685952,338303,0,14093,268007,280347,44518,8947,121704,0,3365732,152485,166492,88403,221370,969523,273256,49271,5201,54705,185802,50,4107,192275,48874,707526,188258,311589,62218,366,123777
2018,North Carolina,1180082,6395668,1508687,859912,2039812,185521,5746198,28073996,1365559,0,2373929,1560598,1856013,255295,14216,766929,0,15309212,659461,908174,514741,1023668,6210147,4097849,332406,46159,620013,4856118,147018,81714,1103388,826484,1270499,10872220,3272056,103147,9347,680427
2018,Kansas,390677,2058830,700127,338831,564188,161386,1715362,9968135,338553,0,822732,270993,771043,143525,9786,165567,1435,4445231,273562,353179,154362,435393,1896009,715006,94396,5336,120059,1595390,31468,0,363310,41063,1078186,3335781,850482,31485,10435,0
2018,Louisiana,766276,5043435,538985,494975,920804,152994,2235716,12201711,765067,29282,505202,577930,1311642,199268,64846,348999,58197,12241618,1084059,465903,118239,624969,4802962,784257,118129,14964,490647,1365612,90587,456832,709364,230838,1852480,2902548,1555273,111263,7217,0
2018,Ohio,1772777,17544805,2029793,1992750,2203933,905430,6037271,36540900,2159578,0,1079454,1985693,3165987,478920,215521,556477,438553,29145600,436443,1338788,462505,2743744,16200822,3241484,325644,50223,327901,4140861,38845,29974,2040566,992769,2979181,5246757,3821803,118942,31117,937686
2018,New Jersey,655281,13860867,778863,1504364,2041110,2014407,3994505,39423024,1451152,521753,140147,1399118,3313212,337734,529,883186,212181,18805686,525165,547513,474690,1523240,11112526,2247275,457417,73408,42955,3860659,26,39340,936565,2941623,10493702,2624584,3495443,200898,13648,0
2018,Nebraska,268772,1193015,372566,198023,528484,72638,1650688,7289078,291381,0,3635582,199273,317803,83367,2598,103770,550,2907880,306056,211684,61802,295888,1119827,322887,77498,13644,88954,4370940,317291,0,290251,45502,969109,783243,529024,44487,2686,0
2018,Mississippi,246383,2876024,327962,280408,517205,74853,1751825,8177055,480544,0,401434,268273,522147,28445,7609,189851,0,6264833,318182,259085,89945,275726,2801171,441289,100133,1329,86982,845827,96467,54034,286296,19964,640113,4030394,769490,35341,26953,296423
