,Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
15,               General sales,"368,048,849",0.09,"4,523,693",1.12,"235,759",1.33,"8,918,995",0.38,"4,261,540",0.33,"50,556,488",0.42,"6,473,530",1.55,"4,082,787",0,0,0,"1,315,925",0,"23,851,433",0.07,"9,190,536",0.62,"3,216,373",0,"1,466,480",0.11,"13,036,478",0.26,"7,279,604",0,"3,357,874",0.35,"4,080,826",0.49,"3,267,331",0,"7,105,500",0.42,"1,280,315",0,"4,409,919",0,"5,803,934",0,"9,211,783",0,"5,651,781",0.07,"3,422,774",0,"5,855,131",0.8,0,0,"2,160,251",0.2,"4,708,528",0,0,0,"9,146,025",0,"3,239,574",0.23,"28,685,915",0.41,"9,456,459",0.39,"1,634,612",0.05,"14,155,382",0.26,"4,772,018",1.06,0,0,"10,638,307",0,"959,513",0,"4,051,614",0.05,"1,332,169",0.18,"8,698,001",0.31,"41,075,616",0.3,"2,613,356",0.43,"378,654",0.33,"5,139,562",0.34,"15,769,132",0.44,"1,309,904",0.02,"5,278,478",0.3,"988,990",0.02
16,               Selective sales,"176,309,885",0.09,"2,810,922",0.34,"366,849",0.73,"2,063,478",0.32,"1,436,853",0.22,"19,503,443",0.59,"2,323,306",0.87,"2,471,563",0,"514,463",0,"435,949",0,"12,177,732",0.69,"3,479,237",0.52,"1,321,769",0,"521,325",0.17,"9,967,118",0.31,"3,559,256",0.09,"1,487,241",0.25,"1,191,893",0.19,"2,863,458",0.24,"2,701,505",0.12,"725,392",0.03,"4,898,553",0.04,"2,839,040",0.11,"4,191,220",0.05,"4,673,714",0.04,"1,563,568",0.25,"2,339,390",1.1,"611,280",0.04,"613,041",0.42,"2,735,347",0,"973,230",0,"3,990,112",0.18,"840,400",0.11,"13,167,688",0.05,"4,318,418",0.34,"573,004",0.02,"5,531,607",0.07,"1,515,483",0.23,"1,984,494",0.6,"9,108,984",0.03,"688,210",0.07,"1,597,602",0.37,"433,040",0.02,"3,211,928",0.57,"16,134,212",0.2,"1,384,432",0.55,"668,890",0.03,"4,173,141",0.45,"5,143,265",0.51,"1,408,406",0.05,"2,853,171",0.14,"222,263",0.31
17,                    Motor fuel,"43,830,386",0.02,"637,605",0.58,"42,003",0,"753,814",0,"461,789",0,"5,711,160",0,"667,948",0,"481,825",0,"117,401",0,"25,256",0,"3,224,369",0.22,"1,025,819",0,"167,271",0,"258,993",0,"1,461,730",0,"832,006",0,"541,813",0,"439,045",0,"850,276",0,"606,410",0,"243,891",0,"923,483",0,"756,121",0,"1,010,395",0,"884,596",0,"434,894",0,"695,145",0,"226,806",0,"327,665",0,"460,856",0,"146,796",0,"535,550",0,"240,177",0,"1,648,106",0,"1,924,089",0,"232,296",0,"1,907,996",0,"455,288",0,"540,051",0.11,"2,731,605",0,"85,801",0,"546,370",0,"148,170",0,"857,605",0,"3,462,288",0,"377,390",0,"85,619",0,"819,793",0,"1,247,817",0,"433,899",0,"1,014,656",0,"118,639",0
18,                    Alcoholic beverage,"7,041,803",0.08,"233,369",0.69,"45,035",0.55,"71,270",0,"58,773",0.02,"357,373",0,"41,392",0,"61,612",0,"20,708",0,"6,244",0,"459,019",0,"324,698",1.06,"50,281",0,"8,985",0.45,"350,965",0,"46,064",0,"22,686",0,"132,589",0,"131,951",0,"61,026",0.18,"18,312",0,"30,956",0,"80,815",0,"145,399",0,"90,636",0,"42,094",0,"36,208",0,"33,860",0,"29,873",0,"43,799",0,"12,328",0,"138,591",0.02,"47,028",0,"275,484",0,"422,309",0.29,"9,485",0,"112,426",0,"116,772",0,"17,811",0,"394,454",0,"19,538",0,"167,853",0,"16,712",0.06,"357,054",0.99,"1,147,565",0,"51,221",0,"24,839",0,"257,229",0,"331,405",0,"26,226",0.58,"57,596",0,"1,885",0
19,                    Tobacco products,"18,169,536",0.01,"149,475",0.82,"101,232",0.24,"314,239",0,"225,097",0,"832,379",0,"204,003",0.08,"357,944",0,"102,695",0,"31,492",0,"1,192,906",0,"215,055",0,"129,659",0,"48,408",0,"1,024,826",0,"439,264",0,"223,069",0,"96,303",0,"242,232",0,"138,400",0,"136,913",0,"391,451",0,"647,101",0,"959,852",0,"652,046",0,"148,302",0,"111,836",0.27,"85,042",0,"63,585",0,"116,840",0,"236,380",0,"715,556",0,"79,956",0,"1,356,593",0,"276,458",0,"32,518",0,"830,313",0,"313,852",0,"266,247",0,"1,028,251",0,"137,980",0,"25,482",0,"61,004",0,"263,566",0,"1,491,765",0,"115,761",0,"76,755",0,"236,922",0.33,"474,183",0,"102,188",0,"641,464",0,"24,696",0
20,                    Public utilities,"28,045,761",0.45,"808,431",0.83,"12,962",0.04,"217,567",1.34,"151,734",1.9,"3,745,067",2.12,"170,516",3.16,"283,074",0,"61,172",0,"202,057",0,"4,712,264",1.76,"341,902",3.73,"321,556",0,"39,950",2.2,"2,736,733",0.99,"313,273",0.85,"213,179",1.66,"226,053",0.81,"395,511",0.53,"191,530",1.71,"40,123",0.61,"648,459",0.13,"23,736",0,"100,036",1.19,"118,682",1.34,"63,813",4.67,"394,880",3.48,"47,026",0,"133,333",1.92,"293,228",0,"66,656",0,"1,031,165",0.2,"82,497",0.59,"1,720,097",0.28,"54,283",3.27,"55,020",0.01,"1,153,759",0.22,"158,712",1.97,"352,185",2.56,"1,286,065",0,"105,292",0,"98,169",3.36,"13,341",0.34,"121,216",1.78,"1,952,340",1.38,"205,005",2.57,"20,405",0,"697,225",1.12,"1,258,835",2.06,"181,517",0.35,"395,883",0,"28,247",1.43
21,                    Other selective sales,"79,222,399",0.13,"982,042",0.57,"165,617",1.6,"706,588",0.83,"539,460",0.26,"8,857,464",0.95,"1,239,447",1.58,"1,287,108",0,"212,487",0,"170,900",0,"2,589,174",0.32,"1,571,763",0.78,"653,002",0,"164,989",0.04,"4,392,864",0.35,"1,928,649",0.09,"486,494",0.19,"297,903",0.43,"1,243,488",0.54,"1,704,139",0.03,"286,153",0,"2,904,204",0.06,"1,331,267",0.24,"1,975,538",0.08,"2,927,754",0.03,"874,465",0.3,"1,101,321",1.97,"218,546",0.11,"58,585",0.09,"1,820,624",0,"511,070",0,"1,569,250",0.45,"390,742",0.21,"8,167,408",0.06,"1,641,279",0.87,"243,685",0.05,"1,527,113",0.21,"470,859",0.35,"808,200",0.97,"3,668,609",0.07,"339,599",0.15,"759,728",0.64,"193,813",0.05,"1,612,487",1.1,"8,080,254",0.22,"635,055",0.88,"461,272",0.04,"2,161,972",0.79,"1,831,025",0.28,"664,576",0.05,"743,572",0.53,"48,796",1.14
22,          Individual income,"368,861,923",0.04,"3,450,713",0.01,0,0,"3,760,883",0,"2,664,153",0,"77,929,551",0,"6,360,629",0,"8,182,071",0,"1,198,140",0,"1,868,468",0,0,0,"9,678,524",0,"1,987,915",0,"1,478,368",0,"15,913,816",0,"6,555,281",0.49,"3,575,849",0,"2,264,875",0,"5,367,153",0.23,"2,983,104",0,"1,533,130",0,"13,215,473",0.03,"14,491,903",0,"9,306,938",0.12,"10,370,047",0,"1,783,438",0,"6,233,008",0,"1,180,478",0,"2,239,582",0,0,0,"96,038",0,"13,250,002",0,"1,381,254",0,"55,728,028",0,"11,197,650",0,"536,131",0,"13,824,915",0.64,"3,641,429",0,"7,309,147",0,"16,337,896",0.6,"1,215,368",0,"3,695,701",0,0,0,"302,196",0,0,0,"3,157,718",0,"709,310",0,"11,903,945",0,0,0,"1,932,457",0,"7,069,248",0,0,0
23,          Corporate income,"57,129,578",0.03,"533,586",0,"227,852",0,"690,960",0,"476,553",0,"9,007,182",0,"669,054",0,"650,014",0,"406,493",0,"448,259",0,"2,237,500",0,"1,000,536",0,"72,249",0,"217,082",0,"4,054,267",0,"903,572",0,"463,238",0,"458,306",0,"910,651",0.26,"253,650",0,"168,966",0,"1,003,588",0,"2,227,381",0,"1,185,568",0,"1,476,629",0,"534,547",0,"503,117",0,"168,039",0,"344,477",0,0,0,"576,679",0,"2,579,391",0,"249,947",0,"12,142,879",0,"1,330,223",0,"186,039",0,"232,126",6.32,"388,530",0,"695,552",0,"2,975,580",0,"176,336",0,"377,329",0,"4,334",0,"1,400,973",0,0,0,"368,681",0,"112,643",0,"817,851",0,0,0,"188,758",0,"1,032,411",0,0,0
24,          Motor vehicle license,"26,342,681",0.08,"234,826",1.06,"52,574",0.02,"210,011",0,"157,628",0,"3,920,858",0.05,"572,553",0.36,"219,903",0,"54,663",0,"37,649",0,"1,381,709",0,"351,212",0,"362,672",0,"150,595",0,"1,727,856",0.1,"299,413",1.03,"614,714",0.14,"252,158",0.51,"216,033",0.36,"79,199",0.13,"106,929",0.02,"485,119",0,"441,078",0,"1,018,071",0,"739,012",0.11,"162,773",0,"295,166",0.47,"164,873",0.06,"196,583",6.12,"173,550",0,"122,490",0,"637,074",0,"195,552",0.05,"1,500,501",0.15,"687,936",0.34,"124,587",0,"851,043",0.75,"733,182",0,"553,550",0,"892,817",0,"19,987",0,"290,572",0.12,"94,538",0.21,"450,792",1.26,"2,449,805",0.53,"176,767",0,"70,063",0,"628,794",0.69,"607,329",0.12,"2,506",0.28,"472,207",0.16,"101,209",0.05
