Year,State,Parks and recreation,Insurance trust expenditure,Water supply,Judicial and legal,Correction,Unemployment compensation,Highways,Education,Financial administration,Other insurance trust,Electric power,Housing and community development,Interest on general debt,Libraries,Miscellaneous commercial activities,Solid waste management,Workers' compensation,Public welfare,Natural resources,Other governmental administration,General public buildings,Sewerage,Employee retirement,Health,Protective inspection and regulation,Parking facilities,Air transportation (airports),Utility expenditure,Gas supply,Sea and inland port facilities,Fire protection,Transit,Other and unallocable,Hospitals,Police protection,Employment security administration,Veterans' services,Liquor store expenditure
2015,Vermont,59929,380238,83905,71985,152885,77421,659200,2607876,110614,0,184585,147957,140728,22408,43595,33234,0,1770132,111655,85099,26191,79337,302817,361044,38361,5894,37220,299958,0,0,56651,31468,155018,20975,217495,2578,1119,57216
2015,Rhode Island,76755,1470498,203157,140902,221516,169390,443967,3226261,174920,179062,7725,249608,627675,37643,8333,142231,1654,2928577,83426,273601,96412,176087,1120392,223259,26832,1410,93314,320494,0,2343,319815,109612,366765,56811,418785,35443,0,0
2015,New Mexico,337772,2195410,341700,326631,757336,194648,1077678,6771650,350464,0,181782,154120,478007,39089,6722,220256,15557,5797992,319997,264793,99152,223464,1985205,768296,82991,9041,69117,739490,84931,0,319567,131077,988477,1428397,677223,9957,3343,0
2015,Maine,91620,1036218,154780,96789,207963,128476,890980,3330486,243498,0,13225,286341,299135,44005,7338,117276,0,3055434,132034,139315,81758,164419,907742,241823,47251,7982,45891,203867,0,7734,153659,35862,644943,190915,265292,65680,124,0
2015,North Carolina,958992,5756018,1421569,835096,1821960,346678,4139236,25130615,1111421,0,2841875,1496675,2147335,241546,26607,759825,0,14581368,591685,874750,534756,936022,5409340,3847576,313882,32370,432938,5237094,147562,33529,1029171,826088,1686359,9170928,2994177,60381,4821,634141
2015,Kansas,319817,1972065,604936,315167,513498,290349,1908151,9232404,346314,0,848706,274987,775779,119417,14781,170650,4577,3855879,267595,342965,124508,386567,1677139,353077,89443,5800,160160,1549869,46737,0,328487,49490,1089502,2573365,786452,34717,12054,0
2015,Louisiana,759488,4657696,583461,697553,1087963,183662,2284287,11811814,792505,117725,627333,785203,1529311,199210,62614,344709,97269,8477729,1071316,426538,199464,721660,4259040,644595,124733,2797,222873,1552086,107115,316185,684307,234177,1867683,2910416,1528301,134971,5343,0
2015,Ohio,1214334,16819899,1844635,1736340,1856303,1005249,5865912,33214028,1972404,0,1018667,2031243,3002523,488422,63973,486711,1071689,26179916,435638,1196282,442709,2214873,14742961,3512656,270744,55012,336823,3760827,50588,23990,1910196,846937,2784981,4325455,3419005,129912,34771,755412
2015,New Jersey,762503,12763364,870945,1496670,2134796,2200044,5065515,34913867,1383700,520743,178848,1463144,3298648,429879,219,1037154,209996,16306123,544237,478909,376165,1544684,9832581,3277020,412079,78038,26075,3823432,0,76756,936565,2773639,8707831,2331119,3398018,195939,15575,0
2015,Nebraska,226808,1062282,320050,171945,471714,93300,1450008,6605132,277530,0,3743976,216279,304494,66267,7746,95890,860,2560190,395610,220998,48168,341693,968122,297452,63872,7897,118637,4388157,274108,0,214765,50023,797708,1062441,464920,41038,1110,0
