,Year,State,Parks and recreation,Insurance trust expenditure,Water supply,Judicial and legal,Correction,Unemployment compensation,Highways,Education,Financial administration,Other insurance trust,Electric power,Housing and community development,Interest on general debt,Libraries,Miscellaneous commercial activities,Solid waste management,Workers' compensation,Public welfare,Natural resources,Other governmental administration,General public buildings,Sewerage,Employee retirement,Health,Protective inspection and regulation,Parking facilities,Air transportation (airports),Utility expenditure,Gas supply,Sea and inland port facilities,Fire protection,Transit,Other and unallocable,Hospitals,Police protection,Employment security administration,Veterans' services,Liquor store expenditure,Total
89,2019,Minnesota,0.015989943938740373,0.07506439523872657,0.011279139293787247,0.009665292385699213,0.013988871206582307,0.009535183721467269,0.06157903078419467,0.2431459546717702,0.019282384530621123,0.0,0.018514748332555238,0.013695892969187854,0.021131315257242458,0.0028566700638527707,0.0002401892549607096,0.005781051747215055,0.0007922284087126007,0.20922282696971028,0.011142461224610158,0.007192342002827772,0.0031937395883696977,0.012564737395234138,0.06473698310854671,0.016440501779023155,0.0019361660271195124,0.0008233039085092997,0.007169767362239117,0.03852796070993911,0.0011913751192842163,0.000709643361153123,0.006622243136604957,0.007542697964312409,0.029411607309365987,0.026425480600873207,0.02865997634694361,0.0005549547885309163,0.00025272525428487287,0.003136214237202095,81285901
90,2019,Florida,0.016634346870606165,0.05995228577941766,0.02246952153501775,0.01162207833592002,0.02183319515133374,0.0014588876258536697,0.053641988712201716,0.20870146616298463,0.01662776747723437,0.0,0.02405948854024432,0.01180789313904927,0.016222095700566288,0.0029376902972359457,0.021489068116830996,0.01325979458108074,0.00018948033881824227,0.12751444473094675,0.02169198580541865,0.005952493914635944,0.0013364879166345583,0.018101697506482425,0.058303917814745754,0.029853236903244377,0.0041726574666820495,0.0010014031263827006,0.011449484222428986,0.05703030555251101,0.0011951591865655437,0.0024499706553749658,0.01996245430261994,0.00930613186904807,0.037074240512943654,0.04830711766380173,0.04097237632849581,0.0013629160310050022,5.447012563652315e-05,0.0,226160668
91,2019,Kentucky,0.0070136256634806245,0.09006424400641305,0.017279182419250787,0.010750476871610579,0.01699152046704183,0.005352953846093151,0.04231587709000142,0.23774450847229395,0.00960730998558415,0.0,0.011822184196472406,0.008577920119599486,0.024150856641959647,0.004814867072375844,0.001139891656139718,0.004232657741491539,0.0025675941385741577,0.21961573886413463,0.009184805330198442,0.009837227401779112,0.0018824755959085382,0.019720214975668577,0.08214369602174575,0.014501731647537774,0.00256323957156569,0.0005914023056799595,0.004092325306402409,0.03876439272790287,0.005835473367300693,0.0004378014676975056,0.007296337552338081,0.0038275341356182628,0.01667043628257984,0.0502684888308892,0.015233875792042703,0.0020668561511217867,0.0010402762835058344,0.0,53736686
92,2019,California,0.009253647100839429,0.09361921706454689,0.024607379134091212,0.013027959323713915,0.019915056174720336,0.006719809401413978,0.026358060064316253,0.19953448308456825,0.006595078488409177,0.008183878645135463,0.01579759621021669,0.012391028686579502,0.022703516498712717,0.0021377868418844164,0.0017547885314207312,0.005103259269260325,0.0013410436952335893,0.1791861328372403,0.011122842318444034,0.009479804469873213,0.0008186946197500876,0.012737602935480102,0.07737448532276385,0.03932239232994413,0.0064137812786566484,0.0006742790404518433,0.00804002450812613,0.06299339091438114,0.0003763977477228473,0.0020514733077963082,0.01311146959091687,0.022212017822350386,0.015736439761172494,0.041804967850170974,0.027097955535648328,0.0003731526901841246,2.9106903863332252e-05,0.0,760541214
93,2019,Texas,0.009712367130420094,0.06402888924190547,0.03017880838928953,0.009844538846813319,0.01858032944007586,0.006043130272591558,0.07079641276149198,0.2797272969743464,0.008096001271121223,0.0,0.020240346407635182,0.008700950536536725,0.0302791800846129,0.001852240531983536,8.77123093073372e-05,0.004977890486332037,0.0011983832442553854,0.12499167519072754,0.005723994877513175,0.007078715595692862,0.0030605462386585312,0.01414094130100944,0.056787375725058535,0.018663833840791955,0.0027570240863332564,0.00010506398887250667,0.005817484146072899,0.0610632170778826,0.001758002398335539,0.0021615871905509296,0.011475171774718523,0.008886053939248635,0.018465595582166695,0.06332037668948087,0.026205989945398554,0.0002819417623608526,0.0029109307204075313,0.0,336509211
94,2019,South Carolina,0.010681790978123313,0.06128277361648751,0.01568123915330497,0.006833479094672567,0.013070602179102827,0.0026061705720317185,0.03723445225895097,0.26589421929174584,0.010359612287733199,0.0,0.03830482802965233,0.009528296957365635,0.01496434009563779,0.003341101275636007,0.00013380942413182483,0.007970834294204766,0.000600075244763405,0.13766333147078275,0.00418503543741444,0.010232162090483431,0.004178178098766166,0.013091406647205218,0.05807652779969239,0.025165552841713512,0.0024839007371506216,0.0008643069330167689,0.0036640271336754486,0.060044334935864044,0.004627375289541992,0.007386266929096297,0.00955834970059415,0.0014309090670902918,0.01746110872008239,0.11726455879825023,0.023084956597944455,0.001050086018090722,0.0,0.0,60227447
95,2019,United States Total,0.010597825617288942,0.08082128734411442,0.016948147933861405,0.01095936828702873,0.017912556294962186,0.005878377794819353,0.04401298760856504,0.23744937041000586,0.011030190269409507,0.0015369380241529976,0.017486487779181346,0.012548865286860066,0.024518868956423898,0.0028029759037905633,0.0017503007213718544,0.006016828973300236,0.0015860715057118752,0.1618667774028336,0.0077544703448264194,0.008257545184050733,0.0034871868778130186,0.013632432000721374,0.0718199000194302,0.02449473181341774,0.0034020301359785838,0.00047903711803734224,0.006863143967328073,0.05389600616382978,0.0016995999351524876,0.0015220316977781411,0.0120761811796529,0.01776177029855633,0.03134440021683873,0.045992885220927864,0.02671300539365236,0.0008463592779822338,0.00032030215181738794,0.0019127548885264569,4606634678
96,2019,Wyoming,0.012897605402927842,0.07691107832143282,0.012790147235794814,0.011615892909019326,0.02023554069790232,0.00410423206835969,0.062271419413752784,0.2540489413559953,0.016979295699075126,0.0,0.00795027484214196,0.0015691427219180893,0.004946787385551847,0.0029328746761657152,0.0023187245448847878,0.00858606145357857,0.01467351683060148,0.07942435012930739,0.01935668316923557,0.017819768844536822,0.01571360687457061,0.006854328278273018,0.058133329422471645,0.037931556118285095,0.0033783688972791356,0.00014149714846581514,0.011111011528984872,0.02140200951298999,0.0,0.0,0.0080707692148918,0.0006615874350532163,0.05403443857724662,0.11870533458734389,0.02046792916886313,0.002214072783127601,1.6295257021015178e-06,0.009746193224269178,11046159
97,2019,District of Columbia,0.014269169540365723,0.023775148910221002,0.01359474677373922,0.006818726932564352,0.010210011328095682,0.004763269551721205,0.024246832064563597,0.12356772977556273,0.012153699964187166,0.0,0.0,0.046933743956460355,0.02543000901095814,0.005349142577743675,0.0,0.005459244317069354,0.0,0.16246396738003782,0.004022444402293022,0.006264447628424808,0.010176552147759869,0.01783910135071496,0.019011879358499798,0.02662576787925832,0.005017249735551419,0.0014093340158529834,0.0,0.18385386966930858,0.0,0.0,0.012199701375823237,0.17025912289556938,0.024821036052604183,0.01164442980654918,0.026083435447338325,0.0017361861511619088,0.0,0.0,25194879
98,2019,Indiana,0.008129165617012149,0.04009479763311848,0.01217601608747018,0.009128582061887294,0.015782391588057207,0.0034430988019884703,0.048240424427381474,0.2754198960127975,0.00842367724037155,0.0,0.01892325238150555,0.01404436680689819,0.0259668892864537,0.00508188782348255,0.0002510507067178235,0.004434064513072199,9.469082720568732e-05,0.21341062710594594,0.007004706717851885,0.013705712527028322,0.002222557190056875,0.01918727034864617,0.03655700800392432,0.014946706335026544,0.002021245087939969,0.00025200230195147893,0.00411118967058429,0.039056877088565124,0.0043894247545740025,0.00031404063002024184,0.012952219536940408,0.003568183865015392,0.03886341919785436,0.0743841115865,0.022069496079335317,0.00118689490881921,0.00016205524800013384,0.0,70408087
